"-- Please Select --","-- Vyberte --"
"Add Block Names to Hints","Přidat jméno bloků do nápovědy"
"Add Secret Key to URLs","Přidat k URL tajný klíč"
"Add Store Code to Urls","Přidat k URL kód obchodu"
"Admin Base URL","Základní URL adminu"
"Admin User Emails","Nastavení e-mailů správce"
"Advanced","Pokročilá nastavení"
"Allow Countries","Povolené země"
"Allow Symlinks","Povolit symbolické odkazy"
"Allowed IPs (comma separated)","Povolené IP adresy (oddělené čárkou)"
"Anchor Text for Next","Text odkazu následující stránky"
"Anchor Text for Previous","Text odkazu předchozí stránky"
"Are you sure?","Skutečně chcete provést tuto akci?"
"Auto-redirect to Base URL","Automatické přesměrování na základní URL"
"Back","Zpět"
"Backup Options","Možnosti zálohy"
"Base JavaScript URL","Výchozí URL JavaScriptu"
"Base Link URL","Základní URL odkazů"
"Base Media URL","Výchozí URL pro média"
"Base Skin URL","Výchozí URL pro vzhled"
"Base URL","Základní URL"
"Block with name ""%s"" already exists","Blok s názvem ""%s"" už existuje"
"Browser Capabilities Detection","Detekce schopností prohlížeče"
"CSS Settings","Nastavení CSS"
"Cache Storage Management","Správa úložiště mezipaměti"
"Can't retrieve request object","Nelze získat požadovaný objekt"
"Can't retrieve entity config: %s","Nemohu získat nastavení entity: %s"
"Cancel","Zrušit"
"Cannot complete this operation from non-admin area.","Tuto operaci nelze dokončit z jiné než admin sekce."
"Card type does not match credit card number.","Typ karty neodpovídá číslu kreditní karty."
"Code","Kód"
"Controller file was loaded but class does not exist","Kontrolní soubor byl načten, ale třída neexistuje"
"Cookie Domain","Doména cookie"
"Cookie Lifetime","Životnost cookie"
"Cookie Path","Cesta cookie"
"Cookie Restriction Mode","Režim omezení cookie"
"Copyright","Autorská práva"
"Country","Země"
"Create Store","Vytvořit obchod"
"Create Store View","Vytvořit zobrazení obchodu"
"Create Website","Vytvořit web"
"Credit card number does not match credit card type.","Číslo platební karty neodpovídá typu platební karty."
"Custom Admin Path","Vlastní cesta správy"
"Custom Admin URL","Vlastní URL správy"
"Custom Design","Vlastní vzhled"
"Custom Email 1","Vlastní e-mail 1"
"Custom Email 2","Vlastní e-mail 2"
"Custom Variables","Vlastní proměnné"
"Customer Support","Uživatelská podpora"
"Dashboard","Přehled"
"Date From","Od"
"Date To","Do data"
"Date/time format ""%s"" is not supported.","Formát data/času ""%s"" není podporován."
"Debug","Ladící režim"
"Default","Výchozí"
"Default Country","Výchozí země"
"Default Description","Výchozí popis"
"Default Keywords","Výchozí klíčová slova"
"Default No-route URL","Výchozí URL bez směrování"
"Default Pages","Výchozí stránky"
"Default Robots","Výchozí nastavení robotů"
"Default Store","Výchozí obchod"
"Default Store View","Výchozí zobrazení obchodu"
"Default Title","Výchozí název"
"Default Web URL","Výchozí URL webu"
"Delete","Smazat"
"Delete Store","Odstranit obchod"
"Delete Store View","Odstranit zobrazení obchodu"
"Delete Website","Smazat webové stránky"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Smazáním %1$s se nesmažou informace asociované s %1$s (např. produkty, kategorie, atd.), ale %1$s nebude moc být obnoven. Doporučujeme vytvoření zálohy databáze před smazáním %1$s."
"Design","Vzhled"
"Design Change","Změna vzhledu"
"Developer","Vývojář"
"Developer Client Restrictions","Omezení přístupu vývojáře"
"Disable Email Communications","Vypnout e-mailovou komunikaci"
"Disable Modules Output","Vypnout výstup modulů"
"Display Demo Store Notice","Zobrazit DEMO upozornění"
"Duplicate Of Template Name","Duplicitní název šablony"
"Edit Design Change","Upravit změnu vzhledu"
"Edit Store","Upravit obchod"
"Edit Store View","Upravit zobrazení obchodu"
"Edit Website","Upravit webové stránky"
"Empty identifier field name","Prázdný identifikátor pole jméno"
"Empty main table name","Prázdný název hlavní tabulky"
"Enable Charts","Zapnout grafy"
"Enabled","Zapnuto"
"Enabled for Admin","Zapnuto ve správě"
"Enabled for Frontend","Zpřístupnit v obchodě"
"Environment Update Time","Čas aktualizace prostředí"
"Error in file: ""%s"" - %s","Chyba v souboru: ""%s"" - %s"
"European Union Countries","Země EU"
"Exceptions Log File Name","Jméno souboru pro Log vyjímek"
"Favicon Icon","Ikona favicon"
"File system","Souborový systém"
"File with an extension ""%value%"" is protected and cannot be uploaded","Soubor s příponou ""%value%"" je chráněný a nelze jej nahrát"
"First Day of Week","První den týdne"
"Flush Cache Storage","Vyprázdnit úložiště mezipaměti"
"Footer","Zápatí"
"Forgot Password Email Sender","Odesilatel zapomenutého hesla"
"Forgot Password Email Template","Šablona e-mailu obnovy hesla"
"General","Obecné"
"General Contact","Hlavní kontakt"
"General Settings","Základní nastavení"
"Global","Globální"
"HTML Head","HTML hlavička"
"Header","Záhlaví"
"Host","Hostitel"
"How many links to display at once.","Počet současně zobrazených odkazů na stránky."
"Incorrect credit card expiration date.","Nesprávné datum expirace platební karty."
"Input type ""%value%"" not found in the input types list.","Typ údaje ""%value%"" nebyl v seznamu nalezen."
