"Add Recipient","Přidat příjemce"
"Allow for Guests","Povolit hostům"
"Back","Zpět"
"Email Address","E-mailová adresa"
"Email Address:","E-mailová adresa:"
"Email Templates","Šablony e-mailů"
"Email to a Friend","Odkaz e-mailem"
"Email:","E-mail:"
"Enabled","Zapnuto"
"Invalid Sender Information","Neplatné údaje odesílatele"
"Limit Sending By","Limitovat odesílání podle"
"Max Products Sent in 1 Hour","Maximum emailů za hodinu"
"Max Recipients","Maximum příjemců"
"Maximum %d email addresses allowed.","Maximální povolené množství emailů: %d."
"Message:","Vzkaz:"
"Name","Jméno"
"Name:","Jméno:"
"Recipient:","Příjemce:"
"Remove Email","Odebrat email"
"Select Email Template","Šablona e-mailu"
"Send Email","Odeslat e-mail"
"Send product to a friend","Poslat produkt příteli"
"Sender:","Odesilatel:"
"Some emails were not sent.","Některé e-maily nebyly odeslány."
"The link to a friend was sent.","Odkaz byl odeslán e-mailem."
