"1 star","1 hvězdička"
"2 stars","2 hvězdičky"
"3 stars","3 hvězdičky"
"4 stars","4 hvězdičky"
"5 stars","5 hvězdiček"
"Add New Rating","Přidat nové hodnocení"
"Assigned Options","Přiřazené možnosti"
"Be the first to review this product","Staňte se prvním recenzentem produktu"
"Default Value","Výchozí hodnota"
"Delete Rating","Odstranit hodnocení"
"Edit Rating","Upravit hodnocení"
"If you do not specify a rating title for a store, the default value will be used.","Pokud nespecifikujete nadpis hodnocení pro obchod bude použita výchozí hodnota."
"Manage Ratings","Správa hodnocení"
"New Rating","Nové hodnocení"
"Option Label","Možnosti nadpisu"
"Option Title","Název možnosti"
"Option Title:","Název možnosti:"
"Please select one of each ratings above","Vyberte jednu z následujících možností"
"Rating Information","Nastavení hodnocení"
"Rating Name","Jméno hodnocení"
"Rating Options","Možnosti hodnocení"
"Rating Title","Název hodnocení"
"Rating Visibility","Viditelnost hodnocení"
"Rating isn't Available","Hodnocení není dostupné"
"Rating with the same title","Hodnocení se stejným názvem"
"Save Rating","Uložit hodnocení"
"Sort Order","Řadit podle"
"Visible In","Viditelné v"
