" [deleted]"," [odstraněno]"
" and "," a "
"(For US 2-letter state names)","(Pro USA 2-znakové jméno státu)"
"(If left empty will be auto-generated)","(Pokud ponecháte prázdné bude vygenerován automaticky)"
"(Leave empty for first spreadsheet)","(Ponechte prázdné pro první sešit)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Produkt bude přidán/upraven do tohoto obchodu, pokud je sloupec prázdný nebo chybí v importním souboru.)"
"(Shift-)Click or drag to change value","(Shift-) Klik nebo tažením změníte hodnotu"
"(Starting with)","(počínaje)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Pokud 'Ne', budou importovány pouze přiřazená pole. Pokud přiřazujete pole použijte 'sloupec1', 'sloupec2', atd.)"
"(You have to increase php memory_limit before changing this value)","(Musíte zvednout php memory_limit než změníte tuto hodnotu)"
"(\t for tab)","(t pro tabelátor)"
"* Required Fields","* Povinný údaj"
"- Click on any of the time parts to increase it","- Kliknutím na některou z částí se její počet zvýší"
"- Hold mouse button on any of the above buttons for faster selection.","- Držte tlačítko myši nad některým z výše uvedených tlačítek pro rychlejší výběr."
"- Use the %s buttons to select month","- Použijte %s pro výběr měsíce"
"- Use the %s, %s buttons to select year","- Použijte %s, %s pro výběr roku"
"- or Shift-click to decrease it","- nebo Shift-klik pro snížení"
"- or click and drag for faster selection.","- nebo klik a tažení pro rychlé označení."
"-- Please Select --","-- Vyberte --"
"-- Please Select Billing Agreement--","-- Zvolte platební podmínky --"
"-- Please Select a Category --","-- Zvolte kategorii prosím --"
"-- Please select --","-- Vyberte --"
"--Please Select--","– Vyberte –"
"1 Hour","1 hodina"
"12 Hours","12 hodin"
"12h AM/PM","12h dop./odp."
"2 Hours","2 hodiny"
"24 Hours","24 hodin"
"2YTD","2 roky zpět"
"6 Hours","6 hodin"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">Chyba 404</h1><p>Stránka nenalezena.</p>"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Upozornění</strong>: Rozlišujte velikost znaků."
"A user with the same user name or email already exists.","Uživatel s tímto uživatelským jménem nebo e-mailem již existuje."
"Abandoned Carts","Opuštěné košíky"
"About the calendar","O kalendáři"
"Access denied","Přístup odepřen"
"Account Created in:","Účet vytvořený v:"
"Account Created on (%s):","Účet vytvořen v (%s):"
"Account Created on:","Účet vytvořen v:"
"Account Information","Údaje účtu"
"Account Status","Stav účtu"
"Account status","Stav účtu"
"Action","Akce"
"Actions","Akce"
"Actions XML","Události XML"
"Active","Aktivní"
"Add","Přidat"
"Add Exception","Přidat výjimku"
"Add Field Mapping","Přidejte pole mapování"
"Add Field with URL:","Přidat pole s URL:"
"Add New","Přidat nový"
"Add New Block","Přidat nový blok"
"Add New Image","Přidat nový obrázek"
"Add New Profile","Přidat nový profil"
"Add New Role","Přidat novou roli"
"Add New Template","Přidat novou šablonu"
"Add New URL Rewrite","Přidat nový přepis URL"
"Add New User","Přidat nového uživatele"
"Add New Variable","Přidat novou proměnnou"
"Add Products","Přidat produkty"
"Add URL Rewrite","Přidat přepis URL"
"Add URL Rewrite for a Category","Přidat přepis URL kategorie"
"Add URL Rewrite for a Product","Přidat přepis URL produktu"
"Add after","Přidat za"
"Additional Cache Management","Správa dalších mezipamětí"
"Address Type:","Typ adresy:"
"Advanced Profiles","Rozšířený profil"
"All","Vše"
"All Allowed Countries","Všechny povolené země"
"All Cache","Všechny mezipaměti"
"All Files","Všechny soubory"
"All Reviews","Všechny recenze"
"All Store Views","Všechna zobrazení obchodu"
"All Tags","Všechny štítky"
"All Websites","Všechny weby"
"All countries","Všechny země"
"All fields","Všechny pole"
"All valid rates have been saved.","Všechny platné kurzy byly uloženy"
"Always (during development)","Vždy (během vývoje)"
"Amounts","Částky"
"An error occurred while clearing the JavaScript/CSS cache.","Při obnovení mezipaměti JS/CSS souborů nastala chyba."
"An error occurred while clearing the image cache.","Při obnovení mezipaměti obrázků nastala chyba."
"An error occurred while deleting this role.","Při odstraňování role nastala chyba."
"An error occurred while saving account.","Při ukládání účtu nastala chyba."
"An error occurred while saving this role.","Při ukládání této role nastala chyba."
"Any","Jakýkoliv"
"Any Attribute Set","Libovolná množina atributů"
"Any Group","Libovolná skupina"
"Any Status","Libovolný stav"
"Any Store","Libovolný obchod"
"Any Type","Libovolný typ"
"Any Visibility","Libovolná viditelnost"
"Archive file name:","Jméno zálohy:"
"Are you sure that you want to delete this template?","Jste si jisti, že chcete smazat tuto šablonu?"
"Are you sure that you want to strip tags?","Jste si jisti, že chcete odstranit štítky?"
"Are you sure you want to do this?","Opravdu to chcete udělat?"
"Area","Pole"
"As low as:","Nejméně:"
"Assigned","Přiřazeno"
"Attribute Set Name:","Název množiny vlastností:"
"Attributes","Atributy"
"Authorize","Schválit"
"Automatic (equalize price ranges)","Automaticky (rovnoměrné ceny)"
"Automatic (equalize product counts)","Automaticky (rovnoměrné množství)"
"Average Order Amount","Průměrná hodnota objednávky"
"Average Orders","Průměrná hodnota objednávky"
"Back","Zpět"
"Back to Login","Zpět na přihlášení"
"Backup","Zálohovat"
"Backup Name","Název zálohy"
"Backup options","Možnosti zálohování"
"Backups","Zálohy"
"Base currency","Základní měna"
"Bcc","Skrytá kopie"
"Bestsellers","Nejprodávanější"
"Billing Address","Fakturační adresa"
"Billing Address: ","Fakturační adresa: "
"Billing Agreement","Platební podmínky"
"Billing Agreements","Platební podmínky"
"Block Information","Údaje bloku"
"Blocks","Bloky"
"Both (without and with tax)","Obě (ceny bez i s DPH)"
"Browse Files...","Procházet soubory..."
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Balení s dynamickou cenou nesmí obsahovat vlastní definované možnosti. Nastavení nebylo uloženo."
"By Email","Podle e-mailu"
"By IP","Podle IP"
"By IP and Email","Podle IP a e-mailu"
"CRITICAL","KRITICKÁ"
"CSV / Tab separated","CSV / Oddělená tabulka"
"Cache Control","Řízení mezipaměti"
"Cache Control (beta)","Ovládání cache (beta)"
"Cache Management","Správa mezipaměti"
"Cache Type","Typ mezipaměti"
"Cancel","Zrušit"
"Cannot add new comment.","Nelze přidat nový komentář."
"Cannot add tracking number.","Nelze přidat číslo pro sledování."
"Cannot do shipment for the order separately from invoice.","K objednávce nelze zásilku vytvořit odděleně od faktury."
"Cannot do shipment for the order.","K objednávce nelze zásilku vytvořit."
"Cannot save shipment.","Zásilku nelze uložit."
"Cannot send shipment information.","Údaje zásilky nelze odeslat."
"Cannot update item quantity.","Množství položky nelze upravit."
"Card Verification Number","Ověřovací číslo karty"
"Catalog","Katalog"
"Catalog Price Rules","Cenová pravidla katalogu"
"Catalog Rewrites","Přepisy katalogu"
"Categories","Kategorie"
"Category","Kategorie"
"Category:","Kategorie:"
"Checkbox","Zaškrtávací políčko"
"Child Transactions","Podřízené transakce"
"Choose Store View:","Zvolte zobrazení obchodu:"
"Choose an attribute","Vyberte vlastnost"
"Clear","Vymazat"
"Close","Zavřít‏"
"Code","Kód"
"Complete","Vyřízená"
"Config form fieldset clone model required to be able to clone fields","Klonovací model sady údajů formuláře musí být schopen vytvořit kopii údajů"
"Configuration","Nastavení"
"Confirm New Password","Potvrzení nového hesla"
"Confirmed email:","Potvrzený e-mail:"
"Continue","Pokračovat"
"Convert to Plain Text","Převést na prostý text"
"Cookie (unsafe)","Cookie (nespolehlivé)"
