"%d Review(s)","Recenze %d"
"%s Review(s)","Recenze %s"
"(Posted on %s)","(Odeslané %s)"
"1 star","1 hvězdička"
"2 stars","2 hvězdičky"
"3 stars","3 hvězdičky"
"4 stars","4 hvězdičky"
"5 stars","5 hvězdiček"
"Add New Review","Přidat novou recenzi"
"Add Your Review","Napište svou recenzi"
"Administrator","Správce"
"All Reviews","Všechny recenze"
"Allow Guests to Write Reviews","Umožnit hostům psát recenze"
"Approved","Schváleno"
"Are you sure you want to do this?","Opravdu to chcete udělat?"
"Are you sure?","Skutečně chcete provést tuto akci?"
"Average Customer Rating","Průměrné hodnocení zákazníků"
"Average Customer Rating:","Průměrné hodnocení zákazníků:"
"Back","Zpět"
"Back to Main Product Info","Zpět na stránku produktu"
"Back to My Reviews","Zpět k mým recenzím"
"Back to Product Reviews","Zpět na recenze produktů"
"Be the first to review this product","Staňte se prvním recenzentem produktu"
"Created On","Vytvořeno"
"Customer","Zákazník"
"Customer Reviews","Recenze zákazníka"
"Customers Reviews","Recenze zákazníků"
"Delete","Smazat"
"Delete Review","Odstranit recenzi"
"Detailed Rating","Podrobné hodnocení"
"Edit Review '%s'","Upravit recenzi '%s'"
"Guest","Host"
"How do you rate this product?","Jak hodnotíte tento produkt?"
"Manage Ratings","Správa hodnocení"
"My Product Reviews","Mé recenze produktů"
"My Recent Reviews","Mé nedávné recenze"
"Name","Jméno"
"New Review","Nová recenze"
"Nickname","Přezdívka"
"Not Approved","Zamítnuto"
"Pending","Nevyřízená"
"Pending Reviews","Nevyřízené recenze"
"Please select a product","Vyberte produkt"
"Please select one of each of the ratings above","Vyberte prosím jedno z každého hodnocení výše"
"Posted By","Přidáno"
"Price","Cena"
"Product","Produkt"
"Product Name","Název produktu"
"Product Rating","Hodnocení produktu"
"Product Rating:","Hodnocení produktu:"
"Product Review (submitted on %s):","<strong>Recenze produktu</strong> (odeslaná %s):"
"Product Reviews","Recenze produktu"
"Product SKU","Produkt SKU"
"Products Reviews","Recenze produktů"
"Qty","Množství"
"Rating:","Hodnocení:"
"Review","Recenze"
"Review Details","Nastavení recenze"
"Review by %s","Recenze od <em>%s</em>"
"Reviews","Recenze"
"Reviews and Ratings","Recenze a hodnocení"
"SKU","Kód"
"Save Review","Uložit recenzi"
"Status","Stav"
"Submit Review","Odeslat recenzi"
"Summary Rating","Souhrnné hodnocení"
"Summary of Review","Souhrn recenze"
"Summary of Your Review","Shrnutí Vaší recenze"
"Title","Název"
"Type","Typ"
"Update Status","Upravit stav"
"View All Reviews","Zobrazit všechny recenze"
"View Details","Zobrazit podrobnosti"
"Visible In","Viditelné v"
"Websites","Weby"
"Write Your Own Review","Napište svou recenzi"
"You have submitted no reviews.","Zatím jste neodeslal(a) žádnou recenzi."
"You're reviewing:","Prohlížíte si:"
"Your Rating:","Vaše hodnocení:"
"Your Review (submitted on %s):","<strong>Vaše recenze</strong> (odeslaná %s):"
