"* Select shipping method","* Vyberte způsob doručení"
"2Day","Dva dny"
"2nd Day Air","Dva dny letecky"
"2nd Day Air AM","Dva dny letecky - AM"
"3 Day Select","Dodání do tří dnů"
"AVS Status: %s","AVS stav: %s"
"Add Shipping Method","Přidat metodu doručení"
"Allowed Methods","Povolené způsoby"
"Amount: %s","Množství: %s"
"Auto-generated from GoogleCheckout Charge","Automaticky vygenerované z  GoogleCheckout Charge"
"CC Partial: xxxx-%s","Kreditní karta: xxxx-%s"
"CID Status: %s","Stav CID: %s"
"Carrier Calculated Methods","Metoda výpočtu přepravce"
"Cart Discount","Sleva košíku"
"Checkout Image Style","Kontrolní obrázkový styl"
"Commercial","Obchodní"
"Continue Shopping URL","Pokračovat na adresu (URL)"
"Debug","Ladící režim"
"Default Package Height (in)","Výchozí výška balíku"
"Default Package Length (in)","Výchozí délka balíku"
"Default Package Width (in)","Výchozí šířka balíku"
"Default price:","Výchozí cena:"
"Delivery Address Category","Kategorie adresy doručení"
"Disable Default Tax Tables","Vypnout výchozí tabulku daní"
"Enable","Povolit"
"Enable Carrier Calculated","Povolit výpočet dopravy"
"Enable Digital Delivery","Povolit elektronické doručení"
"Enable Flat Rate","Povolit paušální sazby"
"Enable Merchant Calculated","Povolit výpočet provize"
"Enable this if your checkout request is too big and being cut off.","Povolte tuto možnost, pokud je Vaše objednávka příliš velká a může být rozdělena."
"Expiration: %s","Vyprší: %s"
"Express Mail","Spěšný mail"
"Express Saver","Spěšný šetřič"
"Financial: %s -> %s","Finance: %s -> %s"
"First Overnight","Přes noc"
"Free Shipping","Doprava zdarma"
"Fulfillment: %s -> %s","Plnění: %s -> %s"
"Google Authorization:","Autorizace Google:"
"Google Checkout","Přezkoušení Googlem"
"Google Checkout Shipping - Carrier Calculated","Google kontrola přepravy - Výpočet přepravy"
"Google Checkout Shipping - Digital Delivery","Google Checkout přeprava - elektronické doručení"
"Google Checkout Shipping - Flat Rate","Google kontrola přepravy - paušální sazby"
"Google Checkout Shipping - Merchant Calculated","Google kontrola přepravy - Kalkulace provize"
"Google Order Number: %s","Google číslo objednávky: %s"
"Ground","Pozemní"
"Home Delivery","Doručení domu"
"IP Address: %s","Adresa IP: %s"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","Pokud je povoleno, obsah košíku bude skryt po kliknutí na tlačítko Google Checkout v nákupním košíku a obnoven když ""Edit Cart"" odkaz bude aktivovaný."
"Inches","Palce"
"Large - %s","Velký - %"
"Latest Charge: %s","Poslední změna: %s"
"Latest Refund: %s","Posledně obdrženo: %s"
"Location","Lokalita"
"Medium - %s","Střední - %s"
"Merchant ID","ID obchodníka"
"Merchant Key","Klíč obchodníka"
"Method","Způsob"
"New Order Status","Stav nové objednávky"
"Next Day Air","Zítra letecky"
"Next Day Air Early AM","Další den letecky - ranní AM"
"Next Day Air Saver","Další den úsporně letecky"
"No","Ne"
"Optional, leave empty for home page.","Ponechte prázdné pro domovskou stránku."
"Parcel Post","Balíková pošta"
"Priority Mail","Prioritní mail"
"Priority Overnight","Priorita přes noc"
"Rate 1 Amount","Sazba 1 množství"
"Rate 1 Ship To Applicable Countries","Sazba 1 doručit do povolených zemí"
"Rate 1 Ship to Specific Countries","Sazba 1 do specifických zemí"
"Rate 1 Title","Sazba 1 nadpis"
"Rate 2 Amount","Sazba 2 množství"
"Rate 2 Ship To Applicable Countries","Sazba 2 doručit do povolených zemí"
"Rate 2 Ship to Specific Countries","Sazba 2 do specifických zemí"
"Rate 2 Title","Sazba 2 nadpis"
"Rate 3 Amount","Sazba 3 množství"
"Rate 3 Ship To Applicable Countries","Sazba 3 doručit do povolených zemí"
"Rate 3 Ship to Specific Countries","Sazba 3 do specifických zemí"
"Rate 3 Title","Sazba 3 nadpis"
"Residential","Rezidenční"
"Sandbox","Pískoviště"
"Secure Callback URL","Zabezpečený zpětná adresa"
"Small - %s","Malý -. %s"
"Standard Overnight","Standardně přes noc"
"Title","Název"
"Total Charged: %s","Celkem účtováno: %s"
"Total Refunded: %s","Celkem zaplaceno: %s"
"Transparent","Transparentní"
"United Kingdom","Spojené království"
"United States","Spojené státy"
"White Background","Bílé pozadí"
"Yes","Ano"
"You will be redirected to GoogleCheckout in a few seconds.","Během několika sekund budete přesměrováni na Google Checkout."
