"Authorize Only","Pouze schválit"
"Authorize and Capture","Schválit a získat"
"Continue Shopping","Pokračovat v nákupu"
"Debug","Ladící režim"
"Email Sender","E-mail odesílatele"
"Enable","Povolit"
"Merchant ID","ID obchodníka"
"Merchant Login","Přihlášení obchodníka"
"New Order Status","Stav nové objednávky"
"Payment Action","Platební akce"
"Sandbox","Pískoviště"
"Secret Key","Tajný klíč"
"Thank you for your purchase!","Děkujeme vám za objednávku!"
"Title","Název"
"You will receive an order confirmation email with details of your order and a link to track its progress.","Dostanete e-mail s potvrzením objednávky včetně jejích detailů a odkazu na sledování jejího průběhu."
