"(Excl. Tax)","(Bez DPH)"
"(Incl. Tax)","(s DPH)"
"* Required Fields","* Povinný údaj"
"Add New Address","Přidat novou adresu"
"Add New Condition","Přidat novou podmínku"
"Add to Cart","Přidat do košíku"
"Add to Compare","Přidat k porovnání"
"Add to Wishlist","Přidat k oblíbeným"
"Address","Adresa"
"Address %s of %s","Adresa <span class=""shipment-count"">%s</span> z %s"
"After Adding a Product Redirect to Shopping Cart","Po přidání produktu přejít do košíku"
"Allow Guest Checkout","Povolit nákup návštěvníkům"
"Already registered?","Už máte registraci?"
"An error occurred in the process of payment","Vyskytla se chyba při zpracování platby"
"Apply","Použít"
"Apply Coupon","Použít kupón"
"Are you sure you would like to remove this item from the shopping cart?","Jste si jisti, že chcete odebrat tuto položku z košíku?"
"Back","Zpět"
"Back to Billing Information","Zpět na fakturační údaje"
"Back to Select Addresses","Zpět na výběr adres"
"Back to Shipping Information","Zpět na doručovací údaje"
"Back to Shopping Cart","Zpět na nákupní košík"
"Based on your selection, you may be interested in the following items:","Na základě Vašeho výběru by Vás mohly zajímat následující položky:"
"Billing Address","Fakturační adresa"
"Billing Information","Fakturační údaje"
"Billing Information - %s","Platební údaje - %s"
"Cancel","Zrušit"
"Cancel Coupon","Zrušit kupón"
"Cannot process the item.","Položka nelze zpracovat."
"Card Verification Number Visual Reference","Nápověda ke kontrolnímu číslu karty"
"Cart Subtotal:","Celkem v košíku:"
"Change","Změnit"
"Change Billing Address","Změnit fakturační adresu"
"Checkbox Text","Text zaškrtávacího políčka"
"Checkout","Pokladna"
"Checkout Conditions","Podmínky pokladny"
"Checkout Options","Možnosti pokladny"
"Checkout Terms and Conditions","Obchodní podmínky pokladny"
"Checkout as Guest","Zaplatit jako host"
"Checkout as a Guest or Register","Objednat jako host nebo registrovat"
"Checkout with Multiple Addresses","Zaplatit s více adresami"
"City","Město"
"Clear Shopping Cart","Vyprázdnit košík"
