"Active","Aktivní"
"Add Attribute Mapping","Propojit vlastnosti"
"Add New Attribute","Přidat nový atribut"
"Add to Google Base","Přidat do Google Base"
"Are you sure?","Skutečně chcete provést tuto akci?"
"Attribute","Atribut"
"Attribute Set","Sada atributů"
"Attribute Set and Item Type","Sada vlastností a typů položky"
"Attributes","Atributy"
"Attributes Set","Sada vlastností"
"Available Products","Dostupné produkty"
"Cannot update Google Base Item for Store '%s'","Nelze aktualizovat Google Base položky pro obchod '%s'"
"Captcha confirmation error: %s","Chyba ověřovacího obrázku: %s"
"Catalog","Katalog"
"Clicks","Klik"
"ClientLogin","Přihlášení"
"Confirm","Potvrdit"
"Current Mapping will be reloaded. Continue?","Aktuální mapování bude znovunačteno. Pokračovat?"
"Custom attribute, no mapping","Vlastní atribut, nemapováno"
"Delete","Smazat"
"Delete Mapping","Smazat přiřazení"
"Edit Item Type","Upravit typ položky"
"Edit Item Type ""%s""","Upravit typ položky ""%s"""
"Error: %s","Chyba: %s"
"Expires","Vyprší"
"Google Base Attribute","Vlastnosti Google Base"
"Google Base Item Type","Google Base typ položky"
"Google Base Item type","Google Base typ položky"
"Google Base Items","Položky Google Base"
"Hide","Skrýt"
"Impr.","Zobr."
"Invalid Product Model for Google Base Item","Chybný model produktu pro položku Google Base"
"Item Type was deleted","Typ položky byl smazán"
"Item Types","Typy položky"
"Items","Položky"
"Manage Attribute Mapping","Spravovat vlastnosti přiřazení"
"Manage Attributes","Správa vlastností"
"Manage Items","Správa položek"
"New Item Type","Nový typ položky"
"No","Ne"
"No items were deleted from Google Base","Nebyly smazány žádné položky z Google Base"
"No items were published","Žádné položky nebyly zveřejněny"
"No products were added to Google Base","Žádné produkty nebyly přidány do Google Base"
"Please, select Attribute Set and Google Item Type to load attributes","Prosím vyberte množinu vlastností a typ položky k načtení atributů"
"Product Name","Název produktu"
"Publish","Zveřejnit"
"Published","Zveřejněno"
"Remove","Odstranit"
"Save Mapping","Uložit přiřazení"
"Synchronize","Synchronizovat"
"Target Country","Cílová země"
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Tato akce aktualizuje statistiku a odebere položky které nejsou dostupné v Google Base. Pokračovat?"
"Unable to connect to Google Base. Please, check Account settings in configuration.","Nelze se spojit s Google Base. Prosím zkontrolujte nastavení účtu v nastavení."
"View Available Products","Zobrazit dostupné produkty"
"View Item in Google Base","Zobrazit položky v Google Base"
"Yes","Ano"
