"Action","Akce"
"Add Sitemap","Přidat mapu stránek"
"Always","Vždy"
"CMS Pages Options","Možnosti CMS stránek"
"Categories Options","Možnosti kategorií"
"Daily","Denně"
"Edit Sitemap","Upravit mapu stránek"
"Enabled","Zapnuto"
"Error Email Recipient","Příjemce chybového e-mailu"
"Error Email Sender","Odesílatel chybového e-mailu"
"Error Email Template","Šablona chybového e-mailu"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","Soubor ""%s"" nemohl být uložen. Prosím ujistěte se, že adresář ""%s"" je zapisovatelný webserverem."
"Filename","Název souboru"
"Frequency","Četnost"
"Generate","Vytvořit"
"Generation Settings","Nastavení generování"
"Hourly","Hodinově"
"Last Time Generated","Naposledy generováno"
"Link for Google","Odkaz pro Google"
"Monthly","Měsíčně"
"Never","Nikdy"
"New Sitemap","Nová mapa stránek"
"Path","Cesta"
"Please create the specified folder ""%s"" before saving the sitemap.","Prosím vyrobte adresář ""%s"" před uložením mapy stránek."
"Please define correct path","Prosím zadejte platnou cestu"
"Please make sure that ""%s"" is writable by web-server.","Prosím ujistěte se, že ""%s"" je zapisovatelný webserverem."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Používejte prosím pouze písmena (a-z nebo A-Z), čísla (0-9) nebo podtržítko (_) ve jménech. Mezery a ostatní znaky nejsou povoleny."
"Priority","Priorita"
"Products Options","Možnosti produktů"
"Sitemap","Mapa stránek"
"Sitemap generate Warnings","Mapa stránek generuje upozornění"
"Start Time","Čas zahájení"
"Store View","Zobrazení obchodu"
"The priority must be between 0 and 1.","Priorita musí být číslo od 0 do 1."
"This sitemap no longer exists.","Tato mapa stránek již neexistuje"
"Weekly","Týdně"
"Yearly","Ročně"
