"Alert Email Sender","Odesílatel hlídání produktů"
"Alert subscription has been saved.","Upozornění bylo uloženo."
"Allow Alert When Product Comes Back in Stock","Povolit upozornění na naskladnění produktu"
"Allow Alert When Product Price Changes","Povolit upozornění na změnu ceny produktu"
"Click here not to receive alerts for this product","Klepněte zde pro zrušení hlídání této položky"
"Error Email Recipient","Příjemce chybového e-mailu"
"Error Email Sender","Odesílatel chybového e-mailu"
"Error Email Template","Šablona chybového e-mailu"
"Frequency","Četnost"
"Price Alert Email Template","Šablona e-mailu hlídání produktů"
"Price:","Cena:"
"Product Alerts","Hlídání produktů"
"Product Alerts Run Settings","Nastavení spouštění hlídání produktů"
"Product alerts Cron error","Chyba Cronu při produktovém upozorňování"
"Product price alert","Upozornění na cenu produktu"
"Product stock alert","Upozornění na stav skladu produktu"
"Regular Price:","Běžná cena:"
"Sign up for price alert","Odebírat upozornění na cenu"
"Sign up to get notified when this product is back in stock","Odebírat upozornění pokud je zboží opět skladem"
"Special price:","Zvláštní cena:"
"Start Time","Čas zahájení"
"Stock Alert Email Template","Šablona e-mailu naskladnění"
"You will no longer receive price alerts for this product.","Změna ceny produktu vám už nebude oznamována."
"The product was not found.","Produkt nebyl nalezen."
"Unable to update the alert subscription.","Odběr oznámení nelze upravit."
"Unsubscribe from all price alerts","Odhlásit odběr všech oznámení změny ceny"
"Unsubscribe from all stock alerts","Odhlásit odběr všech oznámení naskladnění"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Obdržel jste tuto zprávu proto, že jste se přihlásil k odběru upozorňění pokud bude zboží opět na skladě:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Obdržel jste tuto zprávu proto, že jste chtěl být upozorněn, pokud dojde ze změně ceny následujících produktů:"
"You will no longer receive stock alerts for this product.","Naskladnění produktu vám už nebude oznamováno."
"You will no longer receive stock alerts.","Naskladnění vám už nebude oznamováno."
