"-- Please Select --","-- Vyberte --"
"Actions","Akce"
"Add Layout Update","Přidat úpravu rozložení"
"All","Vše"
"All Pages","Všechny stránky"
"All Product Types","Všechny typy produktů"
"Anchor Categories","Záchytné kategorie"
"Apply","Použít"
"Assign to Store Views","Přiřadit k zobrazení"
"Big Image","Velký obrázek"
"Categories","Kategorie"
"Choose...","Zvolit..."
"Close","Zavřít‏"
"Continue","Pokračovat"
"Default Template","Výchozí šablona"
"Delete","Smazat"
"Design Package/Theme","Téma vzhledu"
"Export to:","Export do:"
"Frontend Properties","Přední vlastnosti"
"Generic Pages","Obecné stránky"
"Images","Obrázky"
"Insert Widget","Vložit widget"
"Layout Updates","Úprava rozložení"
"New Widget Instance","Nová instance widgetu"
"Next page","Další stránka"
"Non-Anchor Categories","Nezáchytné kategorie"
"Not Selected","Nezvoleno"
"Open Chooser","Otevřít výběr"
"Page","Stránka"
"Previous page","Předchozí stránka"
"Products","Produkty"
"Remove Layout Update","Odstranit úpravu rozložení"
"Save and Continue Edit","Použít"
"Select All","Vybrat vše"
"Select Visible","Zvolit viditelné"
"Settings","Nastavení"
"Sort Order","Řadit podle"
"Specified Page","Určená stránka"
"Template","Šablona"
"The information in this tab has been changed.","Údaje v této záložce byly změněny."
"The widget instance has been deleted.","Instance widgetu byla odstraněna."
"The widget instance has been saved.","Instance widgetu byla uložena."
"This tab contains invalid data. Please solve the problem before saving.","Tato záložka obsahuje chybná data. Odstraňte je prosím před uložením."
"Thumbnail","Náhled"
"Total %d records found","Celkem nalezeno záznamů: %d"
"Type","Typ"
"Unselect All","Zrušit výběr všech"
"Unselect Visible","Zrušit výběr viditelných"
"View","Zobrazit"
"Widget ID","ID widgetu"
"Widget Insertion","Vložení widgetu"
"Widget Options","Nastavení widget"
"Widget Type","Typ widgetu"
"Widgets","Widgety"
"items selected","Vybrané položky"
"of %s pages","stránek %s"
"per page","na stránce"
