"%s - Discounts and Coupons","%s - Slevy a kupóny"
"%s RSS Feed","%s RSS kanál"
"%s has reached a quantity of %s.","%s dosáhl množství %s."
"%s's Wishlist","Seznamů přání: %s"
"Cannot retrieve the wishlist","Nemohu získat seznam přání"
"Catalog","Katalog"
"Category Feeds","Kategorie zdrojů"
"Click for price","Kliknutím zobrazíte cenu"
"Comment: %s<br/>","Komentářů: %s<br/>"
"Coupons/Discounts","Kupóny/slevy"
"Current Status: %s<br/>","Aktuální stav: %s<br/>"
"Customer Name: %s","Jméno zákazníka: %s"
"Customer Order Status Notification","Oznámení o stavu objednávky zákazníka"
"Details for %s #%s","Detail pro %s #%s"
"Discount","Sleva"
"Discount (%s)","Sleva (%s)"
"Enable RSS","Povolit RSS"
"Error in processing xml. %s","Chyba při zpracování xml. %s"
"From:","Od:"
"Get Feed","Odebírat RSS"
"Gift Message","Darovací vzkaz"
"Grand Total","Celkový součet"
"Low Stock Products","Nízká zásoba produktů"
"Message:","Vzkaz:"
"Miscellaneous Feeds","Různé informační kanály"
"New Orders","Nové objednávky"
"New Products","Nové produkty"
"New Products from %s","Nové produkty od %s"
"Notified Date: %s<br/>","Datum oznámení: %s<br/>"
"Order","Objednávka"
"Order # %s Notification(s)","Oznámení objednávky %s"
"Order #%s created at %s","Objednávka %s vytvořena v %s"
"Pending product review(s)","Nevyřízené recenze produktu"
"Product: ""%s"" review By: %s","Produkt: ""%s"" recenzovaný: %s"
"Product: <a href=""%s"">%s</a> <br/>","Produkt: <a href=""%s"">%s</a> <br/>"
"Products tagged with %s","Produkty označené s %s"
"Purchased From: %s","Koupený od: %s"
"RSS Feeds","RSS kanály"
"RSS Feeds Section","Sekce RSS zdroje"
"Review: %s <br/>","Recenze: %s <br/>"
"Rss Config","Nastavení RSS"
"Shipping &amp; Handling","Přepravné a balné"
"Special Products","Speciální produkty"
"Store: %s <br/>","Obchod: %s <br/>"
"Subtotal","Mezisoučet"
"Summary of review: %s <br/>","Souhrn recenzí: %s <br/>"
"Tags Products","Štítky produktů"
"Tax","DPH"
"There are no Rss Feeds","Zde nejsou RSS kanály"
"To:","Komu:"
"Top Level Category","Kategorie nejvyšší úrovně"
"Total: %s<br/>","Celkem: %s <br/>"
"Wishlist","Oblíbené"
"click <a href=""%s"">here</a> to view the review","klikněte <a href=""%s"">zde</a> pro zobrazení recenze"
