"Add Minimum Qty","Přidat minimální množství"
"Allow Qty Below 0","Povolit přečerpání zásoby do záporného stavu"
"Allow Qty Below 0 and Notify Customer","Povolit přečerpání a zákazníka upozornit"
"Automatically Return Credit Memo Item to Stock","Při dobropisu navýšit zásobu"
"Backorders","Přečerpání zásob"
"By Fixed value","Snížit o pevnou hodnotu"
"By Percentage","Snížit o procentuální hodnotu"
"Catalog Inventory","Sklad"
"Decrease Stock When Order is Placed","Při objednávce snížit zásobu"
"Display Out of Stock Products","Zobrazit produkty, které nejsou skladem"
"Enable Qty Increments","Zapnout násobky množství"
"In Stock","Skladem"
"Inventory","Inventář"
"Inventory API","API skladu"
"Manage Stock","Sledovat zásoby"
"Maximum Qty Allowed in Shopping Cart","Maximální množství v košíku"
"Minimum Qty","Minimální množství"
"Minimum Qty Allowed in Shopping Cart","Minimální množství v košíku"
"No Backorders","Nepovolit přečerpání"
"Notify for Quantity Below","Avizovat při počtu menší než"
"Only X left Threshold","Posledních x ks skladem"
"Out of Stock","Není skladem"
"Product Name","Název produktu"
"Product Stock Options","Nastavení zásoby produktu"
"Products will still be shown by direct product URLs.","Pod přímou URL se budou produkty stále zobrazovat."
"Qty","Množství"
"Qty Increments","Násobky množství"
"Retrieve stock data","Načíst data skladu"
"Retrieve stock data by product ids","Získat data skladu podle ID produktu"
"Rule price","Pravidlo ceny"
"Set Items' Status to be In Stock When Order is Cancelled","Při zrušení objednávky nastavit stav Skladem"
"Stock Options","Nastavení zásob"
"Stock Status","Stav zásob"
"The maximum quantity allowed for purchase is %s.","Maximální povolené množství na objednávku je %s."
"The minimum quantity allowed for purchase is %s.","Minimální povolené množství na objednávku je %s."
"The requested quantity for ""%s"" is not available.","Požadované množství ""%s"" není dostupné."
"The stock item for Product in option is not valid.","Množství zvolené varianty produktu je neplatné."
"This product is currently out of stock.","Tento produkt je momentálně vyprodán."
"To Fixed Value","Nastavit na pevnou hodnotu"
"To Percentage","Nastavit na procentuální hodnotu"
"Update","Aktualizovat"
"Update product stock data","Aktualizovat skladová data produktu"
"Update the Product","Upravit produkt"
