" Copy","Kopírovat"
"Action","Akce"
"Add New Template","Přidat novou šablonu"
"Add to Queue","Přidat do fronty"
"Allow Guest Subscription","Povolit odběr návštěvníkům"
"Are you sure that you want to delete this template?","Jste si jisti, že chcete smazat tuto šablonu?"
"Are you sure that you want to strip all tags?","Skutečně chcete odebrat všechny tagy?"
"Back","Zpět"
"Cancel","Zrušit"
"Cancelled","Zrušeno"
"Confirmation Email Sender","Odesílatel potvrzovacího e-mailu"
"Confirmation Email Template","Šablona potvrzovacího e-mailu"
"Convert to Plain Text","Převést na prostý text"
"Create Newsletter Template","Vytvořit šablonu newsletteru"
"Customer","Zákazník"
"Customer First Name","Jméno zákazníka"
"Customer Last Name","Příjmení zákazníka"
"Date Added","Ze dne"
"Date Updated","Datum upraveno"
"Delete","Smazat"
"Delete Selected Problems","Odstranit zvolené problémy"
"Delete Template","Odstranit šablonu"
"Do you really want to cancel the queue?","Skutečně chcete frontu zrušit?"
"Edit Newsletter","Upravit zpravodaj"
"Edit Newsletter Template","Upravit šablonu newsletteru"
"Edit Queue","Upravit frontu"
"Edit Template","Upravit šablonu"
"Email","E-mail"
"Enter your email address","Zadejte svůj e-mail"
"Error Code","Kód chyby"
"Error Text","Text chyby"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","K odhlášení odběru zpravodaje klikněte na odkaz <! – odkaz pro zrušení odběru--> <a href=""{{var subscriber.getUnsubscriptionLink()}}""> {{var subscriber.getUnsubscriptionLink()}}</a>"
"Guest","Host"
"Message","Zpráva"
"Need to Confirm","Požadovat potvrzení"
"New Newsletter Template","Nová šablona newsletteru"
"New Template","Nová šablona"
"Newsletter","Zpravodaj"
"Newsletter Message Preview","Náhled zprávy newsletteru"
"Newsletter Problem Reports","Přehledy problému newsletteru"
"Newsletter Queue","Fronta newsletteru"
"Newsletter Section","Sekce newsletteru"
"Newsletter Styles","Styly newsletteru"
"Newsletter Subscribers","Odběratelé newsletteru"
"Newsletter Subscription","Odběr newsletteru"
"Newsletter Subscriptions","Příihlášení k odběru newsletteru"
"Newsletter Templates","Šablony zpravodaje"
"Newsletter subscription confirmation","Potvrzení odběru newsletteru"
"Newsletter subscription success","Úspěšné přihlášení k odběru newsletteru"
"Newsletter unsubscription success","Úspěšné zrušení odběru novinek"
"No Templates Found","Nebyly nalezeny žádné šablony"
"Not Activated","Neaktivováno"
"Not Sent","Nebyla odeslána"
"Pause","Pozastavit"
"Paused","Pozastaveno"
"Please enter a valid email address.","Zadejte prosím platnou e-mailovou adresu."
"Please enter new template name","Vložte nové jméno šablony"
"Please select subscriber(s)","Vyberte odběratele"
"Preview","Náhled"
"Preview Template","Náhled šablony"
"Processed","Zpracováno"
"Queue Date Start","Datum spuštění fronty"
"Queue Finish","Konec fronty"
"Queue Information","Údaje fronty"
"Queue Start","Start fronty"
"Queue Subject","Předmět fronty"
"Recipients","Příjemci"
"Reset","Obnovit"
"Resume","Souhrn"
"Return HTML Version","Vrátit HTML verzi"
"Save As","Uložit jako"
"Save Newsletter","Uložit newsletter"
"Save Template","Uložit šablonu"
"Save and Resume","Použít"
"Sender","Odesílatel"
"Sender Email","E-mail odesílatele"
"Sender Name","Jméno odesílatele"
"Sending","Odesílám"
"Sent","Odesláno"
"Sign Up for Our Newsletter:","Přihlaste se k odběru zpravodaje:"
"Sign up for our newsletter","Přihlásit k odběru zpravodaje"
"Start","Od data"
"Status","Stav"
"Store","Obchod"
"Store View","Zobrazení obchodu"
"Subject","Předmět"
"Submit","Odeslat"
"Subscribe","Přihlásit odběr"
"Subscribed","Přihlášen"
"Subscriber","Odběratel"
"Subscribers","Odběratelé"
"Subscribers From","Odběratelé z"
"Subscription Options","Nastavení odběru"
"Success Email Sender","Odesílatel přihlašujícího e-mailu"
"Success Email Template","Šablona přihlašujícího e-mailu"
"Template Content","Obsah šablony"
"Template Information","Nastavení šablony"
"Template Name","Název šablony"
"Template Styles","Styly šablony"
"Template Subject","Předmět šablony"
"Template Type","Typ šablony"
"Thank you for your subscription.","Děkujeme za odběr zpravodaje."
"There was a problem with the subscription: %s","Došlo k problému s přihláškou: %s"
"There was a problem with the un-subscription.","Při rušení odběru došlo k problému."
"This email address is already assigned to another user.","Tuto e-mailovou adresu již používá jiný uživatel."
"Type","Typ"
"Unconfirmed","Nepotvrzeno"
"Unsubscribe","Odhlásit odběr"
"Unsubscribe Selected","Odhlásit zvolené"
"Unsubscribed","Odhlášeno"
"Unsubscription Email Sender","Odesílatel odhlašujícího e-mailu"
"Unsubscription Email Template","Šablona odhlašovacího e-mailu"
"View Newsletter","Zobrazit newsletter"
"Website","Webová stránka"
"Your subscription has been confirmed.","Odběr zpravodaje byl potvrzen."
