"* Required Fields","* Povinný údaj"
"Comment","Komentář"
"Contact Form","Kontaktní formulář"
"Contact Information","Kontaktní informace"
"Contact Us","Napište nám"
"Contacts","Kontakty"
"Email","E-mail"
"Email Options","Nastavení e-mailu"
"Email Sender","E-mail odesílatele"
"Email Template","Šablona e-mailu"
"Enable Contact Us","Zapnout kontaktní formulář"
"Name","Jméno"
"Send Emails To","E-maily odesílat na"
"Submit","Odeslat"
"Telephone","Telefon"
"Unable to submit your request. Please, try again later","Nelze odeslat Váš požadavek. Prosím zkuste to později"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Váš dotaz byl odeslán a bude vyřízen jakmile to bude možné. Děkujeme za Váš zájem."
