" for more information or "," pro více informací nebo "
"# of Items (and above)","Množství (a vyšší)"
"# of Items vs. Destination","Množství vs. Místo doručení"
"Allow Shipping to Multiple Addresses","Povolit doručení na více adres"
"Calculate Handling Fee","Výpočet balného"
"Carrier:","Dopravce:"
"City","Město"
"Close Window","Zavřít okno"
"Condition","Podmínky"
"Country","Země"
"Custom Value","Vlastní hodnota"
"Date","Datum"
"Delivered on:","Doručeno dne:"
"Delivered to:","Doručený v:"
"Description","Popis"
"Displayed Error Message","Zobrazená chybová zpráva"
"Divide to equal weight (one request)","Rozdělit na stejnou hmotnost (jeden požadavek)"
"Enabled","Zapnuto"
"Error:","Chyba:"
"Fixed","Pevná"
"Flat Rate","Paušální sazba"
"Free Shipping","Doprava zdarma"
"Handling Fee","Balné"
"Include Virtual Products in Price Calculation","Do kalkulace zahrnout virtuální produkty"
"Info:","Informace:"
"Invalid Table Rate code for type %s: %s","Chybná tabulka cen pro %s: %s"
"Invalid Table Rate code type: %s","Chybná tabulka cen pro: %s"
"Invalid Table Rates File Format","Chybný formát souboru tabulky poplatků"
"Local Time","Místní čas"
"Location","Lokalita"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Maximální množství povolené pro doručení na více adres"
"Method Name","Název metody"
"Minimum Order Amount","Minimální výše objednávky"
"N/A","nedefinováno"
"None","Nic"
"Options","Možnosti"
"Order Subtotal (and above)","Mezisoučet objednávky (a vyšší)"
"Origin","Původ"
"Per Order","Na objednávku"
"Per Package","Na zásilku"
"Percent","Procenta"
"Price","Cena"
"Price vs. Destination","Cena vs. Místo doručení"
"Region/State","Kraj / region"
"Service Type:","Typ služby:"
"Ship to Applicable Countries","Doručení do dostupných zemí"
"Ship to Specific Countries","Doručení do zvolených zemí"
"Shipment #","Zásilka #"
"Shipped or billed on:","Doručený nebo fakturovaný na:"
"Shipping Methods","Způsoby přepravy"
"Shipping Settings","Nastavení přepravy"
"Show Method if Not Applicable","Zobrazit způsob, i když není použitelný"
"Signed by:","Podepsaný od:"
"Sort Order","Řadit podle"
"Status:","Stav:"
"Store Pickup","Osobní odběr"
"Street Address","Ulice"
"Street Address Line 2","2 řádek ulice"
"Table Rates","Tabulka sazeb"
"The shipping module is not available.","Modul přepravy není dostupný."
"There is no tracking available for this shipment.","Sledovací údaje této zásilky nejsou k dispozici."
"There is no tracking available.","Sledovací údaje nejsou k dispozici."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Tato metoda doručení není momentálně dostupná. Pokud ji chcete přesto pro doručení použít, prosím kontaktujte nás."
"Title","Název"
"Track:","Cesta:"
"Tracking Information","Sledovací údaje"
"Tracking Number:","Sledovací číslo:"
"Tracking information is currently not available. Please ","Sledovací údaje momentálně nejsou k dispozici. Prosím "
"Tracking information is currently unavailable.","Informace o sledování nejsou momentálně dostupné. Prosím "
"Type","Typ"
"Use origin weight (few requests)","Použít původní hmotnost (více požadavků)"
"Weight (and above)","Hmotnost (a vyšší)"
"Weight vs. Destination","Hmotnost vs. Místo doručení"
"Weight:","Váha:"
"ZIP/Postal Code","PSČ"
"contact us","kontaktujte nás"
"email us at ","pište nám na "
