"""Remember Me"" Default Value","Výchozí hodnota ""Zapamatovat"""
"* Required Fields","* Povinný údaj"
"Address","Adresa"
"Address Information","Informace o adrese"
"Already registered?","Už máte registraci?"
"Back","Zpět"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Díky zákaznickému účtů můžete rychleji zaplatit, uložit více dodacích adres, sledovat Vaše objednávky a mnoho dalšího."
"Checkout as Guest","Zaplatit jako host"
"Checkout as a Guest or Register","Objednat jako host nebo registrovat"
"City","Město"
"Close","Zavřít‏"
"Company","Společnost"
"Confirm Password","Potvrdit heslo"
"Continue","Pokračovat"
"Country","Země"
"Create an Account","Vytvořit účet"
"Easy access to your order history and status","Snadný přístup k historii a stavu Vašich objednávek"
"Email Address","E-mailová adresa"
"Enable ""Remember Me""","Zapnout ""Zapamatovat"""
"Enable Persistence","Zapnout trvalý košík"
"Fast and easy check out","Rychle a snadné placení"
"Forgot Your Password?","Zapomněli jste heslo?"
"Forgot your password?","Obnova hesla"
"General Options","Základní údaje"
"If you have an account with us, please log in.","Pokud zde máte účet, pak se prosím přihlašte."
"Loading next step...","Nahrávám další krok..."
"Login","Přihlášení"
"Login Information","Přihlašovací informace"
"Login or Create an Account","Přihlásit se, nebo vytvořit účet"
"New Customers","Noví zákazníci"
"Password","Heslo"
"Persist Shopping Cart","Trvalý nákupní košík"
"Persistence Lifetime (seconds)","Životnost trvalého košíku (vteřiny)"
"Persistent Shopping Cart","Trvalý nákupní košík"
"Personal Information","Osobní údaje"
"Please log in below:","Prosím přihlaste se níže:"
"Please select region, state or province","Zvolte kraj / region prosím"
"Register","Registrovat"
"Register and save time!","Registrujte se a ušetřete čas!"
"Register to Create an Account","Vytvořit účet"
"Register with us for future convenience:","Registrace přináší mnoho výhod:"
"Registered Customers","Registrovaní zákazníci"
"Remember Me","Zapamatovat"
"Save in address book","Uložit do adresáře"
"Select State/Province...","Vyberte stát/provincii..."
"Select a billing address from your address book or enter a new address.","Vyberte z adresáře fakturační adresu nebo <a href=""#"" onclick=""billing.newAddress(true); return false;"">zadejte novou</a>."
"Ship to different address","Zaslat na jinou adresu"
"Ship to this address","Zaslat na tuto adresu"
"Sign Up for Newsletter","Přihlásit se k odběru newsletteru"
"State/Province","Kraj / region"
"Street Address","Ulice"
"Submit","Odeslat"
"Telephone","Telefon"
"VAT Number","DIČ"
"Welcome, %s!","Vítejte, %s!"
"What's this?","Co to znamená?"
"Zip/Postal Code","PSČ"
