"Actions","Akce"
"Are you sure?","Skutečně chcete provést tuto akci?"
"Date Added","Ze dne"
"Last Update","Poslední aktualizace"
"Mark as Read","Označit jako přečtené"
"Mark as read","Označit jako přečteno"
"Message","Zpráva"
"Messages Inbox","Složka příchozích zpráv"
"Notifications","Oznámení"
"Please select messages.","Zvolte zprávy prosím."
"Read Details","Číst podrobnosti"
"Remove","Odstranit"
"Severity","Závažnost"
"Show List","Zobrazit seznam"
"Show Toolbar","Zobrazit panel nástrojů"
"The message has been removed.","Zpráva byla odstraněna."
"Update Frequency","Četnost aktualizace"
"Use HTTPS to Get Feed","K příjmu zpráv použít HTTPS"
"Wrong message type","Chybný typ zprávy"
"critical","výstraha"
"major","varování"
"minor","upozornění"
"notice","oznámení"
