"-- Please select --","-- Vyberte --"
"Allowed Currencies","Povolené měny"
"Base Currency","Základní měna"
"Connection Timeout in Seconds","Časový limit spojení v sekundách"
"Continue &raquo;","Pokračovat &raquo;"
"Country","Země"
"Country and Format Type combination should be unique","Kombinace země a typu formátu by měl být jedinečný"
"Currency","Měna"
"Currency Options","Možnosti měny"
"Currency Setup","Nastavení měny"
"Currency Update Warnings","Varování aktualizace kurzu"
"Default Display Currency","Výchozí zobrazovaná měna"
"Directory","Adresář"
"Enabled","Zapnuto"
"Error Email Recipient","Příjemce chybového e-mailu"
"Error Email Sender","Odesílatel chybového e-mailu"
"Error Email Template","Šablona chybového e-mailu"
"FATAL ERROR:","ZÁVAŽNÁ CHYBA:"
"Frequency","Četnost"
"Installed Currencies","Nainstalované měny"
"Invalid country code: %s","Neplatný kód země: %s"
"Invalid rates received","Obdrženy chybné sazby"
"List of countries","Seznam zemí"
"List of regions in specified country","Seznam krajů ve vybrané zemi"
"Region","Kraj"
"Scheduled Import Settings","Nastavení rozvrhu importu"
"Select Your Currency","Vyberte měnu"
"Service","Služba"
"Start Time","Čas zahájení"
"State/Province","Kraj / region"
"Strikeiron Email Update Warnings","Strikeiron emai varování aktualizace"
"WARNING:","VAROVÁNÍ:"
"Your current currency is: %s","Vaše aktuální měna je: %s"
