"Add","Přidat"
"Add New Row","Přidat nový záznam"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Název souboru může obsahovat pouze alfanumerické znaky, pomlčku a podtržítko. Nesprávné znaky budou nahrazeny podtržítkem."
"An error occurred while saving the file(s).","Chyba během ukládání souborů."
"Availability:","Dostupnost:"
"Back","Zpět"
"Canceled","Zrušeno"
"Category API","API kategorií"
"Date","Datum"
"Default Link Title","Výchozí název odkazu"
"Default Maximum Number of Downloads","Výchozí maximální počet stažení"
"Default Sample Title","Výchozí ukázkový název"
"Delete","Smazat"
"Disable Guest Checkout if Cart Contains Downloadable Items","Vypnout pokladnu hostům, pokud košík obsahuje produkt ke stažení"
"Downloadable Information","Nastavení stažení"
"Downloadable Product","Elektronicky distribuovaný produkt"
"Downloadable Product Options","Nastavení produktu ke stažení"
"Downloadable Product Section","Sekce produkt ke stažení"
"Edit","Upravit"
"Edit item parameters","Upravit parametry"
"Excl. Tax","bez DPH"
"File","Soubor"
"From:","Od:"
"Gift Message","Darovací vzkaz"
"Go to <a href=""%s"">My Downloadable Products</a>","Přejít na <a href=""%s"">Moje produkty ke stažení</a>"
"Guest checkout will only work with shareable.","Pokladna hosta bude pracovat pouze se sdílitelnými."
"In stock","Skladem"
"Incl. Tax","s DPH"
"Invalid download link type.","Neplatný typ odkazu ke stažení."
"Invoiced","Fakturováno"
"Links can be purchased separately","Odkazy mohou být zakoupeny samostatně"
"List","Seznam"
"Max. Downloads","Max. stažení"
"Message:","Vzkaz:"
"Move","Přesunout"
"My Downloadable Products","Mé produkty ke stažení"
"Open Links in New Window","Otevřít odkaz v novém okně"
"Order #","Objednávka č."
"Order Item Status to Enable Downloads","Stav objednávky pro zapnutí stahování"
"Order id cannot be null","ID objednávky nemůže být prázdné"
"Order item id cannot be null","ID položky objednávky nemůže být prázdné"
"Ordered","Objednáno"
"Out of stock","Není skladem"
"Pending","Nevyřízená"
"Please log in to download your product.","Přihlaste se pro stahování Vašich produktů."
"Please set resource file and link type.","Nastavte zdrojový soubor a typ odkazu."
"Please specify product link(s).","Zvolte odkazy produktu prosím."
"Price","Cena"
"Qty","Množství"
"Refunded","Vráceno"
"Remaining Downloads","Zbývá počet stažení"
"Remove","Odstranit"
"Remove Item","Odebrat položku"
"SKU","Kód"
"Sample","Ukázka"
"See price before order confirmation.","Cenu uvidíte před odesláním objednávky."
"Shareable","Lze sdílet"
"Shipped","Odesláno"
"Sorry, there was an error getting requested content. Please contact the store owner.","Při získávání požadovaného obsahu nastala chyba. Obraťte se na vlastníka obchodu."
"Sort Order","Řadit podle"
"Start Download","Spustit stahování"
"Status","Stav"
"Subtotal","Mezisoučet"
"The link has expired.","Platnost odkazu vypršela."
"The link is not available.","Odkaz není dostupný."
"Title","Název"
"To:","Komu:"
"Unlimited","Neomezeno"
"Update","Aktualizovat"
"Use Content-Disposition","Použít Content-Disposition"
"Use Default Value","Použít výchozí hodnotu"
"View Order","Zobrazit objednávku"
"What's this?","Co to znamená?"
"You have not purchased any downloadable products yet.","Žádný produkt ke stažení nemáte zatím zakoupen."
"attachment","příloha"
"download","stáhnout"
"inline","řadový"
"sample","ukázka"
