"# of Use","počet použití"
"%1$s incl tax.","%1$s s daní."
"%s Item(s)","položek: %s"
"(Copy data from: %s)","(Kopírovat data z: %s)"
"* Required Fields","* Povinný údaj"
"-- Please Select --","-- Vyberte --"
"A group with the same name already exists.","Skupina s tímto názvem již existuje."
"A name is required","Je požadováno jméno"
"A product type is not defined for the indexer.","Typ produktu není definován indexerem."
"ALL GROUPS","VŠECHNY SKUPINY"
"AM","dop."
"Action","Akce"
"Actual Price","Aktuální cena"
"Add","Přidat"
"Add Attribute","Přidat atribut"
"Add Design Change","Přidat změnu vzhledu"
"Add Group","Přidat skupinu"
"Add New","Přidat nový"
"Add New Attribute","Přidat nový atribut"
"Add New Attribute Set","Přidat novou sadu atributů"
"Add New Group","Přidat novou skupinu"
"Add New Images","Přidat nové obrázky"
"Add New Option","Přidat novou možnost"
"Add New Row","Přidat nový záznam"
"Add New Search Term","Přidat nový hledaný výraz"
"Add New Set","Přidat novou množinu"
"Add Product","Přidat produkt"
"Add Product To Websites","Přidat produkt k webům"
"Add Root Category","Přidat hlavní kategorii"
"Add Subcategory","Přidat podkategorii"
"Add Tax","Přidat DPH"
"Add Tier","Přidat slevu"
"Add to Cart","Přidat do košíku"
"Add to Compare","Přidat k porovnání"
"Add to Wishlist","Přidat k oblíbeným"
"Additional Information","Další informace"
"All","Vše"
"All Product Types","Všechny typy produktů"
"All Websites","Všechny weby"
"All products","Všechny produkty"
"All products - recently added products, New products - products marked as new","Všechny produkty - poslední přidané produkty, Nové produkty - produkty nastavené jako novinka"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Všechny produkty z této množiny budou smazány! Jste si jisti, že chcete smazat tuto množinu atributů?"
"Allow All Products per Page","Umožnit zobrazení všech produktů na stránku"
"Allowed File Extensions","Povolené přípony souboru"
"Allowed file extensions to upload","Povolené přípony souboru pro nahrávání"
"Amount","Množství"
"Anchor Custom Text","Vlastní text záchytného odkazu"
"Anchor Custom Title","Vlastní název kotvy"
"Apply To","Platí pro"
"Approved","Schváleno"
"Are you sure you want to delete this category?","Jste si jisti, že chcete odstranit tuto kategorii?"
"Are you sure you would like to remove all products from your comparison?","Jste si jisti, že chcete odstranit všechny položky k porovnání?"
"Are you sure you would like to remove this item from the compare products?","Jste si jisti, že chcete odebrat tuto položku z porovnávaných produktů?"
"Are you sure?","Skutečně chcete provést tuto akci?"
"As low as:","Nejméně:"
"Assign","Přiřadit"
"Assign product link","Odkaz na přiřazený produkt"
"Assign product to category","Zařadit produkt do kategorie"
"Assigned Products","Přiřazené produkty"
"Associated Products","Přiřazené produkty"
"Attrib. Set Name","Název množiny vlastností"
"Attribute Information","Informace o atributu"
"Attribute Model","Model atributu"
"Attribute Name:","Název vlastnosti:"
"Attribute Set","Sada atributů"
"Attribute Sets","Sady atributů"
"Attribute with the same code already exists","Vlastnost s tímto kódem již existuje"
"Attributes","Atributy"
"Attrribute names can be specified per store.","Vlastnost jméno může být specifické pro každý obchod."
"Autogenerate","Vygenerovat automaticky"
"Availability:","Dostupnost:"
"Back","Zpět"
"Backend Model","Model backend-u"
"Backend Table","Tabulka backend-u"
"Backend Table Title","Nadpis tabulky backend-u"
"Backorders","Přečerpání zásob"
"Based On","Na základě"
"Before Order Confirmation","Před potvrzením objednávky"
"Best Value","Nejlepší hodnota"
"Block after Info Column","Blok za Info sloupcem"
"Bottom/Left","Dole / vlevo"
"Bottom/Right","Dole / vpravo"
"Browse By","Procházet podle"
"Bundle Items","Položky sestavy"
"Buy %1$s for %2$s","Koupit %1$s za %2$s kus"
"Buy %1$s for %2$s (%3$s incl. tax) each","Koupit %1$s za %2$s (%3$s s daní) kus"
"Buy %1$s for %2$s each","Koupit %1$s za %2$s kus"
"Cache Lifetime (Seconds)","Životnost mezipaměti (vteřiny)"
"Can be used only with catalog input type Dropdown","Může být použito pouze s katalogovým vstupem typu ""rozbalovací menu"""
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Může být použito pouze s katalogovým vstupem typu rozbalovací menu, Vícenásobný výběr a Cena"
"Can't create image.","Nelze vytvořit obrázek."
"Cancel","Zrušit"
"Cart Item Attribute","Atribut položky v košíku"
"Catalog","Katalog"
"Catalog Category Link","Odkaz kategorie katalogu"
"Catalog New Products List","Seznam nových produktů katalogu"
"Catalog Price Scope","Cenový rozsah katalogu"
"Catalog Product Link","Odkaz produktu katalogu"
"Catalog Section","Sekce katalog"
"Catalog, Search","Katalog i hledání"
"Categories","Kategorie"
"Categories Sitemap","Mapa kategorií"
"Category","Kategorie"
"Category API","API kategorií"
"Category Data","Data kategorie"
"Category Flat Data","Sloučená data kategorie"
"Category Link Block Template","Blokový odkaz kategorie"
"Category Link Inline Template","Řádkový odkaz kategorie"
"Category Products","Produkty kategorie"
"Category Top Navigation","Top menu kategorie"
