"10 minutes","10 minut"
"15 minutes","15 minut"
"20 minutes","20 minut"
"30 minutes","30 minut"
"5 minutes","5 minut"
"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Plánování úloh) - všechny časy jsou v minutách"
"Daily","Denně"
"Failure History Lifetime","Doba uchování neúspěšných úloh"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Pro správně generované URL během běhu cronu se prosím ujistěte, že Web > Zabezpečení a Nezabezpečeno mají vyplněny výchozí URL."
"Generate Schedules Every","Doba mezi generováním rozvrhu"
"History Cleanup Every","Doba mezi čistění historie"
"Hourly","Hodinově"
"Invalid callback: %s::%s does not exist","Chybné zpětné volání: %s::%s neexistuje"
"Invalid model/method definition, expecting ""model/class::method"".","Chybná definice model/metoda, očekává se ""model/třída::metoda""."
"Minute Intervals","Minutové intervaly"
"Missed if Not Run Within","Doba do zmeškání úlohy"
"Monthly","Měsíčně"
"No callbacks found","Zpětné volání nenalezeno"
"Schedule Ahead for","Doba předstihu plánování"
"Success History Lifetime","Doba uchování úspěšných úloh"
"Unable to delete the cron task.","Nelze odstranit úkol cronu."
"Weekly","Týdně"
