"%s's Wishlist","Seznamů přání: %s"
"* Required Fields","* Povinný údaj"
"Add All to Cart","Vše přesunout do košíku"
"Add to Cart","Přidat do košíku"
"Add to Compare","Přidat k porovnání"
"Add to Wishlist","Přidat k oblíbeným"
"Added From","Přidáno od"
"Are you sure you want to remove this product from your wishlist?","Určitě chcete tuto položku odstranit z Vašeho seznamu přání?"
"Are you sure you would like to remove this item from the wishlist?","Určitě chcete tuto položku odstranit z Vašeho seznamu přání?"
"Back","Zpět"
"Can't save description %s","Nemohu uložit popis %s"
"Cannot specify product.","Produkt nelze určit."
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Zaškrtněte tuto možnost pokud chcete přidat odkaz do vašeho rss kanálu seznamu přání."
"Click for price","Kliknutím zobrazíte cenu"
"Comment","Komentář"
"Comment:","Komentář:"
"Date Added","Ze dne"
"Days in Wishlist","Dny v seznamu přání"
"Edit","Upravit"
"Email Sender","E-mail odesílatele"
"Email Template","Šablona e-mailu"
"Email address can't be empty.","Emailová adresa nesmí být prázdná."
"Email addresses, separated by commas","E-mailové adresy oddělené čárkou"
"Enabled","Zapnuto"
"General Options","Základní údaje"
"Go to Wishlist","Přejít do seznamu přání"
"In stock","Skladem"
"Last Added Items","Poslední přidané položky"
"Message","Zpráva"
"My Wishlist","Moje přání"
"My Wishlist (%d item)","Moje přání (položka: %d)"
"My Wishlist (%d items)","Moje přání (položky: %d)"
"Options Details","Podrobnosti možnosti"
"Out of stock","Není skladem"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Zadejte prosím platné e-maily oddělené čárku."
"Please, enter your comments...","Vložte prosím Váš komentář..."
"Price","Cena"
"Product","Produkt"
"Product Details and Comment","Údaje produktu a komentář"
"Qty","Množství"
"RSS Feed","RSS zdroj"
"RSS link to %s's wishlist","RSS odkaz na %s seznam přání"
"Remove Item","Odebrat položku"
"Remove This Item","Odstranit tuto položku"
"Remove item","Odebrat položku"
"SKU","Kód"
"Share Options","Údaje sdílení"
"Share Wishlist","Sdílet seznam přání"
"Share Your Wishlist","Sdílet Váš seznam přání"
"Sharing Information","Vyplňte následující údaje"
"Update Wishlist","Aktualizovat seznam přání"
"User Description","Komentář zákazníka"
"View Details","Zobrazit podrobnosti"
"View Product","Zobrazit produkt"
"What's this?","Co to znamená?"
"Wishlist","Oblíbené"
"Wishlist Section","Seznam přání"
"Wishlist Sharing","Sdílení seznamu přání"
"Wishlist is empty now.","Seznam přání je nyní prázdný."
"You have no items in your wishlist.","Ve Vašem seznamu přání nemáte žádné položky."
