"* Required Fields","* Povinný údaj"
"ALL GROUPS","VŠECHNY SKUPINY"
"Account Dashboard","Nástěnka účtu"
"Account Information","Údaje účtu"
"Account Sharing Options","Nastavení sdílení účtů"
"Action","Akce"
"Add New Address","Přidat novou adresu"
"Add New Customer","Přidat nového zákazníka"
"Add New Customer Group","Přidat novou skupinu zákazníků"
"Added From","Přidáno od"
"Additional Address Entries","Další adresy"
"Address","Adresa"
"Address Book","Adresář"
"Address Information","Informace o adrese"
"Address Templates","Šablony adres"
"Addresses","Adresy"
"All","Vše"
"All Store Views","Všechna zobrazení obchodu"
"All countries","Všechny země"
"Always optional.","Vždy volitelné."
"Amount","Množství"
"Approved","Schváleno"
"Are you sure that you want to remove this item?","Jste si jisti, že chcete odebrat tuto položku?"
"Are you sure you want to cancel adding of this address?","Určitě chcete zrušit přidávání této adresy?"
"Are you sure you want to delete this address?","Skutečně chcete tuto adresu odstranit?"
"Are you sure?","Skutečně chcete provést tuto akci?"
"Assign a Customer Group","Přiřadit skupinu zákazníků"
"Average Sale","Průměrná objednávka"
"Back","Zpět"
"Back to Login","Zpět na přihlášení"
"Bad request.","Chybný požadavek."
"Bill to Name","Účet na jméno"
"Bought From","Koupený od"
"By Email","Podle e-mailu"
"By IP","Podle IP"
"By IP and Email","Podle IP a e-mailu"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Díky zákaznickému účtů můžete rychleji zaplatit, uložit více dodacích adres, sledovat Vaše objednávky a mnoho dalšího."
"Cancel","Zrušit"
"Change Account Password","Změnit heslo účtu"
"Change Billing Address","Změnit fakturační adresu"
"Change Password","Změnit heslo"
"Change Shipping Address","Změnit doručovací adresu"
"City","Město"
"Company","Společnost"
"Config","Nastavení"
"Configure","Nastavit"
"Confirm New Password","Potvrzení nového hesla"
"Confirm Password","Potvrdit heslo"
"Confirmation Link Email","E-mail s potvrzujícím odkazem"
"Confirmed","Potvrzeno"
"Contact Information","Kontaktní informace"
"Continue Shopping","Pokračovat v nákupu"
"Country","Země"
"Create","Vytvořit"
"Create New Account Options","Nastavení nového účtu"
"Create New Customer Account","Vytvořit nový zákaznický účet"
"Create Order","Vytvořit objednávku"
"Create an Account","Vytvořit účet"
"Create customer","Vytvořit zákazníka"
"Create customer address","Vytvořit adresu zákazníka"
"Current Password","Současné heslo"
"Customer","Zákazník"
"Customer Addresses","Adresy zákazníka"
"Customer Configuration","Nastavení zákazníka"
"Customer Group","Zákaznická skupina"
"Customer Groups","Skupiny zákazníků"
"Customer Information","Informace o zákazníkovi"
"Customer Login","Přihlášení zákazníka"
"Customer Since","Zákazníkem od"
"Customer View","Zobrazit obchod"
"Customer will stay on the current page if ""No"" is selected.","Zvolíte-li ""Ne"", zákazník zůstane na původní stránce."
"Customers","Zákazníci"
"Customers Only","Pouze zákazníci"
"Customers Section","Sekce zákazníci"
"Date","Datum"
"Date Added","Ze dne"
"Date of Birth","Datum narození"
"Day","Den"
"Days in Wishlist","Dny v seznamu přání"
"Default Addresses","Výchozí adresy"
"Default Billing Address","Výchozí fakturační adresa"
"Default Email Domain","Výchozí doména e-mailu"
"Default Group","Výchozí skupina"
"Default Shipping Address","Výchozí doručovací adresa"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Výchozí hodnota pro Vypnout automatickou změnu skupiny podle DIČ"
"Default Welcome Email","Výchozí uvítací e-mail"
"Delete","Smazat"
"Delete Address","Smazat adresu"
"Delete Customer","Odstranit zákazníka"
"Delete Customer Group","Odstranit skupinu zákazníků"
"Delete customer","Smazat zákazníka"
"Delete customer address","Smazat zákazníkovu adresu"
"Deleted Stores","Odstraněné obchody"
"Details","Podrobnosti"
"Disabled","Vypnuto"
"Edit","Upravit"
"Edit Account Info","Upravit informace o účtu"
"Edit Account Information","Upravit údaje účtu"
"Edit Address","Upravit adresu"
"Edit Address Entry","Upravit adresní záznam"
"Edit Customer Group ""%s""","Upravit zákaznickou skupinu ""%s"""
"Edit Customer Groups","Upravit skupiny zákazníků"
"Edit Customer's Address","Upravit zákaznické adresy"
"Edit Group","Upravit skupinu"
"Edit Newsletters","Upravit zpravodaje"
"Email","E-mail"
"Email Address","E-mailová adresa"
"Email Sender","E-mail odesílatele"
"Email:","E-mail:"
"Enable Automatic Assignment to Customer Group","Zapnout automatické přiřazení skupiny zákazníků"
"Failed to confirm customer account.","Chybně potvrzený účet zákazníka."
"First Name","Jméno"
"Forgot Email Template","Šablona e-mailu zapomenutého hesla"
"Forgot Password","Zapomenuté heslo"
"Forgot Your Password?","Zapomněli jste heslo?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Na nástěnce Vašeho účtu můžete sledovat souhrn posledních událostí na Vašem účtu. Vyberte odkaz níže pro prohlížení nebo úpravu informací."
"Gender","Pohlaví"
"General Subscription","Obecný zpravodaj"
"Generate Human-Friendly Customer ID","Generovat přívětivé ID zákazníka"
"Global","Globální"
"Group","Skupina"
"Group Information","Informace o skupině"
"Group Name","Název skupiny"
"Group for Invalid VAT ID","Skupina pro neplatné DIČ"
"Group for Valid VAT ID - Domestic","Skupina pro platné DIČ - vnitrostátní"
"Group for Valid VAT ID - Intra-Union","Skupina pro platné DIČ - uvnitř EU"
"Guest","Host"
"Hello, %s!","Vítejte, %s!"
"IP Address","IP adresa"
"If you have an account with us, please log in.","Pokud zde máte účet, pak se prosím přihlašte."
"Invalid current password","Zadané heslo je neplatné"
"Invalid customer data","Chybná zákaznická data"
"Invalid login or password.","Neplatné přihlašovací jméno nebo heslo."
"Last Activity","Poslední aktivita"
"Last Date Subscribed","Naposledy přihlášen"
"Last Date Unsubscribed","Naposledy odhlášen"
"Last Name","Příjmení"
"Leave empty for default (15 minutes).","Pro výchozích 15 minut nechte údaj prázdný."
"Leave empty for default (2). Valid range: 1-4","Ponechte prázdné pro výchozí (2). Platný rozsah je 1- 4."
"Lifetime Sales","Celkový obrat"
"Log In","Přihlásit se"
"Log Out","Odhlásit"
"Login","Přihlášení"
"Login Information","Přihlašovací informace"
"Login Options","Možnosti přihlášení"
"Login or Create an Account","Přihlásit se, nebo vytvořit účet"
"Manage Addresses","Správa adres"
"Manage Customers","Správa zákazníků"
"Month","Měsíc"
"My Account","Můj účet"
"My Dashboard","Moje nástěnka"
"My Orders","Mé objednávky"
"Name","Jméno"
"Name and Address Options","Nastavení jména a adresy"
"Never","Nikdy"
"New Address","Nová adresa"
"New Address Entry","Nový adresní záznam"
"New Customer","Nový zákazník"
"New Customer Address","Nová zákaznická adresa"
"New Customer Group","Nová skupina zákazníků"
"New Customer Groups","Nová skupina zákazníků"
"New Customers","Noví zákazníci"
"New Group","Nová skupina"
"New Password","Nové heslo"
"New account","Nový účet"
"New account confirmation key","Nový potvrzovací klíč účtu"
"New account confirmed","Nově potvrzený účet"
"Newsletter","Zpravodaj"
"Newsletter Finish","Zpravodaj dokončen"
"Newsletter Information","Informace o newsletteru"
