"--Please Select--","– Vyberte –"
"API Login ID","API ID přihlášení"
"Accepted Currency","Akceptovaná měna"
"Card Verification Number","Ověřovací číslo karty"
"Card Verification Number Visual Reference","Nápověda ke kontrolnímu číslu karty"
"Close","Zavřít‏"
"Credit Card Information","Údaje platební karty"
"Credit Card Number","Číslo platební karty"
"Credit Card Type","Typ platební karty"
"Credit Card Types","Typy platebních karet"
"Credit Card Verification","Ověření platební karty"
"Debug","Ladící režim"
"Email Customer","E-mail zákazníka"
"Enabled","Zapnuto"
"Expiration Date","Datum expirace"
"Gateway URL","URL brány"
"Maximum Order Total","Maximální hodnota objednávky"
"Merchant MD5","MD5 obchodníka"
"Merchant's Email","E-mail obchodníka"
"Minimum Order Total","Minimální hodnota objednávky"
"New Order Status","Stav nové objednávky"
"Order saving error: %s","Chyba při ukládání objednávky: %s"
"Payment Action","Platební akce"
"Payment authorization error.","Chyba při autorizaci platby."
"Payment from Applicable Countries","Platby z dostupných zemí"
"Payment from Specific Countries","Platby ze zvolených zemí"
"Sort Order","Řadit podle"
"Test Mode","Testovací režim"
"There was an error processing your order. Please contact us or try again later.","Chyba při zpracování objednávky. Prosím zkuste to znovu později, nebo nás kontaktujte."
"Title","Název"
"Transaction Key","Transakční klíč"
"What is this?","Co to je?"
