"* Required Fields","* Povinný údaj"
"--Please Select--","– Vyberte –"
"<label>Make Check payable to:</label> %s","<label>Vyrobit šek splatný pro</label>: %s"
"Bank Transfer Payment","Platba bankovním převodem"
"Card Verification Number","Ověřovací číslo karty"
"Cash On Delivery Payment","Platba dobírkou"
"Check / Money Order","Šek / složenka"
"Credit Card Number","Číslo platební karty"
"Credit Card Number: xxxx-%s","Číslo platební karty: xxxx-%s"
"Credit Card Type","Typ platební karty"
"Credit Card Type: %s","Typ platební karty: %s"
"Credit Card Types","Typy platebních karet"
"Credit card type is not allowed for this payment method.","Platební kartu nelze pro tento způsob platby použít."
"Currency","Měna"
"Day","Den"
"Debug Mode","Ladící režim"
"Enabled","Zapnuto"
"Expiration Date","Datum expirace"
"Expiration Date: %s/%s","Datum expirace: %s/%s"
"Incorrect credit card expiration date.","Nesprávné datum expirace platební karty."
"Instructions","Pokyny"
"Invalid Credit Card Number","Neplatné číslo platební karty"
"Issue Number","Číslo vydání"
"Make Check Payable to","Šek vystavit na jméno"
"Make Check payable to:","Šek vystavit na jméno:"
"Make Check payable to: %s","Vyrobit šek splatný pro: %s"
"Maximum Order Total","Maximální hodnota objednávky"
"Merchant ID","ID obchodníka"
"Minimum Order Total","Minimální hodnota objednávky"
"Month","Měsíc"
"N/A","nedefinováno"
"Name on Card","Jméno na kartě"
"Name on the Card: %s","Jméno na kartě: %s"
"New Order Status","Stav nové objednávky"
"Password","Heslo"
"Payment Method","Způsob platby"
"Payment Methods","Způsoby platby"
"Payment Methods Section","Sekce způsoby platby"
"Payment Services","Platební služby"
"Payment from Applicable Countries","Platby z dostupných zemí"
"Payment from Specific Countries","Platby ze zvolených zemí"
"Please enter a valid credit card verification number.","Zadejte prosím platné ověřovací číslo platební karty."
"Purchase Order","Nákupní objednávka"
"Purchase Order Number","Číslo nákupní objednávky"
"Purchase Order Number: %s","Objednávka číslo: %s"
"Saved CC","Uložené kreditní karty"
"Selected payment type is not allowed for billing country.","Zvolený typ platby není pro zvolenou fakturační zemi povolen."
"Send Check to","Příjemce platby složenkou"
"Send Check to:","Příjemce platby složenkou:"
"Shipping Amount","Přepravné"
"Sort Order","Řadit podle"
"Start Date","Začátek"
"Switch/Solo/Maestro Issue Number","Číslo Switch/Solo/Maestro karty"
"Switch/Solo/Maestro Only","Pouze karty Switch/Solo/Maestro"
"Switch/Solo/Maestro Start Date","Datum Switch/Solo/Maestro karty"
"Tax Amount","částka DPH"
"Test Mode","Testovací režim"
"The payment review action is unavailable.","Akce souhrn platby není dostupná."
"The requested Payment Method is not available.","Požadovaný způsob platby není dostupný."
"Title","Název"
"Unable to save Billing Agreement:","Platební podmínky se nepodařilo uložit:"
"What is this?","Co to je?"
"Year","Rok"
"Zero Subtotal Checkout","Nulová celková částka"
