"Action","Akce"
"Are you sure you want to delete the selected backup(s)?","Skutečně chcete zvolenou zálohu(y) odstranit?"
"Backups","Zálohy"
"Create Backup","Vytvořit zálohu"
"Database","Databáze"
"Database Backup","Záloha databáze"
"Database and Media","Databáze a média"
"Database and Media Backup","Záloha databáze a médií"
"Database was successfuly backed up.","Databáze byla úspěšně zálohována."
"Download","Stáhnout"
"Enable Scheduled Backup","Zapnout pravidelné zálohování"
"Frequency","Četnost"
"Maintenance Mode","Režim údržby"
"Name","Jméno"
"Rollback","Obnova"
"Start Time","Čas zahájení"
"System","Systém"
"System (excluding Media)","Systém (bez médií)"
"System Backup","Záloha systému"
"Time","Čas"
"Type","Typ"
"Unable to create backup. Please, try again later.","Nelze vytvořit zálohu. Prosím zkuste to později."
