"Actions","Akce"
"Active","Aktivní"
"Add New Rule","Přidat nové pravidlo"
"Alphabetical","Abecedně"
"Alphanumeric","Alfanumericky"
"Apply","Použít"
"Apply To","Platí pro"
"Apply the rule only if the following conditions are met (leave blank for all products)","Použít pravidlo pouze pokud budou splněny následující podmínky (nechte prázdné pro všechny produkty)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Použít pravidlo pouze pokud položky v košíku obsahují následující podmínky (nechte prázdné pro všechny položky)"
"Apply the rule to cart items matching the following conditions","Použít pravidlo pro položky košíku obsahující následující podmínky"
"Apply to Shipping Amount","Použít na přepravné"
"Are you sure you want to delete the selected coupon(s)?","Skutečně chcete zvolené kupóny odstranit?"
"Auto","Automaticky"
"Auto Generated Specific Coupon Codes","Automaticky generované kódy kupónu"
"Buy X get Y free (discount amount is Y)","Za každých X kusů je Y kusů zdarma"
"By Fixed value","Snížit o pevnou hodnotu"
"By Percentage","Snížit o procentuální hodnotu"
"Can't acquire coupon.","Kupón nelze získat."
"Cart Attribute","Atributy košíku"
"Catalog","Katalog"
"Code Format","Formát kódu"
"Code Length","Délka kódu"
"Code Prefix","Předpona kódu"
"Code Suffix","Přípona kódu"
"Conditions","Podmínky"
"Conditions combination","Kombinace podmínek"
"Coupon","Kupón"
"Coupon Code","Slevový kód"
"Coupon Qty","Počet kupónů"
"Coupon with the same code","Kupón se stejným kódem"
"Created On","Vytvořeno"
"Customer Groups","Skupiny zákazníků"
"Dash Every X Characters","Vynechat každý X znak"
"Date Expire","Datum vyprší"
"Date Start","Datum začátku"
"Default Label","Výchozí označení"
"Default Rule Label for All Store Views","Výchozí označení pravidla ve všech zobrazení obchodu"
"Description","Popis"
"Discount Amount","Výše slevy"
"Discount Qty Step (Buy X)","Krok počtu slev (Kup X)"
"Edit Rule","Upravit pravidlo"
"Edit Rule '%s'","Upravit pravidlo '%s'"
"Excluding prefix, suffix and separators.","Bez předpony, přípony a oddělovacích znaků."
"FOUND","NALEZENÝ"
"Fixed amount discount","Snížit o pevnou hodnotu cenu produktů"
"Fixed amount discount for whole cart","Snížit o pevnou hodnotu součet celého košíku"
"For matching items only","Pouze na odpovídající položky"
"For shipment with matching items","Na přepravné s odpovídajícími položkami"
"Free Shipping","Doprava zdarma"
"From Date","Od data"
"General Information","Všeobecné informace"
"Generate","Vytvořit"
"If empty no separation.","Pro nerozdělený kód nechte údaj prázdný."
"Inactive","Neaktivní"
"Labels","Označení"
"Maximum Qty Discount is Applied To","Maximální počet slev je použit na"
"NOT FOUND","NENALEZENÝ"
"NOT LOGGED IN","NEPŘIHLÁŠEN"
"New Rule","Nové pravidlo"
"No","Ne"
"No Coupon","Žádný kupón"
"Number of Uses","Počet použití"
"Numeric","Numericky"
"Payment Method","Způsob platby"
"Percent of product price discount","Snížit o procentuální hodnotu cenu produktů"
"Period","Období"
"Price in cart","Cena v košíku"
"Priority","Priorita"
"Product attribute combination","Kombinace atributů produktu"
"Products subselection","Cílený výběr produktů"
"Promotions","Pravidla"
"Public In RSS Feed","Zveřejnit v RSS zdroji"
"Quantity in cart","Množství v košíku"
"Row total in cart","Celkem za položku v košíku"
"Rule Information","Nastavení pravidla"
"Rule Name","Název pravidla"
"Rule is not defined","Pravidlo není definováno"
"Save and Continue Edit","Použít"
"Shipping Country","Země doručení"
"Shipping Method","Způsob dopravy"
"Shipping Postcode","PSČ doručení"
"Shipping Region","Region doručení"
"Shipping State/Province","Kraj / region doručení"
"Shopping Cart Price Rule","Pravidla cen pro nákupní košík"
"Shopping Cart Price Rules","Pravidla cen pro nákupní košík"
"Special Price","Akční cena"
"Specific Coupon","Určitý kupón"
"Status","Stav"
"Store View Specific Labels","Specifická označení zobrazení obchodu"
"Subtotal","Mezisoučet"
"Subtotal Amount","Neúplné množství"
"This rule no longer exists.","Toto pravidlo již neexistuje."
"Times Used","Kolikrát použito"
"To Date","do data"
"To Fixed Value","Nastavit na pevnou hodnotu"
"To Percentage","Nastavit na procentuální hodnotu"
"Total","Celkem"
"Total Amount","Celková částka"
"Total Items Quantity","Celkové množství položek"
"Total Weight","Celková hmotnost"
"Update prices using the following information","Aktualizovat cenu s použitím následujících informací"
"Update product's %s %s: %s","Aktualizovat produktové %s %s: %s"
"Update the Product","Upravit produkt"
"Use Auto Generation","Použít automatické generování"
"Uses per Coupon","Počet použití na kupón"
"Uses per Customer","Počet použití na zákazníka"
"Website","Webová stránka"
"Websites","Weby"
"Yes","Ano"
"total amount","Celková částka"
"total quantity","Celkové množství"
