"(Starting with)","(Започнувајќи со)"
"(\t for tab)","(t for tab)"
"* Required Fields","* Задолжителни полиња"
"-- Please Select --","-- Ве молиме изберете --"
"-- Please Select a Category --","-- Ве молиме изберете категорија --"
"-- Please select --","-- Ве молиме изберете --"
"--Please Select--","--Ве молиме изберете--"
"1 Hour","1 час"
"12 Hours","12 часа"
"2 Hours","2 часа"
"24 Hours","24 часа"
"6 Hours","6 часа"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 Error</h1><p>Страната не е пронајдена</p>"
"About the calendar","За календарот"
"Account Created in:","Налогот креиран во:"
"Account Created on:","Налогот е креиран на:"
"Account Information","Информации за профилот"
"Account Status","Статус на профилот"
"Account status","Статус на налогот"
"Action","Акција"
"Actions","Акции"
"Actions XML","XML на акцијата"
"Active","Активен"
"Add","Додади"
"Add Field Mapping","Додади мапирање на поле"
"Add New","Додади нов"
"Add New Image","Додади нова слика"
"Add New Profile","Додади нов профил"
"Add New Role","Додади нова улога"
"Add New Template","Додади нов урнек"
"Add New User","Додади нов корисни"
"Add Products","Додади продукти"
"Address Type:","Тип на адреса:"
"Admin","Админ"
"Advanced Profiles","Напредни профили"
"All","Сите"
"All Allowed Countries","Сите дозволени држави"
"All Files","Сите датотеки"
"All Reviews","Сите мислења"
"All Tags","Сите тагови"
"All Websites","Сите вебстраници"
"All countries","Сите држави"
"All fields","Сите полиња"
"Amounts","Суми"
"Any","Било кое"
"Any Attribute Set","Било кое множество на атрибути"
"Any Group","Било која група"
"Any Status","Било кој статус"
"Any Store","Било кој дуќан"
"Any Type","Било кој тип"
"Any Visibility","Било која видливост"
"Archive file name:","Име на архивата:"
"Are you sure that you want to delete this template?","Дали сте сигурни дека сакате да го избришете овој урнек?"
"Are you sure that you want to strip tags?","Дали сте сигурни дека сакате да ги оголите таговите?"
"Are you sure you want to do this?","Дали сте сигурни дека сакате да го направете ова?"
"Attribute Set Name:","Име на множеството на атрибути:"
"Attributes","Атрибути"
"Average Order Amount","Просечна вредност на нарачка"
"Average Orders","Просечен број на нарачки"
"Back","Назад"
"Back to Login","Назад кон најавата"
"Backup","Резервна копија"
"Backups","Резервни копии"
"Base currency","Основна валута"
"Bestsellers","Најпродавани"
"Billing Address","Адреса за плаќање"
"Billing Address: ","Адреса за плаќање: "
"Block Information","Информации за блокот"
"Both (without and with tax)","И двете (без и со данок)"
"Browse Files...","Излистај датотеки..."
"CSV / Tab separated","CSV / одделено со Tab"
"Cancel","Откажи"
"Cannot add new comment.","Неможе да се додаде коментарот."
"Catalog","Каталог"
"Categories","Категории"
"Category","Категорија"
"Category:","Категорија:"
"Choose an attribute","Избери атрибут"
"Clear","Исчисти"
"Close","Затвори"
"Code","Код"
"Complete","Комплетирај"
"Configuration","Конфигурација"
"Confirm New Password","Потврдете ја новата лозинка"
"Confirmed email:","Потврден емаил:"
"Continue","Продолжи"
"Convert to Plain Text","Конвертирај во текст"
"Country","Држава"
"Country:","Земја:"
"Coupons","Купони"
"Create New Attribute","Креирај нов атрибут"
"Created At","Креирано на"
"Credit Card Number","Број на кредитната картичка"
"Credit Card Number: xxxx-%s","Број на кредитна картичка: xxxx-%s"
"Credit Card Type","Број на кредитната картичка"
"Credit Card Type: %s","Тип на кредитна картичка: %s"
"Credit Memos","Кредитни белешки"
"Currency","Валута"
"Currency Information","Информации за валутата"
"Current Month","Тековен месец"
"Customer","Купувач"
"Customer Group:","Група на купувач:"
"Customer Groups","Групи на купувачи"
"Customer Name","Име на купувачот"
"Customer Reviews","Мислења од купувачи"
"Customer Since:","Купувач од:"
"Customer with the same email already exists.","Купувач со иста епошта веќе постои."
"Customers","Купувачи"
"Dashboard","Контролна табла"
"Data Format","Формат на податоците"
"Data transfer:","Трансфер на податоците:"
"Date","Датум"
"Date & Time","Датум & Време"
"Date Updated","Датум на ажурирање"
"Day","Ден"
"Default (Admin) Values","Вообичаени (Админ) Вредности"
"Default Billing Address","Главна адреса за плаќање"
"Default Config","Вообичаена конфигурација"
"Default Values","Предодредени вредности"
"Delete","Избриши"
"Delete File","Избриши датотека"
"Delete Image","Избриши слика"
"Delete Profile","Избриши профил"
"Delete Role","Избриши улога"
"Delete Store","Избриши Продавница"
"Delete Template","Избриши урнек"
"Delete User","Избриши корисник"
"Delete Website","Избриши вебстраница"
"Description","Опис"
"Details","Детали"
"Disable","Оневозможи"
"Disabled","Оневозможено"
"Display default currency","Прикажи предодредена валута"
"Download","Преземи"
"Edit","Измени"
"Edit Email Template","Измени го урнекот за епошта"
"Edit Order","Измени нарачка"
"Edit Poll","Измени анкета"
"Edit Review","Измени мислење"
"Edit Role","Измени улога"
"Edit System Template","Измени го системскиот урнек"
"Edit Template","Измени урнек"
"Edit User","Измени корисник"
"Edit User '%s'","Измени корисник '%s'"
"Edit Website","Измени вебстраница"
"Email","Емаил"
"Email Address:","Емаил адреса:"
"Email to a Friend","Испрати на пријател"
"Email:","Емаил:"
"Enable","Овозможи"
"Enabled","Овозможено"
"Enclose Values In:","Затвори ги вредностите во:"
"Error","Грешка"
"Excl. Tax","Без ДДВ"
"Expiration Date","Датум на истекување"
"Expiration Date: %s/%s","Датум на истекување: %s/%s"
"Export","Извоз"
"Export CSV","Извези CSV"
"Export Filters","Филтри за извоз"
"Export to:","Експорт во:"
"Export:","Извези:"
"Field Mapping","Мапирање на полиња"
"File","Датотека"
"File Information","Информации за датотеката"
"File name:","Име на датотеката:"
"File size should be more than 0 bytes","Големината на датотеката треба да биде поголема од 0 бајти"
"First Name","Име"
"First Name:","Име:"
"Forgot your password?","Ја заборавивте вашата лозинка?"
"Forgot your user name or password?","Го заборавивте корисничкото име или лозинката?"
"From","Од"
"General Information","Општи информации"
"Global Attribute","Глобален атрибут"
"Go Today","Оди денес"
"Go to Top","Оди на врвот"
"Grand Total","Вкупно"
"Grid (default) / List","Мрежа (вообичаено) / Листа"
"Group:","Група:"
"Guest","Гостин"
"HTTP (unsecure)","HTTP (несигурен)"
"Home","Дома"
"IP Address","IP адреса"
"Images (.gif, .jpg, .png)","Слики (.gif, .jpg, .png)"
"Import","Увоз"
"Import Service","Сервис за увоз"
"Import/Export","Увоз/Извоз"
"Import/Export Profile","Профил за Увоз/Извоз"
"Imported <strong>%s</strong> records","Увезени <strong>%s</strong> записи"
"In","Во"
"In Database:","Во базата за податоци:"
"In File:","Во датотека:"
"Inactive","Неактивен"
"Incl. Tax","Со ДДВ"
"Interface Locale: %s","Локале на интерфејсот: %s"
"Invalid Import Service Specified","Специфициран е невалиден сервис за увезување"
"Invalid directory: %s","Невалиден директориум: %s"
"Invalid file: %s","Невалидна датотека: %s"
"Inventory Stock Status","Статус на залихи"
"Invoice #%s created","Фактурата #%s е креирана"
"Is Closed","Е затворено"
"Items","Продукти"
"JavaScript seems to be disabled in your browser.","Изгледа дека JavaScript е оневозможен во вашиот веб прелистувач."
"Last 24 Hours","Последните 24 часа"
"Last 5 Orders","Последни 5 нарачки"
"Last 5 Search Terms","Последни 5 термини за пребарување"
"Last 7 Days","Последните 7 дена"
"Last Logged In:","Последна најава:"
"Last Name","Презиме"
"Last Name:","Презиме:"
"Lifetime Sales","Досегашни продажби"
"List (default) / Grid","Листа (вообичано) / Мрежа"
"Load Template","Вчитај урнек"
"Load default template","Вчитај го вообичаениот урнек"
"Loading...","Вчитување..."
"Local Server","Локален сервер"
"Local/Remote Server","Локален/Далечен сервер"
"Locale","Локале"
"Log Out","Одјава"
"Log in to Admin Panel","Најави се во Админ панелот"
"Logged in as %s","Најавен како %s"
"Login","Најави се"
"Magento Logo","Магенто лого"
"Content","Содржина"
"Tax Rules","Даночни правила"
"Media (.avi, .flv, .swf)","Медија (.avi, .flv, .swf)"
"Messages Inbox","Сандаче со пораки"
"Month","Месец"
"Most Viewed Products","Најмногу видени продукти"
"My Account","Мојот профил"
"Name","Име"
"Name on Card","Име на картичката"
"Name on the Card: %s","Име на картичката: %s"
"Name:","Име:"
"New ","Нов "
"New Accounts","Нови налози"
"New Category","Нова категорија"
"New Class","Нова класа"
"New Customer","Нов купувач"
"New Customers","Нови купувачи"
"New Email Template","Нов урнек за епошта"
"New Invoice","Нова фактура"
"New Page","Нова страна"
"New Password","Нова лозинка"
"New Poll","Нова анкета"
"New Profile","Нов профил"
"New Rating","Нова оценка"
"New Review","Ново мислење"
"New Shipment","Нова испорака"
"New Sitemap","Нова мапа на сајтот"
"New System Template","Нов системски урнек"
"New Tag","Нов таг"
"New Template","Нов урнек"
"New User","Нов корисник"
"New Website","Нова веб страница"
"Newsletter","Електронски новости"
"Newsletter Subscribers","Претплатници на елетронски новости"
"No","Не"
"No (price without tax)","Не (цена без данок)"
"No Data Found","Не се пронајдени податоци"
"No Templates Found","Не се пронајдени урнеци"
"No change","Нема промена"
"No profile loaded...","Не е вчитан профил..."
"No records found for this period.","Не се пронајдени записи за овој период."
"No records found.","Нема пронајдени записи."
"No search keywords.","Не се пронајдени клучни зборови."
"None","Нема"
"Notes","Забелешки"
"Notifications","Известувања"
"Number of Orders","Број на нарачки"
"OK","Во ред"
"Only attributes with scope ""Global"", input type ""Dropdown"" and Use To Create Configurable Product ""Yes"" are available.","Само атрибутите со подрачје ""Глобално"", тип на внес ""Dropdown"" и користи за креирање конфигурирачки производ ""Да"" се достапни."
"Only mapped fields","Само мапирани полиња"
"Optional","Незадолжително"
"Options","Опции"
"Order","Нарачка"
"Order #%s","Нарачка #%s"
"Order #%s (%s)","Нарачка #%s (%s)"
"Order ID","Нарачка ID"
"Orders","Нарачки"
"Out of stock","Нема на залиха"
"Pages","Страни"
"Parent Product Thumbnail","Минијатура на родителски производ"
"Passive mode","Пасивен мод"
"Password","Лозинка"
"Password Confirmation","Потврди лозинка"
"Password:","Лозинка:"
"Path:","Пат:"
