"Address","Адреса"
"Ask Customer","Прашај го купувачот"
"Billing Information","Информации за плаќање"
"City","Град"
"Close","Затвори"
"Company","Фирма"
"Configure","Конфигурирај"
"Continue","Продолжи"
"Country","Држава"
"Daily","Дневно"
"Discount","Попуст"
"Display on Product Details Page","Покажи на страната со детали на продуктот"
"Display on Shopping Cart","Покажи во кошничка"
"Edit","Измени"
"Edit Payment Information","Измени ги информациите за плаќање"
"Edit Shopping Cart","Измени ја кишничката"
"Email Address","Емаил адреса"
"Enabled","Овозможено"
"Every 10 days","Секои 10 дена"
"Every 14 days","Секои 14 дена"
"Every 3 days","Секои 3 дена"
"Every 30 days","Секои 30 дена"
"Every 40 days","Секои 40 дена"
"Every 7 days","Секои 7 дена"
"Fax","Факс"
"Items in Your Shopping Cart","Продукти во твојата кошничка"
"Learn More","Дознај повеќе"
"Login","Најави се"
"Mobile Payment (made via a mobile phone)","Мобилно плаќање (направено преку мобилен телефон)"
"No","Не"
"Order","Нарачка"
"Order ID","Нарачка ID"
"Password","Лозинка"
"Payment Method","Начин на плаќање"
"Place Order","Направи нарачка"
"Please select a shipping method...","Ве молиме изберете начин на испорака..."
"Please update order data to get shipping methods and rates","Ве молиме ажурирајте ги податоците за нарачката да добиете начин на испорака и"
"Position","Позиција"
"Price","Цена"
"Product","Продукт"
"Product Name","Име на продуктот"
"Qty","Кол"
"Reports","Извештаи"
"Review Order","Преглед на нарачката"
"Schedule","Распоред"
"Shipping","Испорака"
"Shipping Address","Адреса за испорака"
"Shipping Information","Информации за испорака"
"Shipping Method","Начин на испорака"
"Skip Order Review Step","Прескокни го чекорот за преглед на нарачка"
"Street Address","Улица"
"Submitting order information...","Поднесување информации за нарачката..."
"Subtotal","Вкупно"
"Title","Наслов"
"VAT Number","Даночен број"
"View","Види"
"Void","Поништи"
"Yes","Да"
"Zip/Postal Code","Поштенски код"
