"* Required Fields","* Задолжителни полиња"
"Address","Адреса"
"Address Information","Информации за адресата"
"Back","Назад"
"City","Град"
"Close","Затвори"
"Company","Фирма"
"Confirm Password","Потврди ја лозинката"
"Continue","Продолжи"
"Country","Држава"
"Create an Account","Креирај Профил"
"Email Address","Емаил адреса"
"Fax","Факс"
"Forgot Your Password?","Ја заборавивте вашата лозинка?"
"Forgot your password?","Ја заборавивте вашата лозинка?"
"Login","Најави се"
"New Customers","Нови купувачи"
"Password","Лозинка"
"Personal Information","Лични информации"
"Registered Customers","Регистрирани купувачи"
"Save in address book","Зачувај во адресар"
"Sign Up for Newsletter","Пријави се за електронски новости"
"Street Address","Улица"
"Submit","Поднеси"
"VAT Number","Даночен број"
"Welcome, %s!","Добредојде, %s!"
"What's this?","Што е ова?"
"Zip/Postal Code","Поштенски код"
