"1 star","1 ѕвездичка"
"2 stars","2 ѕвездички"
"3 stars","3 ѕвездички"
"4 stars","4 ѕвездички"
"5 stars","5 ѕвездички"
"Add Your Review","Додадете го вашето мислење"
"All Reviews","Сите мислења"
"Allow Guests to Write Reviews","Дозволи гости да дадат мислења"
"Approved","Одобрено"
"Are you sure you want to do this?","Дали сте сигурни дека сакате да го направете ова?"
"Are you sure?","Дали сте сигурни?"
"Back","Назад"
"Back to My Reviews","Назад кон моите мислења"
"Back to Product Reviews","Назад кон мислења за продукти"
"Be the first to review this product","Бидете први што ќе дадете мислење за овој продукт"
"Customer","Купувач"
"Customer Reviews","Мислења од купувачи"
"Customers Reviews","Мислења од купувачи"
"Delete","Избриши"
"Delete Review","Избриши мислење"
"Guest","Гостин"
"My Product Reviews","Мои мислења за продукти"
"My Recent Reviews","Мои последни мислења"
"Name","Име"
"New Review","Ново мислење"
"Nickname","Прекар"
"Pending Reviews","Мислења на чекање"
"Price","Цена"
"Product","Продукт"
"Product Name","Име на продуктот"
"Product Reviews","Мислења за продукти"
"Products Reviews","Мислења за продукти"
"Qty","Кол"
"Review","Мислење"
"Review Details","Детали за мислење"
"Reviews","Мислења"
"Save Review","Зачувај мислење"
"Status","Статус"
"Submit Review","Дади мислење"
"Summary of Review","Преглед од мислење"
"Title","Наслов"
"Update Status","Ажурирај статус"
"View Details","Види детали"
"Write Your Own Review","Дадете ваше мислење"
"You have submitted no reviews.","Немате дадено мислења за продукти."
"You're reviewing:","Давате мислење за:"
