"1 star","1 ѕвездичка"
"2 stars","2 ѕвездички"
"3 stars","3 ѕвездички"
"4 stars","4 ѕвездички"
"5 stars","5 ѕвездички"
"Add New Rating","Додади ново рангирање"
"Assigned Options","Назначени опции"
"Be the first to review this product","Бидете први што ќе дадете мислење за овој продукт"
"Default Value","Вообичаена вредност"
"Delete Rating","Избриши оценка"
"Edit Rating","Уреди рангирање"
"New Rating","Нова оценка"
"Option Title","Наслов на опцијата"
"Rating Information","Информации за рангирањето"
"Rating Name","Назив на рангирањето"
"Rating Options","Опции за рангирање"
"Rating Title","Назив на рангирањето"
"Rating Visibility","Видливост на рангирањето"
"Save Rating","Зачувај оценка"
