"Action","Акција"
"Add","Додади"
"Add to Cart","Додади во кошничка"
"Add to Wishlist","Додади во листа на желби"
"All Tags","Сите тагови"
"Approved","Одобрено"
"Are you sure you want to do this?","Дали сте сигурни дека сакате да го направете ова?"
"Are you sure?","Дали сте сигурни?"
"Back","Назад"
"Block Information","Информации за блокот"
"Change status","Промени статус"
"Country","Држава"
"Customer Since","Купувач од"
"Customers","Купувачи"
"Delete","Избриши"
"Disabled","Оневозможено"
"Email","Емаил"
"First Name","Име"
"General Information","Општи информации"
"Grid","Мрежа"
"Last Name","Презиме"
"List","Листа"
"Name","Име"
"New Tag","Нов таг"
"Price","Цена"
"Product Name","Име на продуктот"
"Products","Продукти"
"Remove","Избриши"
"Save and Continue Edit","Зачивај и продолжи да изменуваш"
"Status","Статус"
"Tags","Ознаки"
"Update","Ажирирај"
"ZIP/Post Code","Поштенски код"
