"* Required Fields","* Задолжителни полиња"
"-- Select --","-- Избери --"
"Add New Option","Додади нова опција"
"As low as","Најниско"
"Choose a selection...","Одбери селекција..."
"Click for price","Кликни за цена"
"Close","Затвори"
"Default","Предодредено"
"Default Qty","Прододредена кол."
"Default Title","Предодреден наслов"
"Excl. Tax","Без ДДВ"
"From","Од"
"Incl. Tax","Со ДДВ"
"Message:","Порака:"
"None","Нема"
"Percent","Процент"
"Please Select Products to Add","Ве молиме изберете продукти за додавање"
"Please enter a number greater 0 in this field.","Ве молиме внесете број поголем од 0."
"Please specify product option(s).","Ве молиме дефинирајте оција/ии на продуктот."
"Position","Позиција"
"Qty:","Кол:"
"Separately","Разделено"
"To","До"
"Together","Заедно"
"Use Default Value","Користи предодрена вредност"
"and","и"
"save","зачувај"
