"* Required Fields","* Р—Р°РґРѕР»Р¶РёС‚РµР»РЅРё РїРѕР»РёСљР°"
"Comment","РљРѕРјРµРЅС‚Р°СЂ"
"Contact Form","РљРѕРЅС‚Р°РєС‚ С„РѕСЂРјСѓР»Р°СЂ"
"Contact Information","РРЅС„РѕСЂРјР°С†РёРё Р·Р° РєРѕРЅС‚Р°РєС‚"
"Contact Us","Контактирајте не"
"Contacts","Контакти"
"Email","Р•РјР°РёР»"
"Email Options","Опции за епоштата"
"Email Sender","Испраќач на епошта"
"Email Template","Урнек на епоштата"
"Enable Contact Us","Овозможи Контактирајте не"
"Name","РРјРµ"
"Send Emails To","Испраќај ја епоштата до"
"Submit","РџРѕРґРЅРµСЃРё"
