"* Required Fields","* Задолжителни полиња"
"ALL GROUPS","СИТЕ ГРУПИ"
"Account Information","Информации за профилот"
"Action","Акција"
"Add New Address","Додади нова адреса"
"Add New Customer Group","Додади нова група на купувачи"
"Additional Address Entries","Дополнителни адреси"
"Address","Адреса"
"Address Book","Адресар"
"Address Information","Информации за адресата"
"Addresses","Адреси"
"Admin","Админ"
"All","Сите"
"All countries","Сите држави"
"Amount","Сума"
"Approved","Одобрено"
"Are you sure you want to delete this address?","Дали сте сигурни дека сакате да ја избришете оваа адреса?"
"Are you sure?","Дали сте сигурни?"
"Back","Назад"
"Back to Login","Назад кон најавата"
"Cancel","Откажи"
"Change Billing Address","Промени ја адресата за плаќање"
"Change Password","Промени ја лозинката"
"Change Shipping Address","Промени ја адресата за испорака"
"City","Град"
"Company","Фирма"
"Configure","Конфигурирај"
"Confirm New Password","Потврдете ја новата лозинка"
"Confirm Password","Потврди ја лозинката"
"Contact Information","Информации за контакт"
"Continue Shopping","Продолжи со купување"
"Country","Држава"
"Create Order","Креирај нарачка"
"Create an Account","Креирај Профил"
"Current Password","Тековна лозинка"
"Customer","Купувач"
"Customer Group","Група на купувачи"
"Customer Groups","Групи на купувачи"
"Customer Information","Информации за купувачот"
"Customer Since","Купувач од"
"Customers","Купувачи"
"Date","Датум"
"Date of Birth","Датум на раѓање"
"Day","Ден"
"Default Addresses","Предодредени адреси"
"Default Billing Address","Главна адреса за плаќање"
"Default Shipping Address","Главна адреса за испорака"
"Delete","Избриши"
"Delete Customer","Избриши купувач"
"Delete Customer Group","Избриши група на купувачи"
"Details","Детали"
"Disabled","Оневозможено"
"Edit","Измени"
"Edit Account Information","Измени ги информаџиите за профилот"
"Edit Address","Измени адреса"
"Email","Емаил"
"Email Address","Емаил адреса"
"Email Sender","�������� �� ������"
"Email:","Емаил:"
"Fax","Факс"
"First Name","Име"
"Forgot Password","Ја заборавивте вашата лозинка"
"Forgot Your Password?","Ја заборавивте вашата лозинка?"
"General Subscription","Најнови понуди и новости"
"Guest","Гостин"
"IP Address","IP адреса"
"Invalid login or password.","Невалидно корисничко име или лозинка."
"Last Activity","Последна активност"
"Last Name","Презиме"
"Lifetime Sales","Досегашни продажби"
"Log Out","Одјава"
"Login","Најави се"
"Manage Addresses","Менаџирај адреси"
"Manage Customers","Менаџирај ги купувачите"
"Month","Месец"
"My Account","Мојот профил"
"My Orders","Мои нарачки"
"Name","Име"
"New Address","Нова адреса"
"New Customer","Нов купувач"
"New Customer Group","Нова група на купувачи"
"New Customers","Нови купувачи"
"New Password","Нова лозинка"
"Newsletter","Електронски новости"
"Newsletter Information","Информации за електронски новости"
"Newsletter Subscription","Пријава за електронски новости"
"Newsletters","Електронски новости"
"No Items Found","Не се пронајдени продукти"
"No Newsletter Found","Нема пронајдено електронски новости"
"Not Sent","Не е испратено"
"Order #","Нарачка #"
"Order Total","Вкупно"
"Orders","Нарачки"
"Password","Лозинка"
"Password forgotten","Заборавена лозинка"
"Password:","Лозинка:"
"Paused","Паузирано"
"Personal Information","Лични информации"
"Please enter the first name.","Ве молиме внесете име."
"Please enter the last name.","Ве молиме внесете презиме."
"Please enter the zip/postal code.","Ве молиме внесете поштенски код."
"Please make sure your passwords match.","Ве молиме проверете дали двете лозинка се совпаѓаат."
"Price","Цена"
"Product","Продукт"
"Product Name","Име на продуктот"
"Product Reviews","Мислења за продукти"
"Purchased On","Купено на"
"Qty","Кол"
"Recent Orders","Неодамнешни нарачки"
"Registered Customers","Регистрирани купувачи"
"Remove","Избриши"
"Reset a Password","Ресетирај лозинка"
"Save","Зачувај"
"Save Address","Зачувај адреса"
"Save Customer","Зачувај купувач"
"Save Customer Group","Зачувај група на купувачи"
"Save and Continue Edit","Зачивај и продолжи да изменуваш"
"Send confirmation link","Испрати линк за потврда"
"Sending","Се праќа"
"Sent","Испратено"
"Shopping Cart","Кошничка"
"Show Tax/VAT Number","Покажи даночен број"
"Sign Up for Newsletter","Пријави се за електронски новости"
"Status","Статус"
"Store","Продавница"
"Street Address","Улица"
"Subject","Предмет"
"Submit","Поднеси"
"Subscribe to Newsletter","Пријави се за електронски новости"
"The customer does not have default billing address.","Купувачот нема предодредена адреса за плаќање."
"Total","Вкупно"
"Unknown","Непознато"
"Unsubscribe from Newsletter","Одјави се од електронски новости"
"Update","Ажирирај"
"Use as my default billing address","Користи како моја главна адреса за плаќање"
"Use as my default shipping address","Користи како моја главна адреса за испорака"
"VAT Number","Даночен број"
"View","Види"
"View Order","Види нарачка"
"Visitor","Посетител"
"Website","Веб страна"
"Wishlist","Листа со желби"
"Year","Година"
"You have no default billing address in your address book.","Немате главна адреса за плаќање во вашиот адресар."
"You have no default shipping address in your address book.","Немате главна адреса за испорака во вашиот адресар."
"You have not set a default billing address.","Немате дефинирано главна адреса за плаќање."
"You have not set a default shipping address.","Немате дефинирано главна адреса за испорака."
"You will be charged tax.","Ќе ви виде наплатен данок."
"You will not be charged tax.","Нема да ви биде наплатен данок."
"ZIP","Поштенски код"
"ZIP/Post Code","Поштенски код"
"Zip/Postal Code","Поштенски код"
