"* Required Fields","* Задолжителни полиња"
"--Please Select--","--Ве молиме изберете--"
"Credit Card Number","Број на кредитната картичка"
"Credit Card Number: xxxx-%s","Број на кредитна картичка: xxxx-%s"
"Credit Card Type","Број на кредитната картичка"
"Credit Card Type: %s","Тип на кредитна картичка: %s"
"Currency","Валута"
"Day","Ден"
"Enabled","Овозможено"
"Expiration Date","Датум на истекување"
"Expiration Date: %s/%s","Датум на истекување: %s/%s"
"Month","Месец"
"Name on Card","Име на картичката"
"Name on the Card: %s","Име на картичката: %s"
"New Order Status","Нов статус на нарачката"
"Password","Лозинка"
"Payment Method","Начин на плаќање"
"Payment Methods","Начини на плаќање"
"Title","Наслов"
"What is this?","Што е ова?"
"Year","Година"
