"(Excl. Tax)","(Без ДДВ)"
"(Incl. Tax)","(Со ДДВ)"
"* Required Fields","* Задолжителни полиња"
"Add New Address","Додади нова адреса"
"Add to Cart","Додади во кошничка"
"Add to Compare","Спореди продукт"
"Add to Wishlist","Додади во листа на желби"
"Address","Адреса"
"Apply","Примени"
"Apply Coupon","Примени купон"
"Are you sure you would like to remove this item from the shopping cart?","Дали сте сигурни дека сакате да го отстраните овој продукт од вашата кошничка?"
"Back","Назад"
"Back to Billing Information","Назад кон информации за плаќање"
"Back to Select Addresses","Назад кон избор на адреси"
"Back to Shipping Information","Назад кон информации за испорака"
"Back to Shopping Cart","Назад кон кошничка"
"Billing Address","Адреса за плаќање"
"Billing Information","Информации за плаќање"
"Cancel","Откажи"
"Cancel Coupon","Откажи го купонот"
"Cannot process the item.","Неможе да се процесира продуктот."
"Change","Промени"
"Change Billing Address","Промени ја адресата за плаќање"
"Checkout","Нарачка"
"City","Град"
"Clear Shopping Cart","Исчисти ја кошничката"
"Close","Затвори"
"Company","Фирма"
"Confirm Password","Потврди ја лозинката"
"Content","Содржина"
"Continue","Продолжи"
"Continue Shopping","Продолжи со купување"
"Continue to Billing Information","Продолжи"
"Country","Држава"
"Create Billing Address","Креирај адреса за плаќање"
"Create Shipping Address","Креирај адреса за испорака"
"Customer Information","Информации за купувачот"
"Details","Детали"
"Disabled","Оневозможено"
"Display number of items in cart","Покажи број на продукти во кошничката"
"Edit","Измени"
"Edit Address","Измени адреса"
"Edit Billing Address","Измени ја адресата за плаќање"
"Edit Items","Измени ги продуктите"
"Edit Shipping Address","Измени ја адресата за испорака"
"Edit Your Cart","Измени ја кошничката"
"Edit item","Измени го продуктот"
"Email Address","Емаил адреса"
"Enable Terms and Conditions","Овозможи правила и услови"
"Enabled","Овозможено"
"Enter a New Address","Внесете нова адреса"
"Estimate Shipping and Tax","Пресметај испорака и данок"
"Excl. Tax","Без ДДВ"
"Fax","Факс"
"Forgot an Item?","Заборавивте продукт?"
"Forgot your password?","Ја заборавивте вашата лозинка?"
"Grand Total:","Вкупно:"
"Incl. Tax","Со ДДВ"
"Items","Продукти"
"Login","Најави се"
"Move to Wishlist","Премести во листа со желби"
"My Cart","Моја кошничка"
"New Address","Нова адреса"
"No Payment Methods","Нема начни на плаќање"
"Order #","Нарачка #"
"Order Review","Преглед на нарачката"
"Password","Лозинка"
"Payment Information","Информации за плаќање"
"Payment Method","Начин на плаќање"
"Place Order","Направи нарачка"
"Price","Цена"
"Proceed to Checkout","Заврши ја нарачката"
"Product","Продукт"
"Product Name","Име на продуктот"
"Products","Продукти"
"Qty","Кол"
"Qty:","Кол:"
"Quantity","Количина"
"Remove Item","Отстрани продукт"
"Remove This Item","Отстрани го овој продукт"
"Remove item","Отстрани продукт"
"Review Order","Преглед на нарачката"
"Save in address book","Зачувај во адресар"
"See price before order confirmation.","Види цена пред потврда на нарачката."
"Select Address","Избери адреса"
"Select Addresses","Избери адреси"
"Select Shipping Method","Избери начин на испорака"
"Select a shipping address from your address book or enter a new address.","Изберете адреса за испорака од вашиот адресар или внесете нова адреса."
"Send To","Испрати на"
"Ship to Multiple Addresses","Испорака на различни адреси"
"Shipping Address","Адреса за испорака"
"Shipping Information","Информации за испорака"
"Shipping Method","Начин на испорака"
"Shipping Methods","Начини на испорака"
"Shipping To","Испорака на"
"Shopping Cart","Кошничка"
"Show Content as","Прикажи содржина како"
"Status","Статус"
"Street Address","Улица"
"Submitting order information...","Поднесување информации за нарачката..."
"Subtotal","Вкупно"
"Thank you for your purchase!","Ви благодариме што купувате кај нас!"
"Total","Вкупно"
"Update","Ажирирај"
"Update Cart","Ажурирај ја кошничката"
"Update Qty &amp; Addresses","Ажурирај Кол. &amp; Адреси"
"Update Shopping Cart","Ажурирај ја кошничката"
"VAT Number","Даночен број"
"View Shopping Cart","Видете ја вашата кошничка"
"What's this?","Што е ова?"
"You have no items in your shopping cart.","Немате продукти во кошничката."
"Zip/Postal Code","Поштенски код"
