"Action","Акција"
"Add New Template","Додади нов урнек"
"Are you sure that you want to delete this template?","Дали сте сигурни дека сакате да го избришете овој урнек?"
"Back","Назад"
"Cancel","Откажи"
"Cancelled","Откажено"
"Convert to Plain Text","Конвертирај во текст"
"Customer","Купувач"
"Customer First Name","Име на купувач"
"Customer Last Name","Презиме на купувач"
"Date Updated","Датум на ажурирање"
"Delete","Избриши"
"Delete Template","Избриши урнек"
"Edit Template","Измени урнек"
"Email","Емаил"
"Enter your email address","Внесете ја вашата емаил адреса"
"Guest","Гостин"
"Message","Порака"
"New Template","Нов урнек"
"Newsletter","Електронски новости"
"Newsletter Subscribers","Претплатници на елетронски новости"
"Newsletter Subscription","Пријава за електронски новости"
"Newsletter Subscriptions","Пријави за електронски новости"
"Newsletter subscription confirmation","Потврдете ја вашата пријава"
"Newsletter subscription success","Успешно се пријавивте"
"Newsletter unsubscription success","Успешно се одјавивте"
"No Templates Found","Не се пронајдени урнеци"
"Not Sent","Не е испратено"
"Paused","Паузирано"
"Please enter a valid email address.","Ве молиме внесете валидна емаил адреса."
"Preview","Преглед"
"Preview Template","Преглед на урнекот"
"Reset","Ресетирај"
"Save As","Зачувај како"
"Save Template","Зачувај го урнекот"
"Save and Resume","Зачувај и продолжи"
"Sender","Испраќач"
"Sender Email","Емаил на испраќач"
"Sender Name","Име на испраќач"
"Sending","Се праќа"
"Sent","Испратено"
"Sign Up for Our Newsletter:","Пријави се за електронски новости:"
"Start","Почеток"
"Status","Статус"
"Store","Продавница"
"Subject","Предмет"
"Submit","Поднеси"
"Subscribe","Пријави се"
"Subscription Options","Претплата за"
"Website","Веб страна"
"Your subscription has been confirmed.","Вашата пријава е потврдена."
