"Actions","Toimingud"
"Are you sure?","Kindel?"
"Date Added","Lisamiskuupäev"
"Last Update","Viimane uuendus"
"Mark as Read","Märgi loetuks"
"Message","Sõnum"
"Messages Inbox","Saabunud teated"
"Notifications","Teavitused"
"Please select messages.","Vali sõnumid."
"Read Details","Loe lähemalt"
"Remove","Eemalda"
"Severity","Raskusaste"
"Show List","Kuva loend"
"Show Toolbar","Kuva tööriistariba"
"The message has been removed.","Sõnum on kustutatud."
"Update Frequency","Uuenduste sagedus"
"Use HTTPS to Get Feed","Voo saamiseks kasuta HTTPS"
"Wrong message type","Vale sõnumi tüüp"
"critical","kriitiline"
"major","oluline"
"minor","tühine"
"notice","teavitus"
