"* Required Fields","* Kohustuslikud väljad"
"-- Please Select --","-- Vali --"
"-- Please Select a Category --","-- Vali kategooria --"
"-- Please select --","-- Vali --"
"--Please Select--","--Palun Valige--"
"1 Hour","1 tund"
"12 Hours","12 tundi"
"2 Hours","2 tundi"
"24 Hours","24 tundi"
"2YTD","Eelmise aasta algusest"
"6 Hours","6 tundi"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">Viga 404</h1><p>Lehekülge ei leitud,</p>"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Tähelepanu</strong>: Captcha on tõstutundlik."
"Abandoned Carts","Hüljatud ostukorvid"
"About the calendar","Kalendrist"
"Account Information","Konto andmed"
"Account Status","Konto olek"
"Action","Toiming"
"Actions","Toimingud"
"Active","Aktiivne"
"Add","Lisa"
"Add New","Lisa uus"
"Add New Block","Lisa uus plokk"
"Add New Image","Lisa Uus Pilt"
"Add New Role","Lisa Uus Roll"
"Add New Template","Lisa uus mall"
"Add New User","Lisa uus kasutaja"
"Add New Variable","Lisa uus muutuja"
"Add Products","Lisa toode"
"Add URL Rewrite for a Category","Lisa URL-i suunamine kategooriale"
"Add after","Lisa peale"
"Additional Cache Management","Täiendav vahemälu haldus"
"All","Kõik"
"All Allowed Countries","Kõik lubatud riigid"
"All Cache","Kogu vahemälu"
"All Files","Kõik failid"
"All Reviews","Kõik arvustused"
"All Store Views","Kõik poevaated"
"All Websites","Kõik veebisaidid"
"All countries","Kõik riigid"
"Amounts","Summad"
"An error occurred while clearing the JavaScript/CSS cache.","JavaScripti/CSS-i vahemälu puhastamisel ilmnes viga."
"An error occurred while clearing the image cache.","Pildi vahemälu puhastamisel ilmnes viga."
"An error occurred while saving account.","Konto salvestamisel ilmnes viga."
"Any","Kõik"
"Are you sure you want to do this?","Olete kinde, et soovite seda teha?"
"Assigned","Määratud"
"Attributes","Atribuudid"
"Authorize","Autoriseeri"
"Automatic (equalize price ranges)","Automaatne (võrdusta hinnavahemikud)"
"Automatic (equalize product counts)","Automaatne (võrdusta toodete kogus)"
"Back","Tagasi"
"Backup","Varukoopia"
"Backup Name","Varukoopia nimi"
"Backup options","Varunduse haldamine"
"Backups","Varukoopiad"
"Base currency","Baasvaluuta"
"Bcc","Pimekoopia"
"Bestsellers","Enim müüdud"
"Billing Address","Arveldusaadress"
"Billing Agreements","Arvelduslepped"
"Block Information","Plokki teave"
"Blocks","Plokid"
"Browse Files...","Vali failid..."
"CMS","Sisuhaldus"
"Cache Control","Vahemälu juhtimine"
"Cache Management","Vahemälu haldus"
"Cache Type","Vahemälu tüüp"
"Cancel","Tühista"
"Card Verification Number","Kaardi turvakood"
"Catalog","Kataloog"
"Catalog Price Rules","Kataloogi hinnareeglid"
"Catalog Rewrites","Kataloogi suunamised"
"Categories","Kategooriad"
"Category","Kategooria"
"Checkbox","Märkeruut"
