"* Required Fields","* Kohustuslikud väljad"
"--Please Select--","--Palun Valige--"
"Card Verification Number","Kaardi turvakood"
"Credit Card Number","Krediitkaardi number"
"Credit Card Type","Krediitkaardi tüüp"
"Credit Card Types","Krediitkaardi tüübid"
"Currency","Valuuta"
"Day","Päev"
"Debug Mode","Debug režiim"
"Enabled","Lubatud"
"Expiration Date","Aegumiskuupäev"
"Maximum Order Total","Maksimaalne tellimuse summa"
"Merchant ID","Kaupmehe ID"
"Minimum Order Total","Minimaalne tellimuse summa"
"Month","Kuu"
"N/A","Pole Saadaval"
"New Order Status","Uue tellimuse staatus"
"Password","Salasõna"
"Payment Method","Makseviis"
"Payment Methods","Makseviisid"
"Payment from Applicable Countries","Maksed sobivatest maadest"
"Payment from Specific Countries","Maksed konkreetsetest maadest"
"Please enter a valid credit card verification number.","Sisesta krediitkaardi kontrollkood."
"Purchase Order Number","Ostutellimuse Number"
"Send Check to:","Saada tshekk:"
"Shipping Amount","Tarne summa"
"Sort Order","Sorteerimise järjekord"
"Start Date","Alguskuupäev"
"Tax Amount","Maksusumma"
"Test Mode","Testrežiim"
"Title","Pealkiri"
"What is this?","Mis see on?"
"Year","Aasta"
