"Action","Toiming"
"Add New Template","Lisa uus mall"
"Back","Tagasi"
"Cancel","Tühista"
"Cancelled","Tühistatud"
"Convert to Plain Text","Muuda lihttekstiks"
"Create Newsletter Template","Loo uudiskirja mall"
"Customer","Klient"
"Customer First Name","Kliendi eesnimi"
"Customer Last Name","Kliendi perekonnanimi"
"Date Added","Lisamiskuupäev"
"Delete","Kustuta"
"Delete Selected Problems","Kustuta valitud probleemid"
"Edit Newsletter","Muuda uudiskirja"
"Edit Newsletter Template","Muuda uudiskirja malli"
"Email","E-post"
"Enter your email address","Sisesta oma e-posti aadress"
"Error Code","Veakood"
"Error Text","Veatekst"
"Guest","Külaline"
"Message","Sõnum"
"New Newsletter Template","Uus uudiskirja mall"
"New Template","Uus mall"
"Newsletter","Uudiskiri"
"Newsletter Message Preview","Uudiskirja sõnumi eelvaade"
"Newsletter Problem Reports","Uudiskirja probleemide aruanded"
"Newsletter Queue","Uudiskirja järjekord"
"Newsletter Styles","Uudiskirja stiilid"
"Newsletter Subscribers","Uudiskirja tellijad"
"Newsletter Subscription","Uudiskirja tellimine"
"Newsletter Subscriptions","Uudiskirja tellimused"
"Newsletter Templates","Uudiskirja mallid"
"Newsletter subscription confirmation","Uudiskirja liitumise kinnitus"
"Newsletter subscription success","Uudiskirja liitumine õnnestus"
"Newsletter unsubscription success","Uudiskirjast lahkumine õnnestus"
"Not Sent","Saatmata"
"Paused","Peatatud"
"Please enter a valid email address.","Palun sisesta korrektne e-posti aadress."
"Preview","Eelvaade"
"Recipients","Saajad"
"Reset","Tühista"
"Save Newsletter","Salvesta uudiskiri"
"Sender","Saatja"
"Sender Email","Saatja e-posti aadress"
"Sender Name","Saatja nimi"
"Sending","Saatmine"
"Sent","Saadetud"
"Sign Up for Our Newsletter:","Liitu uudiskirjaga:"
"Start","Algus"
"Status","Staatus"
"Store","Pood"
"Store View","Poevaade"
"Subject","Pealkiri"
"Submit","Saada"
"Subscribe","Liitu"
"Subscription Options","Tellimuse valikud"
"Template Type","Malli tüüp"
"Thank you for your subscription.","Täname liitumise eest."
"Type","Tüüp"
"Unsubscribe Selected","Eemalda valitud"
"View Newsletter","Vaata uudiskirja"
"Website","Koduleht"
"Your subscription has been confirmed.","Tellimus kinnitatud."
