"""Remember Me"" Default Value","""Jäta mind meelde"" vaikeväärtust"
"* Required Fields","* Kohustuslikud väljad"
"Address","Aadress"
"Back","Tagasi"
"City","Linn"
"Close","Sulge"
"Company","Ettevõte"
"Confirm Password","Kinnita salasõna"
"Continue","Jätka"
"Country","Riik"
"Create an Account","Uus konto"
"Email Address","E-posti aadress"
"Enable ""Remember Me""","Luba ""Jäta mind meelde"""
"Fax","Faks"
"Forgot Your Password?","Unustasid salasõna?"
"Forgot your password?","Unustasid salasõna?"
"General Options","Üldvalikud"
"Login","Sisene"
"New Customers","Uus klient"
"Password","Salasõna"
"Personal Information","Isikuandmed"
"Please select region, state or province","Valige piirkond, maakond või vald"
"Registered Customers","Registreerunud kliendid"
"Sign Up for Newsletter","Liitu uudiskirjaga"
"State/Province","Maakond"
"Street Address","Tänav, maja"
"Submit","Saada"
"VAT Number","KMKR number"
"What's this?","Mis see on?"
"Zip/Postal Code","Postiindeks"
