"Add Your Review","Lisa arvustus"
"All Reviews","Kõik arvustused"
"Allow Guests to Write Reviews","Luba arvustada sisse logimata"
"Approved","Kinnitatud"
"Are you sure you want to do this?","Olete kinde, et soovite seda teha?"
"Are you sure?","Kindel?"
"Average Customer Rating","Keskmine hinnang"
"Average Customer Rating:","Keskmine hinnang:"
"Back","Tagasi"
"Back to My Reviews","Tagasi Minu arvustustesse"
"Be the first to review this product","Ole esimene arvustaja"
"Customer","Klient"
"Customer Reviews","Kliendi arvustused"
"Customers Reviews","Klientide arvustused"
"Delete","Kustuta"
"Delete Review","Kustuta arvustus"
"Guest","Külaline"
"My Recent Reviews","Minu viimased arvutused"
"Name","Nimi"
"New Review","Uus arvustus"
"Nickname","Hüüdnimi"
"Pending","Ootel"
"Pending Reviews","Ootel arvustused"
"Price","Hind"
"Product","Toode"
"Product Name","Toote nimi"
"Product Rating","Hinnang tootele"
"Product Reviews","Toote arvustused"
"Products Reviews","Tootearvustused"
"Qty","Kogus"
"Review Details","Vaata lähemalt"
"Reviews","Arvustused"
"SKU","Laokood"
"Save Review","Salvesta arvustus"
"Status","Staatus"
"Submit Review","Esita arvustus"
"Title","Pealkiri"
"Type","Tüüp"
"View Details","Vaata lähemalt"
"Websites","Veebisaidid"
"You have submitted no reviews.","Teil pole ühtegi arvustust."
"You're reviewing:","Arvustatav toode:"
