"Address","Aadress"
"Advanced Settings","Täpsemad seaded"
"Allowed Credit Card Types","Lubatud krediitkaarditüübid"
"Ask Customer","Küsi kliendilt"
"Billing Information","Arveldusandmed"
"Checkout with PayPal","Vormista tellimus PayPaliga"
"City","Linn"
"Close","Sulge"
"Company","Ettevõte"
"Complaint","Kaebus"
"Configure","Seadista"
"Continue","Jätka"
"Country","Riik"
"Credit","Krediit"
"Custom","Kohandatud"
"Daily","Iga päev"
"Debug Mode","Debug režiim"
"Discount","Allahindlus"
"Display on Shopping Cart","Näita ostukorvis"
"Dynamic","Dünaamiline"
"Edit","Muuda"
"Edit Shopping Cart","Muuda ostukorvi"
"Email Address","E-posti aadress"
"Enable this Solution","Luba see lahendus"
"Enabled","Lubatud"
"Express Checkout","Ekspress tellimuse vormistamine"
"Fax","Faks"
"General (Dividend)","Üldine (dividend)"
"Home Page","Avaleht"
"Invoice ID","Arve ID"
"Items in Your Shopping Cart","toodet ostukorvis"
"Learn More","Tutvu lähemalt"
"Login","Sisene"
"Merchant Account","Kaupmehe konto"
"Merchant Country","Kaupmehe riik"
"Merchant Location","Kaupmehe asukoht"
"N/A","Pole Saadaval"
"Never","Mitte kunagi"
"No","Ei"
"Order","Tellimus"
"Order ID","Tellimuse ID"
"Password","Salasõna"
"Payer ID","Maksja ID"
"Payment Action","Makse tegevus"
"Payment Method","Makseviis"
"Place Order","Esita tellimus"
"Please agree to all the terms and conditions before placing the order.","Palun nõustuge tingimustega enne tellimuse esitamist."
"Please select a shipping method...","Vali tarneviis..."
"Please select region, state or province","Valige piirkond, maakond või vald"
"Position","Asukoht"
"Price","Hind"
"Product","Toode"
"Product Name","Toote nimi"
"Qty","Kogus"
"Require Customer's Billing Address","Nõua kliendi arve aadressi"
"Sale","Müük"
"Sales","Müük"
"Schedule","Ajakava"
"Shipping","Tarne"
"Shipping Address","Tarneaadress"
"Shipping Information","Tarneteave"
"Shipping Method","Tarneviis"
"Size","Suurus"
"Sort Order","Sorteerimise järjekord"
"State/Province","Maakond"
"Static","Staatiline"
"Street Address","Tänav, maja"
"Subtotal","Vahesumma"
"Test Mode","Testrežiim"
"Title","Pealkiri"
"Transaction ID","Tehingu ID"
"VAT Number","KMKR number"
"View","Kuva"
"What is PayPal?","Mis on PayPal?"
"Yes","Jah"
"Yes (PayPal recommends this option)","Jah (PayPal soovitab seda valikut)"
"Zip/Postal Code","Postiindeks"
