"* Required Fields","* Kohustuslikud väljad"
"-- Please Select --","-- Vali --"
"About Your Invoice","Arvest"
"About Your Refund","Tagastusest"
"Accept Payment","Võta makse vastu"
"Account Information","Konto andmed"
"Action","Toiming"
"Actions","Toimingud"
"Active","Aktiivne"
"Add","Lisa"
"Add New Address","Lisa uus aadress"
"Add Products","Lisa toode"
"Add to Cart","Lisa ostukorvi"
"Address","Aadress"
"Amount","Kogus"
"Apply","Rakenda"
"Apply Coupon Code","Rakenda sooduskood"
"Are you sure you want to delete all items from shopping cart?","Olete kindel et soovite kustutada kõik tooted ostukorvist?"
"Are you sure you want to do this?","Olete kinde, et soovite seda teha?"
"Are you sure?","Kindel?"
"Back","Tagasi"
"Back to My Orders","Tagasi minu tellimuste juurde"
"Backordered","Järeltellitud"
"Bestsellers","Enim müüdud"
"Billing","Arveldamine"
"Billing Address","Arveldusaadress"
"Billing Agreements","Arvelduslepped"
"Billing ZIP Code","Arve Postiindeks"
"Cancel","Tühista"
"Canceled","Tühistatud"
"City","Linn"
"Clear Shopping Cart","Tühjenda ostukorv"
"Click to change shipping method","Vaheta tarneviis"
"Close","Sulge"
"Closed","Suletud"
"Comma-separated.","Komaga eraldatud."
"Comment","Kommentaar"
"Comments","Kommentaarid"
"Comments History","Kommentaaride ajalugu"
"Company","Ettevõte"
"Complete","Valmis"
"Configure","Seadista"
"Continue","Jätka"
"Country","Riik"
"Coupons","Kupongid"
"Create","Loo"
"Create New Customer","Loo uus klient"
"Create New Order","Loo uus tellimus"
"Create New Order Status","Loo uus tellimuse olek"
"Create New Order for New Customer","Loo uus tellimus uuele kliendile"
"Create New Status","Loo uus olek"
"Create Order","Uus tellimus"
"Create Shipment","Loo saadetis"
"Created At","Loodud"
"Credit Memo","Kreeditarve"
"Credit Memo # ","Kreeditarve # "
"Credit Memos","Kreeditarved"
"Customer","Klient"
"Customer Group","Kliendigrupp"
"Customer Last Name","Kliendi perekonnanimi"
"Customer Name","Kliendi nimi"
"Date","Kuupäev"
"Delete","Kustuta"
"Discount","Allahindlus"
"Discount Amount","Allahindluse määr"
"Edit","Muuda"
"Edit Order Status","Muuda tellimuse olekut"
"Email","E-post"
"Email Address","E-posti aadress"
"Enable","Luba"
"Enabled","Lubatud"
"Excel XML","Exceli XML"
"Excl. Tax","Ilma maksuta"
"Expired","Aegunud"
"First Name","Eesnimi"
"From","Kellelt"
"From Name","Saatja nimi"
"From:","Saatja:"
"General","Üldine"
"General Information","Üldinfo"
"Gift Message","Kinkesõnum"
"Go to Home Page","Avalehele"
"Grand Total","Kõik kokku"
"Guest","Külaline"
"Height","Kõrgus"
"Hold","Ootele"
"Home","Avaleht"
"Incl. Tax","Koos maksuga"
"Information","Informatsioon"
"Invoice","Arve"
"Invoice # ","Arve # "
"Invoice Comments","Arve kommentaarid"
"Invoice Date","Arve kuupäev"
"Invoice and Ship","Arve ja tarne"
"Invoiced","Arve esitatud"
"Invoices","Arved"
"Is Closed","On suletud"
"Item","Toode/Artikkel"
"Items","Toodet"
"Items Ordered","Tellitud kaubad"
"Key","Võti"
"Last Name","Perekonnanimi"
"Last Ordered Items","Viimati tellitud tooted"
"Length","Pikkus"
"Link to the New Order","Uue tellimuse link"
"Manage","Halda"
"Message","Sõnum"
"Message:","Sõnum:"
"Minimum Amount","Minimaalne Kogus"
"Minimum Order Amount","Minimaalne Tellimuse Kogus"
"Most Viewed Products Report","Enimvaadatud toodete raport"
"Move to Shopping Cart","Tõsta ostukorvi"
"Move to Wishlist","Tõsta soovinimekirja"
"My Orders","Minu tellimused"
"N/A","Pole Saadaval"
"Name","Nimi"
"New","Uus"
"New Invoice","Uus arve"
"New Order","Uus tellimus"
"New Order Status","Uue tellimuse staatus"
"New Shipment","Uus saadetis"
"Newsletter Subscription","Uudiskirja tellimine"
"No","Ei"
"No Items","Kirjeid pole"
"No ordered items","Tellitud artikleid ei ole"
"Not Notified","Teavitamata"
"Notified","Teavitatud"
"Notify Customer by Email","Teavita klienti e-posti teel"
"On Hold","Ootel"
"Order","Tellimus"
"Order #","Tellimus #"
"Order # ","Tellimus # "
"Order Comment","Tellimuse märkused"
"Order Comments","Tellimuse kommentaarid"
"Order Currency:","Tellimuse valuuta:"
"Order Date","Tellimuse kuupäev"
"Order Date: ","Tellimuse kuupäev: "
"Order Grand Total","Tellimuse kogusumma"
"Order History","Tellimuste ajalugu"
"Order ID","Tellimuse ID"
"Order Information","Tellimuse andmed"
"Order Invoices","Tellimuse arved"
"Order Shipments","Tellimuse saadetised"
"Order Status","Tellimuse staatus"
"Order Statuses","Tellimuste olekud"
"Order Total","Tellimus kokku"
"Order Totals","Tellimus kokku"
"Order View","Tellimuse vaade"
"Ordered","Tellitud"
"Orders","Tellimused"
"Orders and Returns","Tellimused ja tagastused"
"Package","Pakk"
"Packages","Pakid"
"Paid","Makstud"
"Paid Amount","Makstud summa"
"Partial","Osaline"
"Payment Method","Makseviis"
"Payment Method:","Makseviis:"
"Payment Review","Makse ülevaade"
"Pending","Ootel"
"Pending Payment","Makse ootel"
"Placed from IP","Tehtud IP aadresilt"
"Price","Hind"
"Print","Trüki"
"Print All Invoices","Trüki kõik arved"
"Print Invoice","Trüki arve"
"Print Invoices","Trüki arved"
"Print Order","Prindi tellimus"
"Processing","Töötlemises"
"Product","Toode"
"Product Name","Toote nimi"
"Products","Tooted"
"Products in Comparison List","Tooted võrdlusnimekirjas"
"Purchased From","Ostetud"
"Qty","Kogus"
"Qty Invoiced","Arveldatud kogus"
"Qty Shipped","Lähetatud kogus"
"Qty to Invoice","Arveldatud kogus"
"Rate","Hinda"
"Recent Orders","Viimased tellimused"
"Recently Compared Products","Viimati võrreldud tooted"
"Recently Viewed","Viimati vaadatud"
"Recently Viewed Products","Viimati vaadatud tooted"
"Refresh","Värskenda"
"Refund","Tagastus"
"Refund Amount","Tagastuse summa"
"Refund Shipping","Tagasta tarne"
"Refund Shipping (Excl. Tax)","Tagasta tarne (maksuta)"
"Refund Shipping (Incl. Tax)","Tagasta tarne (maksuga)"
"Refunded","Tagastatud"
"Related Orders","Seotud tellimused"
"Remove","Eemalda"
"Remove Coupon Code","Eemalda sooduskood"
"Reorder","Telli uuesti"
"Returned","Tagastatud"
"Returns","Tagastused"
"Revenue","Käive"
"Row Subtotal","Rea vahesumma"
"Row Total","Rea kogusumma"
"SKU","Laokood"
"Sales","Müük"
"Sales Discount","Müügi allahindlused"
"Sales Tax","Müügimaks"
"Same As Billing Address","Sama mis arveaadress"
"Save Order Address","Salvesta tellimuse aadress"
"Save Status","Salvesta olek"
"Schedule","Ajakava"
"Select","Vali"
"Select All","Vali kõik"
"Send Email","Saada kiri"
"Send Order Email","Saada tellimuse e-post"
"Ship","Tarne"
"Ship To","Saaja"
"Ship to:","Saaja:"
"Shipment","Saadetis"
"Shipment #","Saadetis #"
"Shipment Comments","Saadetise kommentaarid"
"Shipments","Saatedokumendid"
"Shipped","Saadetud"
"Shipping","Tarne"
"Shipping & Handling","Tarne & Käitlemine"
"Shipping &amp; Handling","Transport &amp; Käitlemine"
"Shipping &amp; Handling Information","Tarne &amp; käitlemise info"
"Shipping Address","Tarneaadress"
"Shipping Amount","Tarne summa"
"Shipping Information","Tarneteave"
"Shipping Method","Tarneviis"
"Shipping Method:","Tarneviis:"
"Shipping Refund","Tarne tagastus"
"Shopping Cart","Ostukorv"
"Show Packages","Kuva pakette"
"Size","Suurus"
"Sku","Laokood"
"Sold to:","Ostja:"
"State/Province","Maakond"
"Status","Staatus"
"Status:","Staatus:"
"Store Credit","Poe krediit"
"Store View Specific Labels","Poevaate spetsiifilised sildid"
"Street Address","Tänav, maja"
"Submit Comment","Esita kommentaar"
"Submit Invoice","Esita arve"
"Submit Order","Esita tellimus"
"Submit Shipment","Saada postitus"
"Subscribe to Newsletter","Telli uudiskiri"
"Subtotal","Vahesumma"
"Subtotal:","Vahesumma:"
"Suspected Fraud","Pettuse kahtlus"
"Tax","Maks"
"Tax Amount","Maksusumma"
"Tax Percent","Maksuprotsent"
"The payment has been accepted.","Makse vastu võetud."
"The value that you entered is not valid.","Teie sisestatud väärtus ei sobi."
"This product does not have any configurable options","Sellel tootel puuduvad konfigureeritavad võimalused"
"Title","Pealkiri"
"To","Kellele"
"To Name","Saaja nimi"
"To:","Saaja:"
"Total","Kokku"
"Total (ex)","Kokku (maksudeta)"
"Total (inc)","Kokku (maksudega)"
"Total Refund","Tagastus kokku"
"Total Shipping","Tarne kokku"
"Total Shipping Charges","Transport kokku"
"Total Tax","Maksud kokku"
"Total Weight","Kogukaal"
"Transaction ID","Tehingu ID"
"Transaction Type","Tehingu tüüp"
"Transactions","Tehingud"
"Type","Tüüp"
"Unassign","Eemalda määramine"
"Unhold","Ootelt maha"
"Value","Väärtus"
"View","Kuva"
"View All","Vaata kõiki"
"View Order","Vaata tellimust"
"Website","Koduleht"
"Width","Laius"
"Wishlist","Soovinimekiri"
"Yes","Jah"
"You have placed no orders.","Teil pole esitatud ühtegi tellimust."
"ZIP Code","Postiindeks"
"ZIP/Post Code","Postiindeks"
"Zip/Postal Code","Postiindeks"
