"* Required Fields","* Kohustuslikud väljad"
"ALL GROUPS","KÕIK GRUPID"
"Account Information","Konto andmed"
"Action","Toiming"
"Add New Address","Lisa uus aadress"
"Add New Customer","Lisa uus klient"
"Add New Customer Group","Lisa uus kliendigrupp"
"Address","Aadress"
"Address Book","Aadressiraamat"
"All","Kõik"
"All Store Views","Kõik poevaated"
"All countries","Kõik riigid"
"Amount","Kogus"
"Approved","Kinnitatud"
"Are you sure?","Kindel?"
"Assign a Customer Group","Määra kliendigruppi"
"Back","Tagasi"
"Bad request.","Vigane päring."
"Cancel","Tühista"
"Change Billing Address","Muuda arveldusaadressi"
"Change Password","Muuda salasõna"
"Change Shipping Address","Muuda tarneaadressi"
"City","Linn"
"Company","Ettevõte"
"Configure","Seadista"
"Confirm New Password","Kinnita uus salasõna"
"Confirm Password","Kinnita salasõna"
"Confirmed","Kinnitatud"
"Contact Information","Kontaktandmed"
"Continue Shopping","Jätka ostlemist"
"Country","Riik"
"Create","Loo"
"Create Order","Uus tellimus"
"Create an Account","Uus konto"
"Current Password","Kehtiv salasõna"
"Customer","Klient"
"Customer Configuration","Kliendi konfiguratsioon"
"Customer Group","Kliendigrupp"
"Customer Groups","Kliendigrupid"
"Customer Information","Kliendi Informatsioon"
"Customer Since","Klient alates"
"Customer View","Kliendi vaade"
"Customers","Kliendid"
"Date","Kuupäev"
"Date Added","Lisamiskuupäev"
"Date of Birth","Sünnikuupäev"
"Day","Päev"
"Default Addresses","Vaikeaadress"
"Default Billing Address","Vaikimisi arveldusaadress"
"Default Group","Vaikegrupp"
"Default Shipping Address","Vaikimisi tarneaadress"
"Default Welcome Email","Vaikimisi tervitus e-post"
"Delete","Kustuta"
"Delete Customer","Kustuta klient"
"Delete Customer Group","Kustuta kliendigrupp"
"Deleted Stores","Kustutatud poed"
"Details","Üksikasjad"
"Disabled","Keelatud"
"Edit","Muuda"
"Edit Account Information","Minu konto andmed"
"Edit Address","Muuda aadressi"
"Edit Customer Groups","Muuda kliendigruppe"
"Edit Group","Muuda gruppi"
"Email","E-post"
"Email Address","E-posti aadress"
"Email Sender","E-posti saatja"
"Email:","E-post:"
"Excel XML","Exceli XML"
"Fax","Faks"
"First Name","Eesnimi"
"Forgot Password","Unustasid salasõna"
"Forgot Your Password?","Unustasid salasõna?"
"Gender","Sugu"
"General Subscription","Üldtellimus"
"Generate Human-Friendly Customer ID","Genereeri inimsõbralik kliendi ID"
"Global","Globaalne"
"Group","Grupp"
"Group Information","Grupiteave"
"Group Name","Grupi nimi"
"Guest","Külaline"
"IP Address","IP aadress"
"Invalid login or password.","Vale kasutajatunnus või salasõna."
"Last Activity","Viimane toiming"
"Last Name","Perekonnanimi"
"Lifetime Sales","Kogumüük"
"Login","Sisene"
"MM","KK"
"Manage Addresses","Halda aadresse"
"Manage Customers","Halda kliente"
"Month","Kuu"
"My Account","Minu konto"
"My Orders","Minu tellimused"
"Name","Nimi"
"Name and Address Options","Nime ja aadressi valikud"
"Never","Mitte kunagi"
"New Address","Uus aadress"
"New Customer","Uus klient"
"New Customer Group","Uus kliendigrupp"
"New Customer Groups","Uued kliendigrupid"
"New Customers","Uus klient"
"New Group","Uus grupp"
"New Password","Uus salasõna"
"Newsletter","Uudiskiri"
"Newsletter Information","Uudiskirja informatioon"
"Newsletter Subscription","Uudiskirja tellimine"
"Newsletters","Uudiskirjad"
"No Newsletter Found","Uudiskirja ei leitud"
"No item specified.","Artiklit ei ole spetsifitseeritud."
"Not Sent","Saatmata"
"Offline","Võrgust väljas"
"Online","Võrgus"
"Online Customers","Kliendid poes"
"Online Customers Options","Online klientide valikud"
"Order #","Tellimus #"
"Order Total","Tellimus kokku"
"Orders","Tellimused"
"Password","Salasõna"
"Password:","Salasõna:"
"Paused","Peatatud"
"Pending","Ootel"
"Personal Information","Isikuandmed"
"Please enter a number 1 or greater in this field.","Sisestage sellele väljale 1 või suurem arv."
"Please enter the city.","Palun sisestage linn."
"Please enter the country.","Palun sisestage maakond."
"Please enter the first name.","Sisesta eesnimi."
"Please enter the last name.","Sisesta perekonnanimi."
"Please enter the street.","Palun sisestage tänav."
"Please enter the zip/postal code.","Sisesta postiindeks."
"Please enter your email.","Palun sisesta e-posti aadress."
"Please make sure your passwords match.","Kontrollige, et sisestatud salasõnad ühtiks."
"Please select region, state or province","Valige piirkond, maakond või vald"
"Price","Hind"
"Product","Toode"
"Product ID","Toote ID"
"Product Name","Toote nimi"
"Product Reviews","Toote arvustused"
"Qty","Kogus"
"Recent Orders","Viimased tellimused"
"Recovery Link Expiration Period (hours)","Taastelingi aegumise periood (tundides)"
"Redirect Customer to Account Dashboard after Logging in","Suuna kliendid töölauale peale sisse logimist"
"Refunded","Tagastatud"
"Registered Customers","Registreerunud kliendid"
"Remove","Eemalda"
"SKU","Laokood"
"Save","Salvesta"
"Save Address","Salvesta aadress"
"Save Customer","Salvesta klient"
