" Copy"," Copie"
"Add New Template","Ajouter un nouveau gabarit"
"Add to Queue","Ajouter à la file"
"Allow Guest Subscription","Autoriser l'inscription des invités"
"Are you sure that you want to delete this template?","Êtes-vous certain de vouloir supprimer ce gabarit ?"
"Are you sure that you want to strip all tags?","Êtes-vous sûr(e) de vouloir supprimer tous les tags ?"
"Back","Retour"
"Cancel","Annuler"
"Cancelled","Annulé"
"Confirmation Email Sender","Expéditeur du mail de confirmation"
"Confirmation Email Template","Gabarit du mail de confirmation"
"Convert to Plain Text","Convertir en texte simple"
"Create Newsletter Template","Créer un nouveau gabarit de newsletter"
"Customer","Client"
"Customer First Name","Prénom du client"
"Customer Last Name","Nom de famille du client"
"Date Added","Date d'ajout"
"Date Updated","Date de mise à jour"
"Delete","Supprimer"
"Delete Selected Problems","Supprimer les problèmes sélectionnés"
"Delete Template","Supprimer le gabarit"
"Do you really want to cancel the queue?","Voulez-vous vraiment supprimer la file ?"
"Edit Newsletter","Éditer l'infolettre"
"Edit Newsletter Template","Éditer le gabarit de l'infolettre"
"Edit Queue","Éditer la file d'attente"
"Edit Template","Éditer le gabarit"
"Email","Courriel"
"Enter your email address","Saisissez votre email"
"Error Code","Code d'erreur"
"Error Text","Texte d'erreur"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Cliquez sur ce lien pour vous désinscrire <!-- Sert au lien de désinscription --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Guest","Invité"
"ID","Identifiant"
"Need to Confirm","Confirmation nécessaire"
"New Newsletter Template","Nouveau gabarit d'infolettre"
"New Template","Nouveau gabarit"
"Newsletter","Infolettre"
"Newsletter Message Preview","Prévisualisation du message de la newsletter"
"Newsletter Problem Reports","Rapports des problèmes de newsletter"
"Newsletter Queue","File d'attente newsletter"
"Newsletter Styles","Styles de newsletter"
"Newsletter Subscribers","Abonnés à la newsletter"
"Newsletter Subscription","Abonnement à la newsletter"
"Newsletter Subscriptions","Abonnements à la newsletter"
"Newsletter Templates","Gabarits newsletter"
"Newsletter subscription confirmation","Confirmation de l'abonnement à la newsletter"
"Newsletter subscription success","Abonnement à la newsletter réussi"
"Newsletter unsubscription success","Désabonnement de la newsletter réussi"
"No Templates Found","Aucun gabarit trouvé"
"Not Activated","Non activé"
"Not Sent","Pas envoyé"
"Pause","Mettre en pause"
"Paused","En pause"
"Please enter a valid email address.","Saisissez un email valide."
"Please enter new template name","Veuillez saisir un nouveau nom de gabarit"
"Please select subscriber(s)","Veuillez sélectionner des abonnés"
"Preview","Prévisualiser"
"Preview Template","Prévisualiser le gabarit"
"Processed","Terminé"
"Queue Date Start","Date de démarrage de la file"
"Queue Finish","Fin de la file"
"Queue Information","Informations de file d'attente"
"Queue Start","Début de la file"
"Queue Subject","Sujet de la file"
"Recipients","Destinataires"
"Reset","Réinitialiser"
"Resume","Reprendre"
"Return HTML Version","Revenir à la version HTML"
"Save As","Sauvegarder sous"
"Save Newsletter","Sauvegarder la newsletter"
"Save Template","Sauvegarder le gabarit"
"Save and Resume","Sauvegarder et continuer"
"Security","Sécurité"
"Sender","Expéditeur"
"Sender Email","Email de l'expéditeur"
"Sender Name","Nom de l'expéditeur"
"Sending","Envoi en cours"
"Sent","Envoyé"
"Sign Up for Our Newsletter:","Abonnez-vous à notre infolettre :"
"Sign up for our newsletter","Abonnez-vous à l'infolettre"
"Start","Commencer"
"Status","Statut"
"Store","Magasin"
"Store View","Vue magasin"
"Subject","Sujet"
"Submit","Valider"
"Subscribe","Inscription"
"Subscribed","Abonné"
"Subscriber","Abonné"
"Subscribers","Abonnés"
"Subscribers From","Abonnés de"
"Subscription Options","Options d'inscription"
"Success Email Sender","Expéditeur du mail de succès"
"Success Email Template","Gabarit du mail de succès"
"Template Content","Contenu du gabarit"
"Template Information","Informations gabarit"
"Template Name","Nom du gabarit"
"Template Styles","Styles de gabarit"
"Template Subject","Sujet du gabarit"
"Template Type","Type de gabarit"
"Thank you for your subscription.","Merci de votre inscription."
"There was a problem with the subscription: %s","Il y a eu un problème lors de l'inscription: %s"
"There was a problem with the un-subscription.","Un problème est survenu lors de la désinscription"
"This email address is already assigned to another user.","Cet email est déjà assigné à un utilisateur."
"Type","Type "
"Unconfirmed","Non confirmé"
"Unsubscribe","Désabonner"
"Unsubscribe Selected","Désinscription sélectionnée"
"Unsubscribed","Désinscrit"
"Unsubscription Email Sender","Expéditeur du mail de désinscription"
"Unsubscription Email Template","Gabarit du mail de désinscription"
"View Newsletter","Voir l'infolettre"
"Website","Site web""%s and greater"
"Your subscription has been confirmed.","Votre inscription a été confirmée."
