"* Required Fields","* Champs obligatoires"
"--Please Select--","--Votre choix--"
"<label>Make Check payable to:</label> %s","<label>Chèque libellé à l'ordre de:</label> %s"
"Automatically Invoice All Items","Facturer automatiquement tous les articles"
"Bank Transfer Payment","Paiement par virement bancaire"
"Card Verification Number","Numéro de vérification"
"Cash On Delivery Payment","Paiement en espèces à la livraison"
"Check / Money Order","Chèque / Liquide"
"Credit Card Number","Numéro de carte bancaire"
"Credit Card Number: xxxx-%s","<strong>Numéro de carte de crédit:</strong> <span class=""nowrap"">xxxx-%s</span>"
"Credit Card Type","Type de carte de crédit"
"Credit Card Type: %s","<strong>Type de carte de crédit:</strong> <span class=""nowrap"">%s</span>"
"Credit Card Types","Types de cartes de paiement"
"Credit card type is not allowed for this payment method.","Le type de carte bancaire n'est pas autorisé pour ce mode de paiement."
"Currency","Monnaie"
"Day","Jour"
"Debug Mode","Mode debug"
"Enabled","Activé"
"Expiration Date","Date d'expiration"
"Expiration Date: %s/%s","Date d'expiration: %s/%s"
"Incorrect credit card expiration date.","Date d’expiration de carte de crédit incorrect."
"Invalid Credit Card Number","Numéro de carte bancaire invalide"
"Issue Number","Numéro de problème"
"Make Check Payable to","Libeller le chèque à l'ordre de"
"Make Check payable to:","Libeller le chèque à l'ordre de :"
"Make Check payable to: %s","Chèque libellé à l'ordre de: %s"
"Maximum Order Total","Total maximum d'une commande"
"Merchant ID","Identifiant marchand"
"Minimum Order Total","Total minimum d'une commande"
"Month","Mois"
"Name on Card","Titulaire de la carte"
"Name on the Card: %s","<strong>Nom sur la carte:</strong> <span class=""nowrap"">%s</span>"
"New Order Status","Statut d'une nouvelle commande"
"Password","Mot de passe"
"Payment Method","Mode de paiement"
"Payment Methods","Modes de paiement"
"Payment Methods Section","Section modes de paiement"
"Payment Services","Services de paiement"
"Payment from Applicable Countries","Mode de paiement autorisé pour les pays concernés"
"Payment from Specific Countries","Mode de paiement autorisé pour les pays spécifiques"
"Please enter a valid credit card verification number.","Veuillez saisir un numéro de vérification de carte bancaire valide."
"Purchase Order","Bon de commande"
"Purchase Order Number","Numéro de bon de commande"
"Purchase Order Number: %s","<strong>Numéro de commande:</strong> <span class=""nowrap"">%s</span>"
"Saved CC","Carte de crédit enregistrée"
"Selected payment type is not allowed for billing country.","Le type de paiement sélectionné n'est pas autorisé pour le pays de facturation."
"Send Check to","Envoyer le chèque à"
"Send Check to:","Envoyer le chèque à :"
"Shipping Amount","Montant de la livraison"
"Sort Order","Ordre de tri""Abandoned Carts"
"Start Date","Date de début"
"Switch/Solo/Maestro Issue Number","Numéro de problème Switch/Solo/Maestro"
"Switch/Solo/Maestro Only","Switch/Solo/Maestro seulement"
"Switch/Solo/Maestro Start Date","Date de début Switch/Solo/Maestro"
"Tax Amount","Montant des taxes"
"Test Mode","Mode test"
"The payment review action is unavailable.","L'action de commentaire de paiement n'est pas disponible."
"The requested Payment Method is not available.","Le mode de paiement demandé n'est pas disponible."
"Title","Titre"
"Unable to save Billing Agreement:","Impossible de sauvegarder le contrat de facturation :"
"What is this?","Qu'est-ce que c'est ?"
"Year","Année"
"Zero Subtotal Checkout","Règlement d'un sous-total nul"
