"1 star","1 étoile"
"2 stars","2 étoiles"
"3 stars","3 étoiles"
"4 stars","4 étoiles"
"5 stars","5 étoiles"
"Add New Rating","Ajouter une notation"
"Assigned Options","Options attribuées"
"Be the first to review this product","Soyez le premier à commenter ce produit"
"Default Value","Valeur par défaut"
"Delete Rating","Supprimer la notation"
"Edit Rating","Modifier l'évaluation"
"ID","Identifiant"
"If you do not specify a rating title for a store, the default value will be used.","Si vous ne spécifiez pas de titre d'évaluation pour un magasin, la valeur par défaut sera utilisée."
"New Rating","Nouvelle notation"
"Option Label","Option"
"Option Title","Titre de l'option"
"Option Title:","Titre de l'option :"
"Please select one of each ratings above","Veuillez sélectionner une évaluation pour chaque critère ci-dessus"
"Rating Information","Informations de notation"
"Rating Name","Nom de l'évaluation"
"Rating Options","Options des évaluations"
"Rating Title","Libellé de notation"
"Rating Visibility","Visibilité de notation"
"Rating isn't Available","Les notations ne sont pas activées"
"Rating with the same title","Evaluation avec le même titre"
"Save Rating","Sauvegarder la notation"
"Sort Order","Ordre de tri""Abandoned Carts"
"Visible In","Visible dans"
