"%s's Wishlist","Liste-Cadeaux de %s"
"* Required Fields","* Champs obligatoires"
"Add All to Cart","Tout ajouter au panier"
"Add to Cart","Ajouter au panier"
"Add to Compare","Ajouter au comparateur"
"Add to Wishlist","Ajouter à la liste d'achats"
"Added From","Ajouté depuis"
"Are you sure you want to remove this product from your wishlist?","Êtes-vous certain de vouloir enlever ce produit de votre liste-cadeaux ?"
"Are you sure you would like to remove this item from the wishlist?","Etes-vous certain de vouloir supprimer cet article de la liste cadeaux?"
"Back","Retour"
"Can't save description %s","Impossible de sauvegarder la description %s"
"Cannot specify product.","Impossible de spécifier le produit"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Cochez cette case si vous souhaitez ajouter un lien vers un flux RSS vers votre liste-cadeaux"
"Click for price","Cliquez pour afficher le prix"
"Comment","Commentaire"
"Comment:","Commentaire :"
"Date Added","Date d'ajout"
"Days in Wishlist","Jours dans la liste-cadeaux"
"Edit","Éditer"
"Email Sender","Expéditeur du mail"
"Email Template","Gabarit du mail"
"Email address can't be empty.","Le courriel ne peut être vide."
"Email addresses, separated by commas","Adresses email, séparées par des virgules"
"Enabled","Activé"
"General Options","Options générales"
"Go to Wishlist","Aller à la liste-cadeaux"
"In stock","En stock"
"Last Added Items","Derniers articles ajoutés"
"My Wishlist","Ma Liste-cadeaux"
"My Wishlist (%d item)","Ma liste-cadeaux (%d article)"
"My Wishlist (%d items)","Ma liste-cadeaux (%d articles)"
"Options Details","Détails des options"
"Out of stock","Épuisé"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Veuillez saisir une liste d'adresses courriel valide, séparées par des virgules. Par exemple, jeandupond@domaine.com, martindupond@domaine.com"
"Please, enter your comments...","Veuillez saisir vos commentaires..."
"Price","Prix"
"Product","Produit"
"Product Details and Comment","Détails du produit et commentaire"
"Qty","Qté"
"RSS Feed","Flux RSS"
"RSS link to %s's wishlist","Lien RSS vers la liste-cadeaux de %s"
"Remove Item","Supprimer l'article"
"Remove This Item","Retirer cet élément"
"Remove item","Retirer l'article"
"SKU","REF"
"Share Options","Options de partage"
"Share Wishlist","Partager la liste-cadeaux"
"Share Your Wishlist","Partagez votre liste-cadeaux"
"Sharing Information","Information de partage"
"Update Wishlist","Mettre à jour"
"User Description","Description utilisateur"
"View Details","Voir les détails"
"View Product","Voir produit"
"What's this?","Qu'est-ce que c'est ?"
"Wishlist","Liste d'achats"
"Wishlist Sharing","Partage de liste-cadeaux"
"Wishlist is empty now.","La liste-cadeaux est vide maintenant."
"You have no items in your wishlist.","Vous n'avez pas d'article dans votre liste-cadeaux."
