"Access Key","Clef d'accès"
"Authorize Only","Autorisation seulement"
"Authorize and Capture","Autorisation et collecte"
"Continue Shopping","Continuez vos achats"
"Debug","Déboguage"
"Email Sender","Expéditeur du mail"
"Enable","Activer"
"Merchant ID","Identifiant marchand"
"Merchant Login","Identifiant du commerçant"
"New Order Status","Statut d'une nouvelle commande"
"Payment Action","Action de paiement"
"Sandbox","Bac à sable (sandbox)"
"Secret Key","Clé secrète"
"Thank you for your purchase!","Merci pour votre commande !"
"Title","Titre"
"You will receive an order confirmation email with details of your order and a link to track its progress.","Vous allez recevoir un courriel de confirmation avec les détails de votre commande ainsi qu'un lien pour suivre son avancement."
