" for more information or "," pour plus d'information ou "
"# of Items (and above)","Nombre d'articles (et au-delà)"
"# of Items vs. Destination","Nombre d'articles par destination"
"Allow Shipping to Multiple Addresses","Autoriser la livraison à plusieurs adresses"
"Calculate Handling Fee","Calculer les frais de dossier"
"Carrier:","Transporteur :"
"City","Ville"
"Close Window","Fermer la fenêtre"
"Country","Pays"
"Custom Value","Valeur personnalisée"
"Delivered on:","Livré le :"
"Delivered to:","Livré à :"
"Displayed Error Message","Message d'erreur affiché"
"Divide to equal weight (one request)","Diviser en poids égal (une requête)"
"Enabled","Activé"
"Error:","Erreur :"
"Export","Exporter"
"Fixed","Fixé"
"Flat Rate","Tarif unique"
"Free Shipping","Livraison gratuite"
"Handling Fee","Frais de traitement"
"Import","Importer"
"Include Virtual Products in Price Calculation","Inclure les produits virtuels dans le calcul de prix"
"Info:","Info :"
"Invalid Table Rate code for type %s: %s","Code de table de taux non valide pour le type %s: %s"
"Invalid Table Rate code type: %s","Type de code de table de taux non valide: %s"
"Invalid Table Rates File Format","Format de fichier de tarification invalide"
"Local Time","Heure locale"
"Location","Lieu"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Qté maxi autorisée pour la livraison à plusieurs adresses"
"Method Name","Nom de méthode"
"Minimum Order Amount","Montant de commande minimum"
"None","Aucun"
"Order Subtotal (and above)","Sous-total de la commande (et au-delà)"
"Origin","Origine"
"Per Order","Par commande"
"Per Package","Par colis"
"Percent","Pourcent"
"Price","Prix"
"Price vs. Destination","Prix par destination"
"Region/State","Région/État"
"Service Type:","Type de service :"
"Ship to Applicable Countries","Livrer aux pays applicables"
"Ship to Specific Countries","Livrer aux pays spécifiques"
"Shipment #","Expédition n°"
"Shipped or billed on:","Livré ou facturé le :"
"Shipping Methods","Méthodes de livraison"
"Shipping Settings","Paramètres de livraison"
"Shipping Settings Section","Section des paramètres de livraison"
"Show Method if Not Applicable","Afficher le mode s'il n'est pas applicable"
"Signed by:","Signé par :"
"Sort Order","Ordre de tri""Abandoned Carts"
"Status:","Statut :"
"Store Pickup","Retrait en magasin"
"Street Address","Adresse"
"Street Address Line 2","Adresse - ligne 2"
"Table Rates","Tarification"
"The shipping module is not available.","Le module de livraison n'est pas disponible."
"There is no tracking available for this shipment.","Aucun suivi disponible pour la livraison"
"There is no tracking available.","Aucun suivi disponible."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Ce mode de livraison est actuellement indisponible. Si vous souhaitez être livré par ce mode, veuillez nous contacter."
"Title","Titre"
"Track:","Suivre :"
"Tracking Information","Informations de suivi"
"Tracking Number:","Numéro de suivi :"
"Tracking information is currently not available. Please ","Les informations de suivi ne sont pas disponibles pour le moment. Vous pouvez  "
"Tracking information is currently unavailable.","Les informations de suivi ne sont pas disponibles pour le moment."
"Type","Type "
"Use origin weight (few requests)","Utiliser le poids d'origine (peu de requêtes)"
"Weight (and above)","Poids (et au-delà)"
"Weight vs. Destination","Poids par destination"
"Weight:","Poids;"
"ZIP/Postal Code","Code postal"
"contact us","nous contacter"
"email us at ","nous envoyer un email à  "
