"Add","Ajouter"
"Add New Row","Ajouter une ligne"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Les caractères alphabétique, tiret et tirets bas sont recommandés pour les noms de fichiers. Les caractères incohérents sont remplacés par '_'."
"Availability:","Disponibilité :"
"Back","Retour"
"Canceled","Annulée"
"Default Link Title","Titre de lien par défaut"
"Default Maximum Number of Downloads","Nombre maximum de téléchargements par défaut"
"Default Sample Title","Titre de l'exemple par défaut"
"Delete","Supprimer"
"Disable Guest Checkout if Cart Contains Downloadable Items","Désactiver le passage de commande en tant qu'invité si le panier contient des produits téléchargeables"
"Downloadable Information","Informations téléchargements"
"Downloadable Product Options","Options du produit téléchargeable"
"Edit","Éditer"
"Edit item parameters","Éditer les paramètres de l'article"
"Excl. Tax","HT"
"File","Fichier"
"From:","De :"
"Gift Message","Message du cadeau"
"Guest checkout will only work with shareable.","Le passage de commande en tant qu'invité ne fonctionnera qu'avec les partageables."
"In stock","En stock"
"Incl. Tax","TTC"
"Invalid download link type.","Le type de lien de téléchargement est invalide."
"Invoiced","Facturé"
"Links can be purchased separately","Les liens peuvent être achetés séparément"
"List","Liste"
"Max. Downloads","Téléchargements max."
"Message:","Message :"
"Move","Déplacer"
"My Downloadable Products","Mes produits téléchargeables"
"Open Links in New Window","Ouvrir les liens dans une nouvelle fenêtre"
"Order #","Commande n°"
"Order Item Status to Enable Downloads","Statut du produit commandé pour activer le téléchargement"
"Order id cannot be null","L'id de commande ne peut pas être null"
"Order item id cannot be null","L'id d'article de commande ne peut pas être null"
"Ordered","Commandé"
"Out of stock","Épuisé"
"Pending","En attente"
"Please set resource file and link type.","Renseignez le fichier de ressource et le type de lien."
"Please specify product link(s).","Spécifiez le ou les liens des produits"
"Price","Prix"
"Qty","Qté"
"Refunded","Remboursé"
"Remaining Downloads","Téléchargements restants"
"Remove","Supprimer"
"Remove Item","Supprimer l'article"
"SKU","REF"
"Sample","Exemple"
"See price before order confirmation.","Voir le prix avant la confirmation de la commande"
"Shareable","Partageable"
"Shipped","Livré"
"Sorry, there was an error getting requested content. Please contact the store owner.","Erreur lors de la récupération du contenu demandé. Veuillez contacter le magasin."
"Sort Order","Ordre de tri""Abandoned Carts"
"Start Download","Démarrage du téléchargement"
"Status","Statut"
"Subtotal","Sous-total"
"The link has expired.","Le lien a expiré."
"The link is not available.","Le lien n'est pas disponible."
"Title","Titre"
"To:","À :"
"Unlimited","Illimité"
"Update","Mettre à jour"
"Use Content-Disposition","Utiliser la disposition de contenu"
"Use Default Value","Utiliser la valeur par défaut"
"View Order","Visualiser"
"What's this?","Qu'est-ce que c'est ?"
"You have not purchased any downloadable products yet.","Vous n'avez pas encore commandé de produits téléchargeables."
"attachment","pièce jointe"
"download","téléchargement"
"inline","en ligne"
"sample","exemple"
