"* Required Fields","* Champs obligatoires"
"-- Select --","-- Votre choix --"
"Add New Option","Ajouter une option"
"As Low as","À partir de"
"As low as","À partir de"
"Bundle Items","Articles packagés"
"Checkbox","Case à cocher"
"Choose a selection...","Choisissez une sélection"
"Click for price","Cliquez pour afficher le prix"
"Close","Fermer"
"Default","Par défaut"
"Default Qty","Qté par défaut"
"Default Title","Titre par défaut"
"Drop-down","Liste déroulante"
"Dynamic","Dynamique"
"Excl. Tax","HT"
"Fixed","Fixé"
"From","Depuis"
"From:","De :"
"Gift Message","Message du cadeau"
"Incl. Tax","TTC"
"Input Type","Type de saisie"
"Is Required","Obligatoire"
"Message:","Message :"
"Multiple Select","Sélection multiple"
"No options of this product are available.","Aucune option n'est disponible pour ce produit."
"None","Aucun"
"Percent","Pourcent"
"Percent Discount","Remise en pourcentage"
"Please Select Products to Add","Sélectionnez les produits à ajouter"
"Please enter a number greater 0 in this field.","Veuillez saisir un nombre supérieur à 0 dans ce champ."
"Please specify product option(s).","Veuillez préciser la ou les options de produits."
"Price Range","Tranche de prix"
"Price Type","Type de prix"
"Qty:","Qté :"
"Radio Buttons","Boutons radio"
"SKU","REF"
"Separately","Séparément"
"Ship Bundle Items","Livrer les articles packagés"
"Shipment","Expédition"
"Store View Title","Titre de la vue magasin"
"To","À"
"To:","À :"
"Together","Ensemble"
"Use Default Value","Utiliser la valeur par défaut"
"and","et"
"save","économisez"
