"Add Option","Ajouter une option"
"Attempt to add an invalid object","Tentative d'ajout d'objet non valide"
"Attribute Code","Code d'attribut"
"Attribute Label","Libelle d'attribut"
"Attribute Properties","Propriétés de l'attribut"
"Attribute object is undefined","L'objet attribut est indéfini"
"Attribute with the same code","Attribut avec le même code"
"Catalog Input Type for Store Owner","Type d'entrée catalogue pour le propriétaire du magasin"
"Data integrity: No header row found for attribute","Intégrité de données: aucune ligne d'en-tête trouvée pour l'attribut"
"Decimal Number","Nombre décimal"
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Le tri par défaut dans les listes de produits ne fait pas partie des options de tri disponibles."
"Default Value","Valeur par défaut"
"Default option value is not defined","La valeur d'option par défaut n'est pas définie"
"Delete","Supprimer"
"Dropdown","Liste déroulante"
"Email","Courriel"
"Entity is not initialized","L'entité n'est pas initialisée."
"Entity object is undefined","L'objet entité n'est pas défini"
"Form Element with the same attribute","Il existe déjà un élément de formulaire avec le même attribut"
"Form Fieldset with the same code","Il existe déjà un groupe de champs de formulaire avec le même code"
"Form Type with the same code","Il existe déjà un type de formulaire avec le même code"
"Frontend label is not defined","Le libellé de partie publique n'est pas défini"
"Input Validation for Store Owner","Validation requise"
"Integer Number","Nombre entier"
"Invalid alias, already exists in joint attributes","Alias invalide, déjà utilisé dans les attributs de jointure"
"Invalid attribute name: %s","Nom d'attribut non valide: %s"
"Invalid attribute requested: %s","Attribut demandé non valide: %s"
"Invalid attribute type","Type d'attribut non valide"
"Invalid character encountered in increment ID: %s","Caractère non valide trouvé dans l'ID d'incrément: %s"
"Invalid date","Date invalide"
"Invalid entity specified","Entité spécifiée non valide"
"Invalid entity supplied: %s","Entité fournie non valide: %s"
"Invalid entity type","Type d'entité non valide"
"Invalid entity_type specified: %s","entity_type non valide: %s"
"Invalid foreign key","Clé étrangère non valide"
"Invalid joint fields","Champs de jointure invalides."
"Invalid store specified","Magasin spécifié non valide"
"Joined field with this alias is already declared","Le champ joint avec cet alias est déjà déclaré"
"Joint field or attribute expression with this alias is already declared","Il existe déjà un champ de jointure ou une expression d'attribut portant cet alias."
"Letters","Lettres"
"Letters (a-z, A-Z) or Numbers (0-9)","Lettres (a-z, A-Z) ou chiffres (0-9)"
"Loaded %d records","%d enregistrements chargés"
"Multiple Select","Sélection multiple"
"No","Non"
"None","Aucun"
"Not shared with other products","Non partagé avec les autres produits"
"Problem loading the collection, aborting. Error: %s","Problème lors du chargement de la collection. Annulation. Erreur: %s"
"Problem saving the collection, aborting. Error: %s","Problème lors de la sauvegarde de la collection, opération annulée. Erreur: %s"
"Required","Obligatoire"
"System","Système"
"Text Area","Zone de texte"
"Text Field","Champ texte"
"Unique Value","Valeur unique"
"Unique Value (not shared with other products)","Valeur unique (non partagée avec les autres produits)"
"Unknown parameter","Paramètre inconnu"
"Values Required","Valeurs requises"
"Wrong attribute group ID","Identifiant de groupe d'attributs erroné"
"Wrong attribute set ID","Identifiant de jeu d'attributs erroné"
"Wrong entity ID","Identifiant d'entité erroné"
"Yes","Oui"
"Yes/No","Oui/Non"
