"# of Use","Nb d'utilisations"
"%s Item(s)","%s article(s)"
"(Copy data from: %s)","(Copier les données depuis: %s)"
"* Required Fields","* Champs obligatoires"
"-- Please Select --","-- Faites un choix --"
"A group with the same name already exists.","Il existe déjà un groupe portant ce nom."
"A name is required","Un nom est requis"
"A product type is not defined for the indexer.","Aucun type de produit n'est défini pour l'indexer."
"ALL GROUPS","TOUS LES GROUPES"
"Actual Price","Prix ​​actuel"
"Add","Ajouter"
"Add Attribute","Ajouter un attribut"
"Add Design Change","Ajouter un changement de design"
"Add Group","Ajouter un groupe"
"Add New","Ajouter"
"Add New Attribute","Ajouter un attribut"
"Add New Attribute Set","Ajouter un nouveau jeu d'attributs"
"Add New Group","Ajouter un nouveau groupe"
"Add New Images","Ajouter de nouvelles images"
"Add New Option","Ajouter une option"
"Add New Row","Ajouter une ligne"
"Add New Search Term","Ajouter un terme de recherche"
"Add New Set","Ajouter un nouveau groupe"
"Add Product","Ajouter un produit"
"Add Product To Websites","Ajouter le produit aux sites web"
"Add Root Category","Ajouter une catégorie racine"
"Add Subcategory","Ajouter une sous-catégorie"
"Add Tax","Ajouter une taxe"
"Add Tier","Ajouter un niveau"
"Add to Cart","Ajouter au panier"
"Add to Compare","Ajouter au comparateur"
"Add to Wishlist","Ajouter à la liste d'achats"
"Additional Information","Informations complémentaires"
"All","Tous"
"All Product Types","Tous les types de produits"
"All Websites","Tous les sites web"
"All products","Tous les produits"
"All products - recently added products, New products - products marked as new","Tous les produits - produits ajoutés récemment, nouveaux produits - produits configurés comme nouveaux"
"Allow All Products per Page","Autoriser tous les produits par page"
"Amount","Montant"
"Anchor Custom Text","Présenter un texte personnalisé"
"Anchor Custom Title","Présenter un titre personnalisé"
"Apply To","S'applique à"
"Approved","Approuvé"
"Are you sure you want to delete this category?","Êtes-vous sûr(e) de vouloir supprimer cette catégorie ?"
"Are you sure you would like to remove this item from the compare products?","Etes-vous certains de vouloir supprimer cet article de la comparaison des produits?"
"Are you sure?","Êtes-vous sûr(e) ?"
"As low as:","Aussi bas que :"
"Assign","Assigner"
"Associated Products","Produits associés"
"Attrib. Set Name","Nom du groupe d'attributs"
"Attribute Information","Informations attributs"
"Attribute Model","Modèle d'attribut"
"Attribute Name:","Nom de l'attribut:"
"Attribute Set","Jeu d'attributs"
"Attribute Sets","Jeux d'attributs"
"Attribute with the same code already exists","Un attribut avec le même code existe déjà"
"Attributes","Attributs"
"Autogenerate","Générer automatiquement"
"Availability:","Disponibilité :"
"Back","Retour"
"Backend Model","Modèle pour le back office"
"Backend Table","Table de l'administration"
"Backend Table Title","Titre de table de l'administration"
"Backorders","Commande en rupture de stock"
"Based On","Basé sur"
"Before Order Confirmation","Avant la confirmation de commande"
"Best Value","Meilleure valeur"
"Block after Info Column","Bloc après la colonne d'information"
"Bottom/Left","En bas à gauche"
"Bottom/Right","En bas à droite"
"Browse By","Consulter par"
"Bundle Items","Articles packagés"
"Cache Lifetime (Seconds)","Durée de vie du cache (secondes)"
"Can be used only with catalog input type Dropdown","Ne peut être utilisé qu'avec un catalogue type Liste déroulante"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Ne peut être utilisé qu'avec un type de saisie ""liste déroulante"", ""choix multiple"" ou ""prix"""
"Cancel","Annuler"
"Cart Item Attribute","Attribut d'article panier"
"Catalog","Catalogue"
"Catalog Category Link","Lien vers les catégories de catalogue"
"Catalog New Products List","Liste des nouveaux produits du catalogue"
"Catalog Price Scope","Portée des prix catalogue"
"Catalog Product Link","Lien produit catalogue"
"Catalog, Search","Catalogue, Recherche"
"Categories","Catégories"
"Categories Sitemap","Plan de site des catégories"
"Category","Catégorie"
"Category Data","Données de catégorie"
"Category Flat Data","Données fixes de catégorie"
"Category Link Block Template","Gabarit du bloc lien catégorie"
"Category Link Inline Template","Gabarit inline de lien catégorie"
"Category Products","Produits de la catégorie"
"Category Top Navigation","Navigation dans les catégories"
"Category URL Suffix","Suffixe d'URL des catégories"
"Category move error","Erreur de déplacement de catégorie"
"Center","Centrer"
"Change","Modifier"
"Change status","Changer un statut"
"Check items to add to the cart or","Cochez les articles à ajouter au panier ou"
"Choose an Option...","Choisissez une option..."
"Clear All","Tout supprimer"
"Clear Price","Effacer le prix"
"Click for price","Cliquez pour afficher le prix"
"Close Window","Fermer la fenêtre"
"Collapse All","Tout réduire"
"Comma-separated.","Séparées par des virgules."
"Comparable on Front-end","Comparable sur la partie publique"
"Compare","Comparer"
"Compare Products","Comparer des produits"
"Conditions Combination","Combinaison de conditions"
"Configurable Product","Produit configurable"
"Configurable Product Settings","Paramètres produit configurable"
"Configure Product","Configurer le produit"
"Continue","Continuer"
"Copy From Configurable","Copier à partir d'un configurable"
"Country/State","Pays / État"
"Create","Créer"
"Create Empty","Créer vide"
"Create Permanent Redirect for URLs if URL Key Changed","Créer une redirection permanente pour les URLs si la clé d'URL change"
"Create Permanent Redirect for old URL","Créer des redirections permanentes pour les anciennes URLs."
"Create Product Settings","Créer des attributs produit"
"Create Simple Associated Product","Créer un produit simple associé"
"Cross-sells","Ventes croisées"
"Custom Design","Design personnalisé"
"Custom Options","Options personnalisables"
"Customer Group","Groupe de clients"
"Customers Reviews","Avis des clients"
"Customers Tagged Product","Clients ayant libellé ce produit"
"Data Type for Saving in Database","Type de données à sauvegarder dans la base de données"
"Date & Time Custom Options","Options de date & heure personnalisées"
"Date Fields Order","Ordre des champs de date"
"Date Subscribed","Date d'abonnement"
"Datetime","Date et heure"
"Decimal","Décimal"
"Declare attribute value saving scope","Déclarer la portée d'économie de valeurs d'attributs"
"Default ""What's This"" Text Message","Texte par défaut du message ""Qu’est-ce que c'est"""
"Default Popup Text Message","Texte du message de popup par défaut"
"Default Price","Prix par défaut"
"Default Price Navigation Step","Tranche de prix par défaut"
"Default Qty","Qté par défaut"
"Default Values","Valeurs par défaut"
"Delete","Supprimer"
"Delete Attribute","Supprimer l'attribut"
"Delete Attribute Set","Supprimer le groupe d'attribut"
"Delete Category","Supprimer catégorie"
"Delete Option","Supprimer cette option"
"Delete Row","Supprimer la ligne"
"Delete Search","Supprimer la recherche"
"Delete Selected Group","Supprimer le groupe sélectionné"
"Delete Tier","Effacer le palier"
"Design","Conception"
"Details","Détails"
"Disabled","Désactivé"
"Disallowed file type.","Type de fichier interdit."
"Display Actual Price","Afficher les vrais prix"
"Display Page Control","Contrôle de l'affichage de la page"
"Display Price Interval as One Price","Afficher l'intervale de prix en un seul prix"
"Display Product Count","Afficher le nombre de produits"
"Display Type","Type d'affichage"
"Display in Suggested Terms","Afficher dans les termes suggérés"
"Double click on a group to rename it","Double-cliquez sur un groupe pour le renommer"
"Downloadable Information","Informations téléchargements"
"Duplicate","Dupliquer"
"Duplicate amount found.","Montant en double."
"Duplicate website tier price customer group and quantity.","Dupliquer le groupe client et la quantité du prix par paliers du site web"
"Edit","Éditer"
"Edit Attribute Set '%s'","Éditer le jeu d'attributs '%s'"
"Edit Product Attribute","Éditer l'attribut produit"
"Edit Product Attribute ""%s""","Éditer l'attribut produit ""%s"""
"Edit Search","Modifier la recherche"
"Edit Search '%s'","Éditer la recherche '%s'"
"Email","Courriel"
"Email to a Friend","Envoyer à un ami"
"Empty","Vide"
"Enable MAP","Activer le prix minimum affiché"
"Enable Qty Increments","Activer les incréments de quantités"
"Enabled","Activé"
"Error during retrieval of option value: %s","Erreur lors de la récupération de la valeur de l'option: %s"
"Exclude","Exclure"
"Expand All","Tout développer"
"Failed","Échec"
"Failed to move file: %s","Erreur lors du déplacement du fichier : %s"
"Feature Products","Produits sélectionnés"
"Filter","Filtre"
"Filterable (no results)","Filtrable (pas de résultats)"
"Filterable (with results)","Filtrable (avec résultats)"
"First Name","Prénom"
"Fixed","Fixé"
"For the last time placed.","Lors de la dernière requête."
"Frontend","Partie publique"
"Frontend Model","Modèle du front office"
"Frontend Properties","Propriétés de la partie publique"
"Gallery","Galerie"
"General Information","Informations générales"
"Globally Editable","Éditable globalement"
"Go to Home Page","Aller à la page d'accueil"
