" [deleted]"," [effacé]"
"(For US 2-letter state names)","(Pour les US, 2 lettres du nom de l'état)"
"(If left empty will be auto-generated)","(Généré automatiquement si non renseigné)"
"(Leave empty for first spreadsheet)","(Laisser vide pour la première feuille de calcul)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Les produits seront ajoutés/mis à jour dans ce magasin si la colonne 'store' est vide ou manquante dans le fichier d'import)"
"(Starting with)","(Commençant par)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Lorsque 'Non' est sélectionné, seuls les champs mappés seront importés. Lorsque vous utilisez le mappage, utilisez 'column1', 'column2', etc.)"
"(\t for tab)","(t for tab)"
"* Required Fields","* Champs obligatoires"
"-- Not Selected --","-- Non sélectionné --"
"-- Please Select --","-- Faites un choix --"
"-- Please Select Billing Agreement--","-- Veuillez choisir l'entente de facturation--"
"-- Please Select a Category --","-- Choisissez une catégorie --"
"-- Please select --","-- Votre choix --"
"--Please Select--","--Votre choix--"
"1 Hour","1 heure"
"12 Hours","12 heures"
"2 Hours","2 heures"
"24 Hours","24 heures"
"2YTD","Depuis le début de l'année dernière"
"6 Hours","6 heures"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">Erreur 404</h1><p>Page introuvable.</p>"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Attention</strong> : le captcha est sensible à la casse."
"A user with the same user name or email already exists.","Un utilisateur avec le même nom d’utilisateur ou courriel existe déjà."
"API Key","Clé API"
"Abandoned Carts","Paniers abandonnés"
"About the calendar","À propos du calendrier"
"Account Created in:","Compte créé dans :"
"Account Created on:","Compte créé le :"
"Account Information","Informations du compte"
"Account Status","Statut du compte"
"Account status","Statut du compte"
"Actions","Action"
"Active","Actif"
"Add","Ajouter"
"Add Field Mapping","Ajouter un mappage de champs"
"Add New","Ajouter"
"Add New Block","Ajouter un nouveau bloc"
"Add New Image","Nouvelle image"
"Add New Profile","Ajouter un nouveau profil"
"Add New Role","Ajouter un nouveau rôle"
"Add New Template","Ajouter un nouveau gabarit"
"Add New URL Rewrite","Nouvelle réécriture d'URL"
"Add New User","Ajouter un nouvel utilisateur"
"Add New Variable","Nouvelle variable"
"Add Products","Ajouter des produits"
