"* Required Fields","* Champs obligatoires"
"ALL GROUPS","TOUS LES GROUPES"
"Account Dashboard","Gestionnaire de compte"
"Account Information","Informations du compte"
"Account Sharing Options","Options de partage de compte"
"Add New Address","Ajouter une adresse"
"Add New Customer","Ajouter un nouveau client"
"Add New Customer Group","Ajouter un nouveau groupe de clients"
"Added From","Ajouté depuis"
"Additional Address Entries","Saisie d'adresses supplémentaires"
"Address","Adresse"
"Address Book","Carnet d'adresses"
"Address Information","Informations d'adresse"
"Address Templates","Gabarits d'adresse"
"Addresses","Adresses"
"Admin","Administration"
"All","Tous"
"All Store Views","Toutes les vues magasin"
"All countries","Tous les pays"
"Always optional.","Toujours optionnel."
"Amount","Montant"
"Approved","Approuvé"
"Are you sure that you want to remove this item?","Êtes-vous certain de vouloir retirer cet article ?"
"Are you sure you want to cancel adding of this address?","Êtes-vous certain de vouloir annuler l'ajout de cette adresse ?"
"Are you sure you want to delete this address?","Êtes-vous sûr(e) de vouloir effacer cette adresse ?"
"Are you sure?","Êtes-vous sûr(e) ?"
"Assign a Customer Group","Assigner un groupe clients"
"Average Sale","Ventes moyennes"
"Back","Retour"
"Back to Login","Reconnexion"
"Bad request.","Mauvaise requête."
"Bought From","Acheté sur"
"By Email","Par email"
"By IP","Par IP"
"By IP and Email","Par IP et Email"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","En créant un compte sur notre boutique, vous pourrez passer vos commandes plus rapidement, enregistrer plusieurs adresses de livraison, consulter et suivre vos commandes, et plein d'autres choses encore."
"Cancel","Annuler"
"Change Account Password","Modifier le mot de passe du compte"
"Change Billing Address","Modifier l'adresse de facturation"
"Change Password","Modifier le mot de passe"
"Change Shipping Address","Modifier l'adresse de facturation"
"City","Ville"
"Company","Société"
"Config","Configuration"
"Configure","Configurer"
"Confirm New Password","Confirmer le nouveau mot de passe"
"Confirm Password","Confirmer le mot de passe"
"Confirmation Link Email","Courriel de lien de confirmation"
"Confirmed","Confirmé"
"Contact Information","Informations de contact"
