"Actions","Action"
"Active","Actif"
"Add New Rule","Ajouter une nouvelle règle"
"Alphabetical","Alphabétique"
"Alphanumeric","Alphanumérique"
"Apply","Appliquer"
"Apply To","S'applique à"
"Apply the rule only if the following conditions are met (leave blank for all products)","Appliquer la règle seulement si les conditions suivantes sont remplies (laisser vide pour appliquer à tous les produits)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Appliquer la règle seulement aux articles du panier qui remplissent les conditions suivantes (laisser vide pour appliquer à tous les produits du panier)"
"Apply the rule to cart items matching the following conditions","Appliquer la règle aux articles du panier qui remplissent les conditions suivantes"
"Apply to Shipping Amount","Appliquer au montant de la livraison"
"Are you sure you want to delete the selected coupon(s)?","Êtes-vous sûr(e) de vouloir effacer les bons de réduction sélectionnés ?"
"Auto Generated Specific Coupon Codes","Codes de bons de réduction spécifiques générés automatiquement"
"Buy X get Y free (discount amount is Y)","X achetés, Y gratuits (la valeur de la remise est Y)"
"By Fixed value","remise d'une valeur de"
"By Percentage","remise en %%"
"Can't acquire coupon.","Impossible d'acquérir un code offre spéciale."
"Cart Attribute","Attribut de panier"
"Catalog","Catalogue"
"Code Format","Format du code"
"Code Length","Longueur du code"
"Code Prefix","Préfixe de code"
"Code Suffix","Suffixe de code"
"Conditions combination","Combinaison de conditions"
"Coupon","Bon de réduction"
"Coupon Code","Code du bon de réduction"
"Coupon Qty","Qté de bons de réduction"
"Coupon with the same code","Coupon de réduction avec le même code"
"Created On","Créé le"
"Customer Groups","Groupes clients"
"Dash Every X Characters","Ajouter un trait tous les X caractères"
"Date Expire","Date d'expiration"
"Date Start","Date de démarrage"
"Default Label","Libellé par défaut"
"Default Rule Label for All Store Views","Libellé de règle par défaut pour toutes les vues magasin"
"Discount Amount","Remise"
"Discount Qty Step (Buy X)","Quantité pour obtenir la remise (Achetez-en X)"
"Edit Rule","Éditer la règle"
"Edit Rule '%s'","Éditer la règle '%s'"
"Excluding prefix, suffix and separators.","En excluant le préfixe, le suffixe et les séparateurs."
"FOUND","PRÉSENT DANS LE"
"Fixed amount discount","Remise d'une valeur fixe"
"Fixed amount discount for whole cart","Remise d'un montant fixe pour l'ensemble du panier"
"For matching items only","Pour les objets concordants seulement"
"For shipment with matching items","Pour les expéditions avec articles concordants"
"Free Shipping","Livraison gratuite"
"From Date","Date de début"
"General Information","Informations générales"
"Generate","Générer"
"ID","Identifiant"
"If empty no separation.","Si vide, aucune séparation."
"Inactive","Inactif"
"Labels","Libellés"
"Manage Coupon Codes","Gérer les codes de bons de réduction"
"Maximum Qty Discount is Applied To","Qté maxi à laquelle la remise est appliquée"
"NOT FOUND","ABSENT DU"
"NOT LOGGED IN","NON CONNECTÉ"
"New Rule","Nouvelle règle"
"No","Non"
"No Coupon","Pas de coupon de réduction"
"Number of Uses","Nombre d'utilisations"
"Numeric","Numérique"
"Payment Method","Mode de paiement"
"Percent of product price discount","Remise en pourcentage du prix du produit"
"Period","Période"
"Price in cart","Prix dans le panier"
"Priority","Priorité"
"Product attribute combination","Combinaison d'attributs de produit"
"Products subselection","Sous-sélection de produits"
"Public In RSS Feed","Public dans le flux RSS"
"Quantity in cart","Quantité dans le panier"
"Row total in cart","Total de la ligne du panier"
"Rule Information","Informations règle"
"Rule Name","Nom de la règle"
"Rule is not defined","La règle n'est pas définie"
"Save and Continue Edit","Sauvegarder et continuer à éditer"
"Shipping Country","Pays de livraison"
"Shipping Method","Mode de livraison"
"Shipping Postcode","Code postal de livraison"
"Shipping Region","Région de livraison"
"Shipping State/Province","État/région/département de livraison"
"Shopping Cart Price Rule","Règle de prix panier"
"Shopping Cart Price Rules","Règles de prix panier"
"Special Price","Prix spécial"
"Specific Coupon","Bon de réduction spécifique"
"Status","Statut"
"Store View Specific Labels","Libellés spécifiques par vue magasin"
"Subtotal","Sous-total"
"Subtotal Amount","Sous-total"
"This rule no longer exists.","Cette règle n'existe plus."
"Times Used","Nombre d'utilisations"
"To Date","Date de fin"
"To Fixed Value","Valeur fixe"
"To Percentage","En pourcentage"
"Total Amount","Montant total"
"Total Items Quantity","Quantité totale d'articles"
"Total Weight","Poids total"
"Update prices using the following information","Mettre à jour les prix en utilisant l'information suivante"
"Update product's %s %s: %s","Mettre à jour le %s du produit %s : %s"
"Update the Product","Mettre à jour le produit"
"Use Auto Generation","Utiliser la génération automatique"
"Used","Utilisé"
"Uses per Coupon","Nombre d'utilisations par coupon"
"Uses per Customer","Nombre d'utilisations par client"
"Website","Site web""%s and greater"
"Websites","Sites web"
"Yes","Oui"
"total amount","le montant total"
"total quantity","la quantité totale"
