"* Required Fields","* Champs obligatoires"
"Comment","Commentaire"
"Contact Form","Formulaire de contact"
"Contact Information","Informations de contact"
"Contact Us","Contactez-nous"
"Email","Courriel"
"Email Options","Options de mail"
"Email Sender","Expéditeur du mail"
"Email Template","Gabarit du mail"
"Enable Contact Us","Activer la page Contactez-nous"
"Name","Nom"
"Send Emails To","Envoyer les mails à"
"Submit","Valider"
"Telephone","Téléphone"
"Unable to submit your request. Please, try again later","Impossible d'envoyer votre demande. Veuillez réessayer plus tard."
